scenario,sample,side,milliseconds,warmup,exit_code
application,0,before,1815.957526,True,0
application,0,after,1271.743363,True,0
application,0,native,156.439939,True,0
application,1,before,1222.722582,False,0
application,1,native,137.960008,False,0
application,1,after,1168.143154,False,0
application,2,after,1194.173051,False,0
application,2,before,1234.84008,False,0
application,2,native,140.20228,False,0
application,3,after,1151.467778,False,0
application,3,native,162.595687,False,0
application,3,before,1238.424007,False,0
library,0,native,220.338161,True,0
library,0,before,1333.112081,True,0
library,0,after,1277.081678,True,0
library,1,native,183.309711,False,0
library,1,after,1401.062431,False,0
library,1,before,1517.983064,False,0
library,2,before,1556.931508,False,0
library,2,after,1330.452474,False,0
library,2,native,178.75332,False,0
library,3,before,1474.019672,False,0
library,3,native,187.77822,False,0
library,3,after,1422.374363,False,0
