key,kind,side,case,role,timed,warmup,trace_id,process_ms,before_root_ms,root_ms,after_root_ms,cargo_exec_ms,non_exec_process_ms,query_count,spans,declared_engine_spans,received_engine_spans,gate_exit,replay_drift,complete_expected_execs
dagger-rust-generator-pair-iw520xrb-application-0-before,pilot,before,,,True,True,d8793d6660d4d6e1aa9447348f67a377,1313.019251,27.240377,1274.47801,11.305613,222.052727,1090.966524,30,455,434,434,0,-0.1%,True
dagger-rust-generator-pair-iw520xrb-application-0-after,pilot,after,,,True,True,ef219786a05b3cc34c588906b71ac0cb,1198.907434,27.392469,1156.466072,15.05428,239.878378,959.029056,30,452,431,431,0,-0.1%,True
dagger-rust-generator-pair-iw520xrb-application-0-before-messages,pilot,before,,,False,True,1ee38b51cbced1d3005f7a3f8dee7d2d,854.244995,26.813059,818.025357,9.410423,0,854.244995,12,184,163,163,0,-0.0%,True
dagger-rust-generator-pair-iw520xrb-application-0-after-messages,pilot,after,,,False,True,8c5f98cd8167687bc774f9391a3de34c,737.36758,27.456988,700.421221,9.493753,0,737.36758,12,184,163,163,0,-0.1%,True
dagger-rust-generator-pair-iw520xrb-application-1-before,pilot,before,,,True,False,d2d3ebd465993d8b2028b077b68c1978,1286.125265,27.536274,1248.667692,9.925897,213.793198,1072.3320669999998,30,455,434,434,0,-0.1%,True
dagger-rust-generator-pair-iw520xrb-application-1-after,pilot,after,,,True,False,7dc21af6b1c72a67c7d022e9ea092e01,1215.835546,28.252962,1174.802398,12.785002,216.877154,998.958392,30,455,434,434,0,-0.1%,True
dagger-rust-generator-pair-iw520xrb-application-1-before-messages,pilot,before,,,False,False,1c89d93cb82714d8757472d79c78b365,790.5799,26.622324,755.692792,8.268928,0,790.5799,12,184,163,163,0,-0.0%,True
dagger-rust-generator-pair-iw520xrb-application-1-after-messages,pilot,after,,,False,False,c9b2318131cb42cf4b5d369699dc158b,758.387438,26.642305,721.10323,10.647344,0,758.387438,12,184,163,163,0,-0.1%,True
dagger-rust-generator-pair-iw520xrb-application-2-after,pilot,after,,,True,False,81847bf5f9c63fc5dfc790e4b4464405,1136.411656,27.490957,1096.502423,12.423145,241.004371,895.407285,30,455,434,434,0,-0.1%,True
dagger-rust-generator-pair-iw520xrb-application-2-before,pilot,before,,,True,False,47abe6af57c4956f82c84cbed351e9fa,1272.700743,27.93824,1231.766,13.001618,244.223213,1028.4775300000001,30,455,434,434,0,-0.1%,True
dagger-rust-generator-pair-iw520xrb-application-2-before-messages,pilot,before,,,False,False,433c739a614b94b7d4b1aa3114f2b93e,888.407907,26.854601,849.986852,11.571493,0,888.407907,12,184,163,163,0,-0.0%,True
dagger-rust-generator-pair-iw520xrb-application-2-after-messages,pilot,after,,,False,False,25231412a75ef504b3184752f47b07d8,766.153307,27.240384,729.648372,9.269671,0,766.153307,12,184,163,163,0,-0.0%,True
dagger-rust-generator-pair-iw520xrb-application-3-after,pilot,after,,,True,False,7f07cd2402958cc6a0dd7a9a2faf5000,1070.388736,26.483858,1033.920917,9.98953,214.464283,855.9244530000001,30,455,434,434,0,-0.1%,True
dagger-rust-generator-pair-iw520xrb-application-3-before,pilot,before,,,True,False,9b62511e4e13116190e4c327185c7ee0,1228.139934,27.044872,1185.92424,15.176106,211.364399,1016.775535,30,455,434,434,0,-0.1%,True
dagger-rust-generator-pair-iw520xrb-application-3-before-messages,pilot,before,,,False,False,bed0db92619ef1be105fc62cf853c368,810.830377,27.449305,774.304418,9.083656,0,810.830377,12,184,163,163,0,-0.1%,True
dagger-rust-generator-pair-iw520xrb-application-3-after-messages,pilot,after,,,False,False,100e2c4dc1ae1c834f95399447813df6,665.058586,27.605917,628.082266,9.375258,0,665.058586,12,184,163,163,0,-0.1%,True
dagger-rust-generator-pair-iw520xrb-application-4-before,pilot,before,,,True,False,40799114a90fe6ed8b67aa2c183cb43b,1213.760705,27.440661,1172.274424,14.049779,201.54376,1012.2169449999999,30,455,434,434,0,-0.1%,True
dagger-rust-generator-pair-iw520xrb-application-4-after,pilot,after,,,True,False,413f8b6727bc90aeeccf9553b5245ea1,1083.830557,28.923332,1042.26335,12.655867,214.925215,868.905342,30,455,434,434,0,-0.1%,True
dagger-rust-generator-pair-iw520xrb-application-4-before-messages,pilot,before,,,False,False,1cae382adbc63affa08ae7e7d47f5bba,785.391553,26.490042,744.910689,13.995848,0,785.391553,12,184,163,163,0,-0.0%,True
dagger-rust-generator-pair-iw520xrb-application-4-after-messages,pilot,after,,,False,False,59c80288bb012f6edff5bd8ce92d8676,736.86736,26.833838,702.036761,8.001878,0,736.86736,12,184,163,163,0,-0.1%,True
