pair,order,arm,input,iterations,ns_per_op,bytes_per_op,allocs_per_op
0,control/candidate,control,check,49,10551780.0,3452070,71587
0,control/candidate,control,build,12,52584827.0,15200043,319965
0,control/candidate,candidate,check,67,7958166.0,3093953,47617
0,control/candidate,candidate,build,15,35866637.0,13646355,212353
1,candidate/control,candidate,check,66,7964012.0,3093948,47617
1,candidate/control,candidate,build,16,35277062.0,13645957,212350
1,candidate/control,control,check,49,10403875.0,3451943,71586
1,candidate/control,control,build,12,46929685.0,15199464,319963
2,control/candidate,control,check,48,10442780.0,3451983,71586
2,control/candidate,control,build,12,46977839.0,15199036,319961
2,control/candidate,candidate,check,68,7918728.0,3094014,47617
2,control/candidate,candidate,build,15,35740907.0,13646086,212351
3,candidate/control,candidate,check,67,7976053.0,3093937,47617
3,candidate/control,candidate,build,16,35625287.0,13646612,212353
3,candidate/control,control,check,48,10479383.0,3452022,71587
3,candidate/control,control,build,12,46824813.0,15198771,319959
4,control/candidate,control,check,50,10483310.0,3452016,71587
4,control/candidate,control,build,12,48310480.0,15199668,319965
4,control/candidate,candidate,check,69,7914651.0,3093944,47617
4,control/candidate,candidate,build,16,35833263.0,13646328,212352
5,candidate/control,candidate,check,69,7872241.0,3093886,47617
5,candidate/control,candidate,build,16,35418026.0,13646600,212353
5,candidate/control,control,check,50,10449633.0,3451955,71586
5,candidate/control,control,build,12,46782337.0,15198914,319959
