index,side,digest,compressed_bytes,metadata_commit_ms,content_lock_acquisition_ms,presync_ms,transaction_ms,transaction_work_ms,transaction_acquisition_setup_ms,transaction_completion_callbacks_ms,local_commit_ms,local_file_sync_ms,directory_sync_ms,local_residual_ms,metadata_residual_ms,progress_final_write_to_completion_ms,final_write_to_commit_start_ms,commit_end_to_completion_record_ms,trace_sha256
0,A,sha256:039e6f9f9752f74a3ff4a6a224f64c7c864da16ed98f882107704328f41b9c42,28232590,18.174054,0.039188,16.738630,1.343439,1.224461,0.042509,0.076469,1.181207,0.067930,0.889046,0.224231,0.052797,18.227570,0.051883,0.001633,e9f756f01fc6b0baaf9e2819b64ea52d57f921c52e1aaa7baba921d0e0d656f8
0,A,sha256:167b9fde7ea2106ff0349f834ad13f3d5078836087edf8a9422da759c088f66c,288641068,141.440225,0.005105,128.639526,12.717290,3.135026,9.502112,0.080152,2.481268,0.056370,2.061185,0.363713,0.078304,204.677918,63.235493,0.002200,e9f756f01fc6b0baaf9e2819b64ea52d57f921c52e1aaa7baba921d0e0d656f8
1,B,sha256:be6e8aa28c406618703f55a24c39de8ce1a8567de1697edcbc65fa2050f8043e,24020486,14.788284,0.004763,13.409620,1.327481,1.231038,0.047627,0.048816,1.184484,0.046965,0.915885,0.221634,0.046420,14.833151,0.043624,0.001243,44f9af721633da483b8ba4aebdbb8b098b06fd8df3c368c78d6d8e50b06b1948
1,B,sha256:7307923dfaffacc46833be8b3845e23df5e32213fe094eae94b659b8a9fc1b42,270905251,168.143384,0.007027,166.495000,1.567619,1.454066,0.049738,0.063815,1.403859,0.058274,1.047334,0.298251,0.073738,186.601785,18.456774,0.001627,44f9af721633da483b8ba4aebdbb8b098b06fd8df3c368c78d6d8e50b06b1948
2,B,sha256:be6e8aa28c406618703f55a24c39de8ce1a8567de1697edcbc65fa2050f8043e,24020486,1444.686275,0.005196,1441.781836,2.737035,2.342028,0.112926,0.282081,2.146731,0.130917,1.263523,0.752291,0.162208,1444.732343,0.040413,0.005655,ef60daf726de29f174ce03ad21a05ee33d67e21ff8c8e992e8834c600200f971
2,B,sha256:7307923dfaffacc46833be8b3845e23df5e32213fe094eae94b659b8a9fc1b42,270905251,8766.727691,0.008085,8765.174353,1.493069,1.365508,0.057349,0.070212,1.310094,0.079973,0.993855,0.236266,0.052184,8786.245094,19.514990,0.002413,ef60daf726de29f174ce03ad21a05ee33d67e21ff8c8e992e8834c600200f971
3,A,sha256:039e6f9f9752f74a3ff4a6a224f64c7c864da16ed98f882107704328f41b9c42,28232590,16.829451,0.005339,15.477332,1.291936,1.196002,0.036359,0.059575,1.157935,0.045812,0.892595,0.219528,0.054844,16.893337,0.062070,0.001816,989642463dbe1e9bb83b28cdaf46d07527d2f0f85d9326f3ca316f436ab1ab55
3,A,sha256:167b9fde7ea2106ff0349f834ad13f3d5078836087edf8a9422da759c088f66c,288641068,148.250733,0.007445,146.910939,1.281600,1.182752,0.040868,0.057980,1.136279,0.047180,0.880014,0.209085,0.050749,209.267226,61.014549,0.001944,989642463dbe1e9bb83b28cdaf46d07527d2f0f85d9326f3ca316f436ab1ab55
4,A,sha256:039e6f9f9752f74a3ff4a6a224f64c7c864da16ed98f882107704328f41b9c42,28232590,18.377095,0.005698,16.274882,2.048122,1.960065,0.038602,0.049455,1.927028,0.097042,1.592944,0.237042,0.048393,18.424248,0.045412,0.001741,9c3ca00d4f71cbdeec1cac2ebdf0dc47ad3a0f7b8817543e5e8063d2ac7ceb15
4,A,sha256:167b9fde7ea2106ff0349f834ad13f3d5078836087edf8a9422da759c088f66c,288641068,153.638376,0.005933,152.394041,1.199438,1.122732,0.032603,0.044103,1.088272,0.047352,0.842632,0.198288,0.038964,224.194285,70.554585,0.001324,9c3ca00d4f71cbdeec1cac2ebdf0dc47ad3a0f7b8817543e5e8063d2ac7ceb15
5,B,sha256:be6e8aa28c406618703f55a24c39de8ce1a8567de1697edcbc65fa2050f8043e,24020486,14.835161,0.005546,13.447707,1.335437,1.231991,0.044842,0.058604,1.194372,0.071136,0.911708,0.211528,0.046471,14.881712,0.044229,0.002322,111b9ca66987f47df5e2a3df93e7db024ca1008bb918ef6d61e09813de31d9fc
5,B,sha256:7307923dfaffacc46833be8b3845e23df5e32213fe094eae94b659b8a9fc1b42,270905251,146.691735,0.003668,145.199870,1.429856,1.325455,0.037138,0.067263,1.273335,0.046354,0.941396,0.285585,0.058341,161.634254,14.939834,0.002685,111b9ca66987f47df5e2a3df93e7db024ca1008bb918ef6d61e09813de31d9fc
