cohort,index,variant,scenario,repeat,profiled,dagger_ms,native_ms,overhead_ms,ratio
codec-current,0,gzip,first-check,0,true,14406.060838,7760.392955,6645.667883,1.856357136
codec-current,0,gzip,exact,0,false,587.559216,129.713876,457.845340,4.529655840
codec-current,0,gzip,exact,1,false,525.292309,118.222657,407.069652,4.443245672
codec-current,0,gzip,exact,2,false,523.099793,124.895038,398.204755,4.188315256
codec-current,0,gzip,application,0,false,958.801683,306.046200,652.755483,3.132865832
codec-current,0,gzip,application,1,false,930.901613,290.172688,640.728925,3.208095219
codec-current,0,gzip,application,2,false,900.663435,317.246919,583.416516,2.838998209
codec-current,0,gzip,workspace-library,0,false,1177.607929,480.345525,697.262404,2.451585094
codec-current,0,gzip,workspace-library,1,false,1066.115314,485.733968,580.381346,2.194854353
codec-current,0,gzip,workspace-library,2,false,1075.890503,500.634354,575.256149,2.149054483
codec-current,0,gzip,dependency-upgrade,0,true,2218.144817,2323.476875,-105.332058,0.954666191
codec-current,0,gzip,dependency-followup,0,false,517.614901,114.450853,403.164048,4.522595397
codec-current,1,zstd,first-check,0,true,11869.159771,7575.732572,4293.427199,1.566734261
codec-current,1,zstd,exact,0,false,538.830170,148.979344,389.850826,3.616811267
codec-current,1,zstd,exact,1,false,673.610661,117.518806,556.091855,5.731939286
codec-current,1,zstd,exact,2,false,510.330282,119.229228,391.101054,4.280244790
codec-current,1,zstd,application,0,false,1028.034818,305.146532,722.888286,3.368987389
codec-current,1,zstd,application,1,false,922.576129,314.663802,607.912327,2.931942356
codec-current,1,zstd,application,2,false,945.914106,297.614965,648.299141,3.178314995
codec-current,1,zstd,workspace-library,0,false,1065.597656,485.978896,579.618760,2.192682984
codec-current,1,zstd,workspace-library,1,false,1066.849125,484.185282,582.663843,2.203390241
codec-current,1,zstd,workspace-library,2,false,1064.964692,469.898049,595.066643,2.266373938
codec-current,1,zstd,dependency-upgrade,0,true,2310.535900,1706.086577,604.449323,1.354289947
codec-current,1,zstd,dependency-followup,0,false,485.804824,126.602115,359.202709,3.837256779
codec-current,2,zstd,first-check,0,true,11862.012561,6613.090400,5248.922161,1.793716983
codec-current,2,zstd,exact,0,false,541.846806,122.569081,419.277725,4.420746257
codec-current,2,zstd,exact,1,false,506.581937,124.336136,382.245801,4.074293711
codec-current,2,zstd,exact,2,false,488.860940,123.212820,365.648120,3.967614247
codec-current,2,zstd,application,0,false,921.141701,296.987187,624.154514,3.101621017
codec-current,2,zstd,application,1,false,891.024797,295.607934,595.416863,3.014211374
codec-current,2,zstd,application,2,false,903.874172,291.783374,612.090798,3.097757626
codec-current,2,zstd,workspace-library,0,false,1063.536164,453.570641,609.965523,2.344808213
codec-current,2,zstd,workspace-library,1,false,1063.369690,506.110876,557.258814,2.101060737
codec-current,2,zstd,workspace-library,2,false,1062.537229,464.524012,598.013217,2.287367717
codec-current,2,zstd,dependency-upgrade,0,true,2274.929429,1635.855363,639.074066,1.390666608
codec-current,2,zstd,dependency-followup,0,false,494.469463,115.642995,378.826468,4.275827196
codec-current,3,gzip,first-check,0,true,12153.004342,6654.813987,5498.190355,1.826197451
codec-current,3,gzip,exact,0,false,612.623320,115.849751,496.773569,5.288084909
codec-current,3,gzip,exact,1,false,527.044261,119.805434,407.238827,4.399168246
codec-current,3,gzip,exact,2,false,497.527642,117.608028,379.919614,4.230388439
codec-current,3,gzip,application,0,false,922.982861,289.663229,633.319632,3.186399821
codec-current,3,gzip,application,1,false,894.636094,304.253092,590.383002,2.940433861
codec-current,3,gzip,application,2,false,886.391915,305.883226,580.508689,2.897811451
codec-current,3,gzip,workspace-library,0,false,1077.853493,483.673273,594.180220,2.228474371
codec-current,3,gzip,workspace-library,1,false,1065.249570,483.541328,581.708242,2.203016595
