run,codec,scenario,sample,native_ms,dagger_ms,overhead_ms,profiled
0,gzip,first-check,0,6746.696468,12743.547306,5996.850838,true
0,gzip,exact,0,122.596519,510.700449,388.103930,false
0,gzip,exact,1,119.570230,509.372005,389.801775,false
0,gzip,exact,2,123.121042,510.261962,387.140920,false
0,gzip,application,0,296.280753,879.014928,582.734175,false
0,gzip,application,1,294.533982,933.840470,639.306488,false
0,gzip,application,2,288.861242,897.479534,608.618292,false
0,gzip,workspace-library,0,455.687750,1048.542905,592.855155,false
0,gzip,workspace-library,1,453.429310,1064.568745,611.139435,false
0,gzip,workspace-library,2,459.626612,1051.392990,591.766378,false
0,gzip,dependency-upgrade,0,1727.131002,2351.368789,624.237787,true
0,gzip,dependency-followup,0,121.381726,508.765257,387.383531,false
1,zstd,first-check,0,6581.923988,13084.067034,6502.143046,true
1,zstd,exact,0,122.616893,502.446766,379.829873,false
1,zstd,exact,1,117.268350,502.508697,385.240347,false
1,zstd,exact,2,122.834838,515.499906,392.665068,false
1,zstd,application,0,305.755545,880.512004,574.756459,false
1,zstd,application,1,290.117943,954.320222,664.202279,false
1,zstd,application,2,294.747801,885.187059,590.439258,false
1,zstd,workspace-library,0,451.318387,1062.361899,611.043512,false
1,zstd,workspace-library,1,455.008287,1047.389892,592.381605,false
1,zstd,workspace-library,2,464.215596,1066.150591,601.934995,false
1,zstd,dependency-upgrade,0,1658.397414,2362.637255,704.239841,true
1,zstd,dependency-followup,0,118.102558,529.809065,411.706507,false
2,zstd,first-check,0,6958.412237,11703.484451,4745.072214,true
2,zstd,exact,0,146.688291,523.939872,377.251581,false
2,zstd,exact,1,123.288250,546.646932,423.358682,false
2,zstd,exact,2,121.814502,508.919982,387.105480,false
2,zstd,application,0,293.545555,915.984052,622.438497,false
2,zstd,application,1,305.327744,882.122147,576.794403,false
2,zstd,application,2,324.566133,944.325247,619.759114,false
2,zstd,workspace-library,0,454.943981,1058.227406,603.283425,false
2,zstd,workspace-library,1,488.395673,1060.193631,571.797958,false
2,zstd,workspace-library,2,492.689895,1049.592282,556.902387,false
2,zstd,dependency-upgrade,0,1807.417461,2315.672910,508.255449,true
2,zstd,dependency-followup,0,121.366592,515.081660,393.715068,false
3,gzip,first-check,0,6833.371097,12637.475301,5804.104204,true
3,gzip,exact,0,117.295973,575.595292,458.299319,false
3,gzip,exact,1,117.495887,500.827490,383.331603,false
3,gzip,exact,2,118.261692,500.037432,381.775740,false
3,gzip,application,0,292.799805,900.639287,607.839482,false
3,gzip,application,1,291.011887,900.768424,609.756537,false
3,gzip,application,2,297.684038,894.889468,597.205430,false
3,gzip,workspace-library,0,456.145083,1060.321984,604.176901,false
3,gzip,workspace-library,1,494.312076,1067.356413,573.044337,false
3,gzip,workspace-library,2,456.344037,1042.927572,586.583535,false
3,gzip,dependency-upgrade,0,1665.525819,2317.452293,651.926474,true
3,gzip,dependency-followup,0,142.005146,522.480376,380.475230,false
4,gzip,first-check,0,6950.392908,13030.710715,6080.317807,true
4,gzip,exact,0,126.941450,539.349360,412.407910,false
4,gzip,exact,1,150.794933,517.677464,366.882531,false
4,gzip,exact,2,120.809737,513.319026,392.509289,false
4,gzip,application,0,293.924802,942.839396,648.914594,false
4,gzip,application,1,290.618897,908.957688,618.338791,false
4,gzip,application,2,288.535351,902.399757,613.864406,false
4,gzip,workspace-library,0,451.594158,1092.522896,640.928738,false
4,gzip,workspace-library,1,459.165045,1051.731103,592.566058,false
4,gzip,workspace-library,2,454.220146,1058.823516,604.603370,false
4,gzip,dependency-upgrade,0,1608.821232,2247.386843,638.565611,true
4,gzip,dependency-followup,0,119.667065,555.913920,436.246855,false
5,zstd,first-check,0,6830.799545,11761.099631,4930.300086,true
5,zstd,exact,0,124.351462,510.306165,385.954703,false
5,zstd,exact,1,117.824419,500.733444,382.909025,false
5,zstd,exact,2,118.684479,522.016065,403.331586,false
5,zstd,application,0,327.939967,982.790442,654.850475,false
5,zstd,application,1,290.367756,890.277011,599.909255,false
5,zstd,application,2,290.052129,891.223341,601.171212,false
5,zstd,workspace-library,0,458.005565,1053.473777,595.468212,false
5,zstd,workspace-library,1,460.413966,1078.087538,617.673572,false
5,zstd,workspace-library,2,489.574695,1073.698335,584.123640,false
5,zstd,dependency-upgrade,0,1695.649009,2240.409762,544.760753,true
5,zstd,dependency-followup,0,118.127365,527.334542,409.207177,false
