run,codec,compressed_bytes,presync_ms,counter_bracket_ms,engine_bracket_written_bytes,device_bracket_written_bytes,device_busy_ms,device_completed_flushes,device_flush_ms
0,gzip,28232590,15.555659,201.770624,28262400,28631040,18,5,2
0,gzip,288641068,150.829877,301.506538,288673792,291168256,146,3,1
1,zstd,24020486,13.535548,101.487213,24031232,24190976,13,3,1
1,zstd,270905251,145.860151,301.771852,270929920,273440768,143,3,0
2,zstd,24020486,14.552740,102.119821,24039424,24416256,15,5,2
2,zstd,270905251,154.685265,201.306341,270925824,273403904,147,3,1
3,gzip,28232590,15.556330,101.869435,28241920,28418048,16,3,1
3,gzip,288641068,149.035246,201.650298,288665600,291184640,145,3,1
4,gzip,28232590,32.006377,201.851927,28258304,28651520,41,5,2
4,gzip,288641068,154.100678,201.234801,288661504,291172352,147,3,0
5,zstd,24020486,13.320036,202.006474,24059904,24465408,19,10,3
5,zstd,270905251,165.902553,301.697142,270934016,273408000,162,3,0
