run,arm,scenario,sample,native_ms,dagger_ms,overhead_ms,profiled
0,A,first-check,0,6467.685218,12233.028197,5765.342979,true
0,A,exact,0,119.063991,506.012534,386.948543,false
0,A,exact,1,143.313057,515.513619,372.200562,false
0,A,exact,2,160.855789,528.176702,367.320913,false
0,A,application,0,297.277092,893.564996,596.287904,false
0,A,application,1,331.009062,917.132612,586.123550,false
0,A,application,2,288.415250,959.316558,670.901308,false
0,A,workspace-library,0,448.309817,1081.450230,633.140413,false
0,A,workspace-library,1,481.162665,1185.331705,704.169040,false
0,A,workspace-library,2,453.884431,1083.648087,629.763656,false
0,A,dependency-upgrade,0,1673.986722,2230.598110,556.611388,true
0,A,dependency-followup,0,153.022459,513.207727,360.185268,false
1,B,first-check,0,6698.025488,12487.001680,5788.976192,true
1,B,exact,0,136.374093,540.870041,404.495948,false
1,B,exact,1,119.429098,502.049236,382.620138,false
1,B,exact,2,147.644659,514.540475,366.895816,false
1,B,application,0,292.779394,1103.284921,810.505527,false
1,B,application,1,286.735986,914.420422,627.684436,false
1,B,application,2,289.081210,881.415861,592.334651,false
1,B,workspace-library,0,454.868762,1063.513667,608.644905,false
1,B,workspace-library,1,481.381131,1107.231691,625.850560,false
1,B,workspace-library,2,493.912991,1072.505143,578.592152,false
1,B,dependency-upgrade,0,1719.829124,2263.487669,543.658545,true
1,B,dependency-followup,0,118.615084,515.510815,396.895731,false
2,B,first-check,0,6704.534846,12806.536186,6102.001340,true
2,B,exact,0,120.276217,526.944711,406.668494,false
2,B,exact,1,118.297525,515.627219,397.329694,false
2,B,exact,2,121.891457,504.618560,382.727103,false
2,B,application,0,291.564239,959.314750,667.750511,false
2,B,application,1,296.294151,881.706540,585.412389,false
2,B,application,2,299.795713,885.133837,585.338124,false
2,B,workspace-library,0,459.651206,1070.458199,610.806993,false
2,B,workspace-library,1,479.188333,1047.780323,568.591990,false
2,B,workspace-library,2,469.754749,1094.826674,625.071925,false
2,B,dependency-upgrade,0,3055.360537,2523.345741,-532.014796,true
2,B,dependency-followup,0,141.354026,541.027983,399.673957,false
3,A,first-check,0,7013.409347,21397.871716,14384.462369,true
3,A,exact,0,146.310570,529.437555,383.126985,false
3,A,exact,1,129.837420,665.328858,535.491438,false
3,A,exact,2,123.969000,501.922044,377.953044,false
3,A,application,0,292.322920,998.853334,706.530414,false
3,A,application,1,290.999965,949.888438,658.888473,false
3,A,application,2,315.771474,893.904107,578.132633,false
3,A,workspace-library,0,462.763604,1076.955762,614.192158,false
3,A,workspace-library,1,455.131460,1069.732644,614.601184,false
3,A,workspace-library,2,453.236906,1072.057924,618.821018,false
3,A,dependency-upgrade,0,1615.051924,2366.042449,750.990525,true
3,A,dependency-followup,0,148.389620,627.455992,479.066372,false
4,A,first-check,0,7061.221948,12563.974142,5502.752194,true
4,A,exact,0,124.445329,506.430082,381.984753,false
4,A,exact,1,121.045685,524.421343,403.375658,false
4,A,exact,2,115.573877,510.300812,394.726935,false
4,A,application,0,303.436642,980.303081,676.866439,false
4,A,application,1,294.414063,895.079084,600.665021,false
4,A,application,2,294.158586,885.873687,591.715101,false
4,A,workspace-library,0,458.872129,1089.874363,631.002234,false
4,A,workspace-library,1,457.601743,1055.580933,597.979190,false
4,A,workspace-library,2,459.950614,1063.192639,603.242025,false
4,A,dependency-upgrade,0,1644.777097,2289.206443,644.429346,true
4,A,dependency-followup,0,121.198887,511.553534,390.354647,false
5,B,first-check,0,7180.313235,12294.033072,5113.719837,true
5,B,exact,0,118.266247,563.022975,444.756728,false
5,B,exact,1,120.242781,499.478952,379.236171,false
5,B,exact,2,122.421158,503.199921,380.778763,false
5,B,application,0,292.389939,942.027380,649.637441,false
5,B,application,1,295.169010,890.507676,595.338666,false
5,B,application,2,289.655889,902.458376,612.802487,false
5,B,workspace-library,0,464.909330,1075.320516,610.411186,false
5,B,workspace-library,1,454.023348,1044.499728,590.476380,false
5,B,workspace-library,2,470.696208,1076.236074,605.539866,false
5,B,dependency-upgrade,0,1660.913488,2252.590140,591.676652,true
5,B,dependency-followup,0,140.144343,507.311589,367.167246,false
