run,arm,digest,compressed_bytes,metadata_commit_ms,content_lock_acquisition_ms,presync_ms,transaction_ms,local_commit_ms,local_file_sync_ms,directory_sync_ms,progress_final_write_to_completion_ms
0,A,sha256:039e6f9f9752f74a3ff4a6a224f64c7c864da16ed98f882107704328f41b9c42,28232590,16.969181,0.003513,15.654182,1.264370,1.109395,0.043581,0.860826,17.011957
0,A,sha256:167b9fde7ea2106ff0349f834ad13f3d5078836087edf8a9422da759c088f66c,288641068,148.421145,0.004763,147.078334,1.288195,1.155503,0.049266,0.906812,213.198178
1,B,sha256:039e6f9f9752f74a3ff4a6a224f64c7c864da16ed98f882107704328f41b9c42,28232590,4.160299,0.003964,2.825079,1.289303,1.174168,0.071511,0.917811,4.205299
1,B,sha256:167b9fde7ea2106ff0349f834ad13f3d5078836087edf8a9422da759c088f66c,288641068,6.274726,0.005067,4.795074,1.428111,1.266037,0.049181,1.016689,69.489964
2,B,sha256:039e6f9f9752f74a3ff4a6a224f64c7c864da16ed98f882107704328f41b9c42,28232590,4.204905,0.005896,2.839633,1.311029,1.145664,0.053207,0.855087,4.250979
2,B,sha256:167b9fde7ea2106ff0349f834ad13f3d5078836087edf8a9422da759c088f66c,288641068,6.445128,0.006378,5.082315,1.301899,1.169498,0.048833,0.917685,69.006404
3,A,sha256:039e6f9f9752f74a3ff4a6a224f64c7c864da16ed98f882107704328f41b9c42,28232590,1373.681309,0.004280,1371.478956,2.123222,1.730975,0.100012,1.129828,1373.727241
3,A,sha256:167b9fde7ea2106ff0349f834ad13f3d5078836087edf8a9422da759c088f66c,288641068,5572.036404,0.006387,5570.657864,1.319367,1.167598,0.047491,0.850398,5635.223293
4,A,sha256:039e6f9f9752f74a3ff4a6a224f64c7c864da16ed98f882107704328f41b9c42,28232590,16.864048,0.008344,15.557263,1.238508,1.098725,0.049860,0.841117,16.914989
4,A,sha256:167b9fde7ea2106ff0349f834ad13f3d5078836087edf8a9422da759c088f66c,288641068,164.625765,0.005725,163.190300,1.379401,1.180840,0.053642,0.880879,226.345616
5,B,sha256:039e6f9f9752f74a3ff4a6a224f64c7c864da16ed98f882107704328f41b9c42,28232590,4.023085,0.003904,2.710758,1.269523,1.160909,0.043172,0.930942,4.066653
5,B,sha256:167b9fde7ea2106ff0349f834ad13f3d5078836087edf8a9422da759c088f66c,288641068,6.393849,0.007184,4.876271,1.459161,1.305256,0.069653,1.006634,72.055509
