pair,arm,input_kind,bytes,wall_ns,external_wall_ns,process_cpu_ns,sha256,hash_type
1,default,compressed,298210801,687374829,689231406,688652000,12a0a3a340cd71479adee324d1351b8cf305d3d874a9efa82e5dc7d58930d08b,*sha256.Digest
1,default,uncompressed,923695616,2107331161,2109233679,2110891000,539af938c66874e323ed86c26658d305b1cc421ee41f46cfb831697b84f9d2ae,*sha256.Digest
1,boring,compressed,298210801,680634876,684704819,703245000,12a0a3a340cd71479adee324d1351b8cf305d3d874a9efa82e5dc7d58930d08b,*boring.sha256Hash
1,boring,uncompressed,923695616,2127113404,2131194371,2199420000,539af938c66874e323ed86c26658d305b1cc421ee41f46cfb831697b84f9d2ae,*boring.sha256Hash
2,boring,compressed,298210801,680809571,684893561,703380000,12a0a3a340cd71479adee324d1351b8cf305d3d874a9efa82e5dc7d58930d08b,*boring.sha256Hash
2,boring,uncompressed,923695616,2100445581,2104558499,2176810000,539af938c66874e323ed86c26658d305b1cc421ee41f46cfb831697b84f9d2ae,*boring.sha256Hash
2,default,compressed,298210801,679611482,681501560,680866000,12a0a3a340cd71479adee324d1351b8cf305d3d874a9efa82e5dc7d58930d08b,*sha256.Digest
2,default,uncompressed,923695616,2118614987,2120439187,2122147000,539af938c66874e323ed86c26658d305b1cc421ee41f46cfb831697b84f9d2ae,*sha256.Digest
3,default,compressed,298210801,684352965,686265708,685482000,12a0a3a340cd71479adee324d1351b8cf305d3d874a9efa82e5dc7d58930d08b,*sha256.Digest
3,default,uncompressed,923695616,2102447529,2104458832,2105815000,539af938c66874e323ed86c26658d305b1cc421ee41f46cfb831697b84f9d2ae,*sha256.Digest
3,boring,compressed,298210801,680380884,684447349,701672000,12a0a3a340cd71479adee324d1351b8cf305d3d874a9efa82e5dc7d58930d08b,*boring.sha256Hash
3,boring,uncompressed,923695616,2096307209,2100299881,2167842000,539af938c66874e323ed86c26658d305b1cc421ee41f46cfb831697b84f9d2ae,*boring.sha256Hash
4,boring,compressed,298210801,684111412,688181341,706861000,12a0a3a340cd71479adee324d1351b8cf305d3d874a9efa82e5dc7d58930d08b,*boring.sha256Hash
4,boring,uncompressed,923695616,2108185578,2112219831,2181758000,539af938c66874e323ed86c26658d305b1cc421ee41f46cfb831697b84f9d2ae,*boring.sha256Hash
4,default,compressed,298210801,681713388,683583581,683010000,12a0a3a340cd71479adee324d1351b8cf305d3d874a9efa82e5dc7d58930d08b,*sha256.Digest
4,default,uncompressed,923695616,2105651420,2107555047,2109962000,539af938c66874e323ed86c26658d305b1cc421ee41f46cfb831697b84f9d2ae,*sha256.Digest
5,default,compressed,298210801,685414259,687399668,686520000,12a0a3a340cd71479adee324d1351b8cf305d3d874a9efa82e5dc7d58930d08b,*sha256.Digest
5,default,uncompressed,923695616,2096005527,2097932412,2098917000,539af938c66874e323ed86c26658d305b1cc421ee41f46cfb831697b84f9d2ae,*sha256.Digest
5,boring,compressed,298210801,680439546,684574211,702518000,12a0a3a340cd71479adee324d1351b8cf305d3d874a9efa82e5dc7d58930d08b,*boring.sha256Hash
5,boring,uncompressed,923695616,2096786411,2100904077,2168299000,539af938c66874e323ed86c26658d305b1cc421ee41f46cfb831697b84f9d2ae,*boring.sha256Hash
6,boring,compressed,298210801,683197029,687452074,704952000,12a0a3a340cd71479adee324d1351b8cf305d3d874a9efa82e5dc7d58930d08b,*boring.sha256Hash
6,boring,uncompressed,923695616,2113781398,2117854921,2196673000,539af938c66874e323ed86c26658d305b1cc421ee41f46cfb831697b84f9d2ae,*boring.sha256Hash
6,default,compressed,298210801,682401656,684222293,683693000,12a0a3a340cd71479adee324d1351b8cf305d3d874a9efa82e5dc7d58930d08b,*sha256.Digest
6,default,uncompressed,923695616,2100442733,2102307662,2103266000,539af938c66874e323ed86c26658d305b1cc421ee41f46cfb831697b84f9d2ae,*sha256.Digest
