capture,side,scenario,cycle,wall_ms,cargo_ms,cargo_executions,parse_ref_ms,git_visibility_ms,exit_code,wcprof_structural_pass,replay_drift
pilot,A,first-module,,66964.367,0.000,0,808.935,199.724,0,true,-0.0%
pilot,B,first-module,,71941.994,0.000,0,824.139,198.499,0,true,-0.0%
pilot,A,prime,,7590.008,6078.353,1,659.538,266.071,0,true,-0.1%
pilot,B,prime,,16747.879,5996.385,1,0.550,377.881,0,true,-4.3%
pilot,A,exact,0,961.182,0.000,0,66.825,253.933,0,not-profiled,
pilot,B,exact,0,837.125,0.000,0,0.536,273.536,0,not-profiled,
pilot,B,exact,1,764.146,0.000,0,0.477,247.681,0,not-profiled,
pilot,A,exact,1,823.514,0.000,0,65.832,229.200,0,not-profiled,
pilot,A,exact,2,900.839,0.000,0,68.077,246.119,0,not-profiled,
pilot,B,exact,2,807.386,0.000,0,0.492,249.986,0,not-profiled,
pilot,B,exact,3,837.370,0.000,0,0.498,244.649,0,not-profiled,
pilot,A,exact,3,836.497,0.000,0,68.389,232.243,0,not-profiled,
pilot,A,exact,4,862.793,0.000,0,66.070,307.574,0,not-profiled,
pilot,B,exact,4,755.750,0.000,0,0.539,261.669,0,not-profiled,
pilot,B,exact,5,759.848,0.000,0,0.472,246.119,0,not-profiled,
pilot,A,exact,5,859.640,0.000,0,65.771,266.920,0,not-profiled,
pilot,A,profile-exact,,906.442,0.000,0,66.025,239.923,0,true,-0.0%
pilot,B,profile-exact,,778.173,0.000,0,0.511,241.712,0,true,-0.1%
pilot,A,application,0,1091.145,399.698,1,66.471,104.351,0,true,-0.0%
pilot,B,application,0,992.861,365.171,1,0.493,92.681,0,true,-0.1%
pilot,B,application,1,952.519,358.286,1,0.554,83.672,0,true,-0.0%
pilot,A,application,1,1104.154,341.126,1,66.439,97.838,0,true,-0.1%
pilot,A,application,2,1104.923,363.907,1,67.486,93.361,0,true,-0.0%
pilot,B,application,2,1131.364,349.337,1,0.566,262.362,0,true,-0.1%
pilot,A,failure,,1256.028,352.594,1,71.595,273.315,101,true,-0.0%
pilot,A,repair,,938.170,0.000,0,79.085,257.541,0,true,-0.1%
pilot,B,failure,,1113.043,320.125,1,0.483,265.704,101,true,-0.0%
pilot,B,repair,,847.893,0.000,0,0.482,308.715,0,true,-0.0%
pilot-r2,A,first-module,,1227.936,0.000,0,588.534,201.558,0,true,-0.0%
pilot-r2,B,first-module,,805.762,0.000,0,233.789,195.312,0,true,-0.0%
pilot-r2,A,prime,,7520.225,6733.647,1,69.756,89.432,0,true,-0.1%
pilot-r2,B,prime,,7135.585,6377.223,1,0.481,96.755,0,true,-0.0%
pilot-r2,A,exact,0,750.763,0.000,0,68.976,96.312,0,not-profiled,
pilot-r2,B,exact,0,633.475,0.000,0,0.561,91.986,0,not-profiled,
pilot-r2,B,exact,1,597.298,0.000,0,0.522,91.543,0,not-profiled,
pilot-r2,A,exact,1,733.052,0.000,0,67.664,101.589,0,not-profiled,
pilot-r2,A,exact,2,716.854,0.000,0,65.866,92.620,0,not-profiled,
pilot-r2,B,exact,2,606.126,0.000,0,0.494,95.161,0,not-profiled,
pilot-r2,B,exact,3,642.512,0.000,0,0.496,94.222,0,not-profiled,
pilot-r2,A,exact,3,795.187,0.000,0,69.196,89.190,0,not-profiled,
pilot-r2,A,exact,4,880.506,0.000,0,66.496,240.320,0,not-profiled,
pilot-r2,B,exact,4,840.940,0.000,0,0.577,293.992,0,not-profiled,
pilot-r2,B,exact,5,791.542,0.000,0,0.501,249.928,0,not-profiled,
pilot-r2,A,exact,5,921.038,0.000,0,67.462,272.329,0,not-profiled,
pilot-r2,A,profile-exact,,1141.125,0.000,0,73.327,222.654,0,true,-0.1%
pilot-r2,B,profile-exact,,721.946,0.000,0,0.464,231.936,0,true,-0.1%
pilot-r2,A,application,0,1238.264,385.760,1,66.174,255.594,0,true,-0.0%
pilot-r2,B,application,0,1173.625,353.835,1,0.477,267.934,0,true,-0.1%
pilot-r2,B,application,1,1426.007,356.358,1,0.541,542.454,0,true,-0.0%
pilot-r2,A,application,1,1214.139,377.388,1,68.575,238.676,0,true,-0.1%
pilot-r2,A,application,2,1139.477,360.888,1,68.855,98.831,0,true,-0.1%
pilot-r2,B,application,2,1014.145,365.651,1,0.521,96.541,0,true,-0.1%
pilot-r2,A,failure,,1014.821,338.120,1,66.377,86.409,101,true,-0.0%
pilot-r2,A,repair,,640.212,0.000,0,68.402,90.491,0,true,-0.1%
pilot-r2,B,failure,,980.110,330.678,1,6.426,93.160,101,true,-0.1%
pilot-r2,B,repair,,651.684,0.000,0,0.515,87.290,0,true,-0.1%
