File: dagger-engine
Build ID: 63b15cca659f97ed72eeaa5aa8aacfce2d05c090
Type: cpu
Time: 2026-09-12 16:36:42 PDT
Duration: 20s, Total samples = 9.07s (45.35%)
Active filters:
   focus=github.com/vito/dang/v2
Showing nodes accounting for 0.80s, 8.82% of 9.07s total
Showing top 55 nodes out of 224
      flat  flat%   sum%        cum   cum%
     0.05s  0.55%  0.55%      1.39s 15.33%  github.com/vito/dang/v2/pkg/dang.(*parser).parseChoiceExpr
     0.01s  0.11%  0.66%      1.39s 15.33%  github.com/vito/dang/v2/pkg/dang.(*parser).parseExpr
     0.02s  0.22%  0.88%      1.39s 15.33%  github.com/vito/dang/v2/pkg/dang.(*parser).parseExprWrap
         0     0%  0.88%      1.39s 15.33%  github.com/vito/dang/v2/pkg/dang.(*parser).parseRule
     0.01s  0.11%  0.99%      1.39s 15.33%  github.com/vito/dang/v2/pkg/dang.(*parser).parseRuleRefExpr
     0.03s  0.33%  1.32%      1.39s 15.33%  github.com/vito/dang/v2/pkg/dang.(*parser).parseRuleWrap
     0.03s  0.33%  1.65%      1.38s 15.21%  github.com/vito/dang/v2/pkg/dang.(*parser).parseActionExpr
     0.03s  0.33%  1.98%      1.38s 15.21%  github.com/vito/dang/v2/pkg/dang.(*parser).parseSeqExpr
         0     0%  1.98%      1.27s 14.00%  github.com/vito/dang/v2/pkg/dang.(*parser).parseLabeledExpr
         0     0%  1.98%      0.89s  9.81%  github.com/vito/dang/v2/pkg/dang.(*parser).parseRuleRecursiveLeader
     0.01s  0.11%  2.09%      0.75s  8.27%  github.com/vito/dang/v2/pkg/dang.(*parser).parseZeroOrMoreExpr
     0.02s  0.22%  2.32%      0.32s  3.53%  github.com/vito/dang/v2/pkg/dang.(*parser).incChoiceAltCnt
     0.02s  0.22%  2.54%      0.32s  3.53%  runtime.mallocgc
     0.02s  0.22%  2.76%      0.25s  2.76%  runtime.mallocgcSmallScanNoHeader
     0.03s  0.33%  3.09%      0.22s  2.43%  github.com/vito/dang/v2/pkg/dang.(*parser).cloneState
     0.01s  0.11%  3.20%      0.21s  2.32%  fmt.Sprintf
         0     0%  3.20%      0.21s  2.32%  github.com/vito/dang/v2/pkg/dang.(*parser).parseZeroOrOneExpr
         0     0%  3.20%      0.18s  1.98%  sync.(*Pool).Get
     0.02s  0.22%  3.42%      0.16s  1.76%  fmt.(*pp).doPrintf
     0.03s  0.33%  3.75%      0.15s  1.65%  runtime.mapaccess1_faststr
         0     0%  3.75%      0.14s  1.54%  github.com/vito/dang/v2/pkg/dang.(*parser).parseRuleRecursiveNoLeader (inline)
     0.05s  0.55%  4.30%      0.12s  1.32%  fmt.(*pp).printArg
     0.01s  0.11%  4.41%      0.12s  1.32%  runtime.makeslice
     0.01s  0.11%  4.52%      0.12s  1.32%  runtime.mapassign_faststr
         0     0%  4.52%      0.11s  1.21%  sync.(*Pool).getSlow
     0.10s  1.10%  5.62%      0.10s  1.10%  aeshashbody
         0     0%  5.62%      0.10s  1.10%  github.com/dagger/dagger/core/sdk/dang/shared.(*nestedClientServer).withClient
         0     0%  5.62%      0.10s  1.10%  github.com/dagger/dagger/core/sdk/dang/shared.WithNestedClientServer
         0     0%  5.62%      0.10s  1.10%  github.com/dagger/dagger/core/sdk/dang/v2.evalDangSource
         0     0%  5.62%      0.10s  1.10%  github.com/dagger/dagger/core/sdk/dang/v2.evalDangSource.func1
         0     0%  5.62%      0.10s  1.10%  github.com/dagger/dagger/dagql.(*Cache).getOrInitCallInner.func1
         0     0%  5.62%      0.10s  1.10%  github.com/dagger/dagger/dagql.ObjectResult[go.shape.*uint8].call.func2
         0     0%  5.62%      0.10s  1.10%  github.com/vito/dang/v2/pkg/dang.(*parser).restoreState
         0     0%  5.62%      0.10s  1.10%  github.com/vito/dang/v2/pkg/dang.storeDict.Discard (inline)
     0.04s  0.44%  6.06%      0.10s  1.10%  sync.(*Pool).Put
     0.09s  0.99%  7.06%      0.09s  0.99%  sync.indexLocal (inline)
         0     0%  7.06%      0.08s  0.88%  github.com/dagger/dagger/core.(*Directory).Mount
         0     0%  7.06%      0.08s  0.88%  github.com/dagger/dagger/core.(*Directory).Mount.func1
         0     0%  7.06%      0.08s  0.88%  github.com/dagger/dagger/core.MountRef
         0     0%  7.06%      0.08s  0.88%  github.com/dagger/dagger/core/sdk/dang/v2.evalDangSource.func1.1
     0.02s  0.22%  7.28%      0.08s  0.88%  runtime.newobject
     0.08s  0.88%  8.16%      0.08s  0.88%  runtime.nextFreeFast (inline)
     0.01s  0.11%  8.27%      0.06s  0.66%  fmt.(*pp).fmtInteger
         0     0%  8.27%      0.06s  0.66%  github.com/dagger/dagger/core.(*ModuleFunction).Call
         0     0%  8.27%      0.06s  0.66%  github.com/dagger/dagger/core.objFun.func1
         0     0%  8.27%      0.06s  0.66%  github.com/dagger/dagger/core/sdk/dang/v2.(*runtime).Call
         0     0%  8.27%      0.06s  0.66%  github.com/dagger/dagger/core/sdk/dang/v2.(*runtime).eval
         0     0%  8.27%      0.06s  0.66%  github.com/vito/dang/v2/pkg/dang.WithInferErrorHandling
         0     0%  8.27%      0.06s  0.66%  internal/runtime/maps.(*Map).growToSmall
     0.01s  0.11%  8.38%      0.06s  0.66%  internal/runtime/maps.NewEmptyMap (inline)
         0     0%  8.38%      0.06s  0.66%  runtime.(*mcache).nextFree
         0     0%  8.38%      0.06s  0.66%  runtime.(*mcache).refill
         0     0%  8.38%      0.06s  0.66%  runtime.makemap_small
     0.04s  0.44%  8.82%      0.05s  0.55%  fmt.(*fmt).fmtInteger
         0     0%  8.82%      0.05s  0.55%  github.com/dagger/dagger/core/sdk/dang/v2.(*runtime).eval.func1
