cycle,operation,wall_ns,headers_ns,listed_names
1,"version",16521008,"",0
1,"all_names",143684113,"",69
1,"filtered_names",85176310,"",6
1,"filtered_states",91569033,"",6
1,"exact_inspect",12624710,"",1
1,"api_filtered",72387613,72170399,6
2,"api_filtered",68991380,68821857,6
2,"exact_inspect",12250473,"",1
2,"filtered_states",84217682,"",6
2,"filtered_names",83604911,"",6
2,"all_names",137930350,"",69
2,"version",15776262,"",0
3,"version",15479772,"",0
3,"all_names",142794125,"",69
3,"filtered_names",83759485,"",6
3,"filtered_states",82553516,"",6
3,"exact_inspect",12163001,"",1
3,"api_filtered",72104186,71917644,6
4,"api_filtered",69704282,69584587,6
4,"exact_inspect",12575949,"",1
4,"filtered_states",84903705,"",6
4,"filtered_names",84042661,"",6
4,"all_names",141107135,"",69
4,"version",16571580,"",0
5,"version",15596738,"",0
5,"all_names",137095110,"",69
5,"filtered_names",81339811,"",6
5,"filtered_states",82327987,"",6
5,"exact_inspect",12131752,"",1
5,"api_filtered",70645566,70478389,6
6,"api_filtered",71809535,71682043,6
6,"exact_inspect",11443342,"",1
6,"filtered_states",80510380,"",6
6,"filtered_names",83945204,"",6
6,"all_names",145321358,"",69
6,"version",16141659,"",0
7,"version",15627373,"",0
7,"all_names",139161853,"",69
7,"filtered_names",83311867,"",6
7,"filtered_states",83910399,"",6
7,"exact_inspect",12822409,"",1
7,"api_filtered",71592622,71419445,6
8,"api_filtered",72622345,72458546,6
8,"exact_inspect",11593768,"",1
8,"filtered_states",84230587,"",6
8,"filtered_names",86426243,"",6
8,"all_names",140134964,"",69
8,"version",15864140,"",0
