"label","before_ms","after_ms","saving_ms","before_profile_pass","after_profile_pass","before_execs","after_execs","before_image_unpacks","after_image_unpacks"
"warmup-dagger",25282.67471,19874.635447,5408.039262999999,false,false,4,4,1,1
"fmt",1463.260848,1186.87532,276.3855279999998,true,true,3,3,0,0
"clippy",2078.203669,2292.60679,-214.40312099999983,true,true,3,3,0,0
"test",1201.45685,1052.930613,148.52623700000004,true,true,1,1,0,0
"generate",1170.803446,1199.157011,-28.353565000000117,true,true,1,1,0,0
"generate-unchanged",828.382214,852.848685,-24.46647100000007,true,true,0,0,0,0
"check-default-selection",1255.000428,810.010837,444.989591,true,true,0,0,0,0
"library-edit-check",983.083818,945.781768,37.302049999999895,true,true,1,1,0,0
"library-edit-generate",1272.427714,1170.062447,102.3652669999999,true,true,1,1,0,0
"failure",1007.423825,944.731933,62.69189199999994,true,true,1,1,0,0
"repair",863.478613,489.835275,373.64333799999997,true,true,0,0,0,0
"revisit-generate",949.934757,959.947758,-10.013001000000031,true,true,0,0,0,0
"unlocked-generate",1516.99739,1485.824395,31.1729949999999,true,true,1,1,0,0
"unlocked-generate-unchanged",1328.311423,1065.991636,262.31978700000013,true,true,1,1,0,0
"loop-0-cached-check",983.901529,764.08374,219.81778899999995,true,true,0,0,0,0
"loop-0-edit-check",2106.023936,2074.141444,31.882492000000184,true,true,5,5,0,0
"loop-0-generate",1002.897165,947.694608,55.202556999999956,true,true,0,0,0,0
"loop-1-cached-check",948.375735,882.81129,65.56444499999998,true,true,0,0,0,0
"loop-1-edit-check",2066.758362,2020.437197,46.321165000000065,true,true,5,5,0,0
"loop-1-generate",1046.737581,863.361255,183.37632600000006,true,true,0,0,0,0
"loop-2-cached-check",1167.979958,852.578783,315.40117499999985,true,true,0,0,0,0
"loop-2-edit-check",2390.644699,1984.034908,406.60979099999986,true,true,5,5,0,0
"loop-2-generate",1076.30635,882.540662,193.76568800000007,true,true,0,0,0,0
"loop-3-cached-check",1090.979999,753.130246,337.84975299999985,true,true,0,0,0,0
"loop-3-edit-check",2320.02738,1929.255117,390.77226300000007,true,true,5,5,0,0
"loop-3-generate",1030.342862,864.908209,165.4346529999999,true,true,0,0,0,0
"loop-4-cached-check",1064.442791,754.10587,310.33692099999996,true,true,0,0,0,0
"loop-4-edit-check",2264.945433,1975.077837,289.8675959999998,true,true,5,5,0,0
"loop-4-generate",1107.632906,868.149446,239.48346000000004,true,true,0,0,0,0
"loop-5-cached-check",917.860013,759.327861,158.532152,true,true,0,0,0,0
"loop-5-edit-check",2045.320623,1973.456925,71.86369800000011,true,true,5,5,0,0
"loop-5-generate",867.025139,856.101335,10.923804000000018,true,true,0,0,0,0
"loop-restore-generate",920.04441,902.651098,17.393311999999924,true,true,0,0,0,0
