label,before_ms,after_ms,saving_ms,before_exit,after_exit,before_trace_accepted,after_trace_accepted,before_actual_execs,after_actual_execs
warmup-dagger,18461.564009,18469.688035,-8.124025999997684,0,0,false,false,4,4
fmt,1334.526899,1293.073627,41.45327199999997,0,0,true,true,3,3
clippy,2232.689987,2093.229248,139.4607390000001,0,0,true,true,3,3
test,1027.246295,994.465395,32.780899999999974,0,0,true,true,1,1
generate,1247.607841,1169.949592,77.65824900000007,0,0,true,true,1,1
generate-unchanged,861.639786,894.466573,-32.82678700000008,0,0,true,true,0,0
check-default-selection,842.158932,600.012296,242.14663600000006,0,0,true,true,0,0
library-edit-check,984.698589,900.926403,83.77218599999992,0,0,true,true,1,1
library-edit-generate,1269.313717,1306.384773,-37.071056,0,0,true,true,1,1
failure,952.463027,1003.513324,-51.050297,101,101,true,true,1,1
repair,521.974373,561.015822,-39.04144899999994,0,0,true,true,0,0
revisit-generate,911.923708,976.143272,-64.21956399999999,0,0,true,true,0,0
unlocked-generate,1384.638546,1520.613115,-135.9745690000002,0,0,true,true,1,1
unlocked-generate-unchanged,1061.617447,1086.111297,-24.49384999999984,0,0,true,true,1,1
loop-0-cached-check,791.571722,570.272359,221.29936299999997,0,0,true,true,0,0
loop-0-edit-check,2039.156442,1999.802425,39.354016999999885,1,1,true,true,5,5
loop-0-generate,930.160645,625.614887,304.5457580000001,0,0,true,true,0,0
loop-1-cached-check,928.102741,916.611206,11.491534999999999,0,0,true,true,0,0
loop-1-edit-check,1983.500883,2040.096597,-56.595714000000044,1,1,true,true,5,5
loop-1-generate,879.747482,762.372396,117.37508600000001,0,0,true,true,0,0
loop-2-cached-check,877.24455,869.25849,7.986059999999952,0,0,true,true,0,0
loop-2-edit-check,2119.869802,2140.355493,-20.48569099999986,1,1,true,true,5,5
loop-2-generate,956.045041,709.763243,246.28179799999998,0,0,true,true,0,0
loop-3-cached-check,831.356335,860.036793,-28.680458000000044,0,0,true,true,0,0
loop-3-edit-check,2141.521135,2076.092302,65.42883299999994,1,1,true,true,5,5
loop-3-generate,939.42172,672.326169,267.095551,0,0,true,true,0,0
loop-4-cached-check,765.64833,816.516724,-50.86839399999997,0,0,true,true,0,0
loop-4-edit-check,2020.811247,2033.115188,-12.303940999999895,1,1,true,true,5,5
loop-4-generate,1038.266933,628.761933,409.5050000000001,0,0,true,true,0,0
loop-5-cached-check,889.855524,944.549844,-54.69432000000006,0,0,true,true,0,0
loop-5-edit-check,2065.545206,2035.716627,29.828578999999763,1,1,true,true,5,5
loop-5-generate,1066.344795,717.992502,348.35229300000003,0,0,true,true,0,0
loop-restore-generate,935.69865,970.255543,-34.556892999999945,0,0,true,true,0,0
target-only-drift,803.613868,813.367942,-9.754073999999946,1,1,true,true,0,0
target-only-repair,1020.260098,581.874887,438.385211,0,0,true,true,0,0
manifest-invalid,1067.833566,927.498509,140.335057,101,101,true,true,1,1
manifest-repair,651.685226,538.452991,113.23223499999995,0,0,true,true,0,0
cargo-config-invalid,1160.032832,927.273592,232.7592400000001,101,101,true,true,1,1
cargo-config-repair,584.476368,484.515268,99.96109999999999,0,0,true,true,0,0
toolchain-invalid,868.428486,813.130347,55.29813899999999,1,1,true,true,1,1
toolchain-repair,508.977304,577.606829,-68.62952499999994,0,0,true,true,0,0
module-settings-invalid,989.587557,1096.04601,-106.45845300000008,101,101,true,true,1,1
module-settings-repair,651.914136,524.74673,127.16740600000003,0,0,true,true,0,0
direct-0-edit-generate,1323.03233,1311.133009,11.8993210000001,0,0,true,true,1,1
direct-0-cached-generate,1034.631312,853.390358,181.240954,0,0,true,true,0,0
direct-1-edit-generate,1365.002893,1294.378575,70.62431800000013,0,0,true,true,1,1
direct-1-cached-generate,1061.908852,824.402413,237.506439,0,0,true,true,0,0
direct-2-edit-generate,1357.366045,1206.22324,151.14280499999995,0,0,true,true,1,1
direct-2-cached-generate,893.023225,819.544048,73.47917700000005,0,0,true,true,0,0
direct-3-edit-generate,1578.376886,1212.958811,365.41807500000004,0,0,true,true,1,1
direct-3-cached-generate,820.812507,986.423339,-165.61083200000007,0,0,true,true,0,0
direct-4-edit-generate,1203.023609,1163.981182,39.04242700000009,0,0,true,true,1,1
