label,before_ms,after_ms,saving_ms,before_exit,after_exit,before_trace_accepted,after_trace_accepted,before_actual_execs,after_actual_execs
warmup-dagger,18863.761594,32414.532516,-13550.770922,0,0,false,false,4,4
fmt,1222.300898,1243.203097,-20.90219900000011,0,0,true,true,3,3
clippy,2309.966506,2264.323828,45.64267800000016,0,0,false,true,3,3
test,995.320834,1127.995149,-132.6743150000001,0,0,true,true,1,1
generate,1218.33931,1177.592345,40.746965000000046,0,0,true,true,1,1
generate-unchanged,844.156926,803.375564,40.781361999999945,0,0,true,true,0,0
check-default-selection,764.267918,504.154975,260.11294300000003,0,0,true,true,0,0
library-edit-check,885.835914,914.865394,-29.029480000000035,0,0,true,true,1,1
library-edit-generate,1168.223601,1260.224758,-92.00115700000015,0,0,true,true,1,1
failure,918.517928,918.111999,0.40592900000001464,101,101,true,true,1,1
repair,496.892557,487.444051,9.448506000000009,0,0,true,true,0,0
revisit-generate,879.992236,935.07462,-55.082383999999934,0,0,true,true,0,0
unlocked-generate,1358.381598,1501.710786,-143.32918800000016,0,0,true,true,1,1
unlocked-generate-unchanged,1035.0598,1129.9296,-94.86979999999994,0,0,true,true,1,1
loop-0-cached-check,762.358965,558.659473,203.69949199999996,0,0,true,true,0,0
loop-0-edit-check,2005.82156,2117.724827,-111.90326699999991,1,1,true,true,5,5
loop-0-generate,898.868574,609.306916,289.56165799999997,0,0,true,true,0,0
loop-1-cached-check,801.677732,868.238181,-66.56044900000006,0,0,true,true,0,0
loop-1-edit-check,2105.680692,2057.825705,47.85498699999971,1,1,true,true,5,5
loop-1-generate,895.346064,837.504839,57.84122500000001,0,0,true,true,0,0
loop-2-cached-check,839.631828,814.581758,25.050070000000005,0,0,true,true,0,0
loop-2-edit-check,1963.608812,1985.032337,-21.423525000000154,1,1,true,true,5,5
loop-2-generate,859.316361,610.326706,248.98965500000008,0,0,true,true,0,0
loop-3-cached-check,765.616151,841.702741,-76.08659,0,0,true,true,0,0
loop-3-edit-check,1990.232071,1890.531254,99.70081699999992,1,1,true,true,5,5
loop-3-generate,876.284731,669.575109,206.70962199999997,0,0,true,true,0,0
loop-4-cached-check,761.983106,805.746768,-43.763661999999954,0,0,true,true,0,0
loop-4-edit-check,2047.821301,1928.544214,119.27708699999994,1,1,true,true,5,5
loop-4-generate,910.915205,636.881054,274.03415100000007,0,0,true,true,0,0
loop-5-cached-check,774.135815,795.040419,-20.904604000000063,0,0,true,true,0,0
loop-5-edit-check,2083.496232,1981.957634,101.53859799999987,1,1,true,true,5,5
loop-5-generate,1043.869056,617.237087,426.631969,0,0,true,true,0,0
loop-restore-generate,1055.207246,916.88227,138.324976,0,0,true,true,0,0
target-only-drift,758.195555,795.119553,-36.92399799999998,1,1,true,true,0,0
target-only-repair,994.516483,599.533224,394.983259,0,0,true,true,0,0
manifest-invalid,890.403738,914.408253,-24.00451499999997,101,101,true,true,1,1
manifest-repair,549.053873,461.895308,87.15856499999995,0,0,true,true,0,0
cargo-config-invalid,1021.274928,874.772522,146.50240600000006,101,101,true,true,1,1
cargo-config-repair,483.505409,494.749256,-11.243847000000017,0,0,true,true,0,0
toolchain-invalid,885.694335,779.91469,105.77964500000007,1,1,true,true,1,1
toolchain-repair,672.272712,509.279466,162.99324599999994,0,0,true,true,0,0
module-settings-invalid,1009.12553,1007.130348,1.9951819999999998,101,101,true,true,1,1
module-settings-repair,546.748756,468.277593,78.47116299999993,0,0,true,true,0,0
direct-0-edit-generate,1221.033719,1174.066364,46.967355,0,0,true,true,1,1
direct-0-cached-generate,987.449156,822.310446,165.13871000000006,0,0,true,true,0,0
direct-1-edit-generate,1356.591951,1178.126175,178.465776,0,0,true,true,1,1
direct-1-cached-generate,1011.196978,824.932704,186.264274,0,0,true,true,0,0
direct-2-edit-generate,1420.289281,1175.824925,244.46435600000018,0,0,true,true,1,1
direct-2-cached-generate,968.40777,938.411818,29.99595199999999,0,0,true,true,0,0
direct-3-edit-generate,1234.436205,1169.576583,64.85962199999994,0,0,true,true,1,1
direct-3-cached-generate,765.14954,782.370141,-17.220600999999988,0,0,true,true,0,0
direct-4-edit-generate,1375.374546,1181.611364,193.76318199999992,0,0,true,true,1,1
direct-4-cached-generate,863.811008,824.795631,39.01537700000006,0,0,true,true,0,0
direct-5-edit-generate,1449.514585,1276.008958,173.505627,0,0,true,true,1,1
direct-5-cached-generate,1040.595071,769.527872,271.06719899999996,0,0,true,true,0,0
direct-restore-generate,892.513707,921.674864,-29.161157000000003,0,0,true,true,0,0
module-settings-build-invalid,1200.096459,893.040756,307.0557030000001,101,101,true,true,1,1
module-settings-build-repair,910.281825,488.589572,421.69225300000005,0,0,true,true,0,0
aliased-generate,1552.988485,1403.704146,149.28433900000005,0,0,true,true,1,1
artifact-deleted-drift,,772.497057,,,1,,true,,0
artifact-deleted-repair,,727.161264,,,0,,true,,0
artifact-obsolete-drift,,960.637376,,,1,,true,,0
artifact-obsolete-repair,,559.408369,,,0,,true,,0
artifact-mode-drift,,788.032528,,,1,,true,,0
artifact-mode-repair,,652.537676,,,0,,true,,0
managed-absent-drift,,516.578155,,,1,,true,,0
managed-absent-repair,,553.717856,,,0,,true,,0
managed-empty-drift,,804.340534,,,1,,true,,0
managed-empty-repair,,615.547356,,,0,,true,,0
output-state-stabilize,,563.865939,,,0,,true,,0
output-state-repeat,,560.500655,,,0,,true,,0
unrelated-target-check,,485.050125,,,0,,true,,0
managed-symlink,,748.131808,,,1,,true,,0
target-symlink,,698.685272,,,1,,true,,0
unlocked-lock-symlink,,741.857663,,,1,,true,,0
