key,kind,side,case,role,timed,warmup,trace_id,process_ms,before_root_ms,root_ms,after_root_ms,cargo_exec_ms,non_exec_process_ms,query_count,spans,declared_engine_spans,received_engine_spans,gate_exit,replay_drift,complete_expected_execs
dagger-rust-generator-pair-9mtwsg9b-application-0-before,pilot,before,,,True,True,d2fb2b4cebbcecc771eaf1e3b700a265,1506.860372,39.105194,1451.212549,16.54866,230.529773,1276.3305990000001,30,464,443,443,0,-0.1%,True
dagger-rust-generator-pair-9mtwsg9b-application-0-after,pilot,after,,,True,True,b51dec4969eeb729e6896ecff44ddf73,1486.258662,35.299754,1435.811591,15.152859,218.031803,1268.2268589999999,30,452,431,431,0,-0.1%,True
dagger-rust-generator-pair-9mtwsg9b-application-0-before-messages,pilot,before,,,False,True,141564823f4f840e2b56d76efeb1b39e,856.445484,29.09748,816.798077,10.555153,0,856.445484,12,184,163,163,0,-0.1%,True
dagger-rust-generator-pair-9mtwsg9b-application-0-after-messages,pilot,after,,,False,True,a8a24ef55bb5ab128153045c226ed491,1424.993453,33.686948,1377.387004,13.924706,0,1424.993453,12,184,163,163,0,-0.0%,True
dagger-rust-generator-pair-9mtwsg9b-application-1-before,pilot,before,,,True,False,3547bf4d2bb824b700df78e5cd74f179,1301.248372,29.245739,1255.473385,16.534258,209.467288,1091.781084,30,464,443,443,0,-0.1%,True
dagger-rust-generator-pair-9mtwsg9b-application-1-after,pilot,after,,,True,False,7cded70be3410d1c502834ea80fe1525,1231.934238,34.451683,1183.241524,14.246076,215.287585,1016.646653,30,449,428,428,0,-0.1%,True
dagger-rust-generator-pair-9mtwsg9b-application-1-before-messages,pilot,before,,,False,False,08fa48497606c0fe01f87451be2b1e79,814.341128,29.781986,771.961849,12.602092,0,814.341128,12,184,163,163,0,-0.0%,True
dagger-rust-generator-pair-9mtwsg9b-application-1-after-messages,pilot,after,,,False,False,e135419caed2942357b3051f40847653,859.88325,40.205929,809.107379,10.578766,0,859.88325,12,184,163,163,0,-0.0%,True
dagger-rust-generator-pair-9mtwsg9b-application-2-after,pilot,after,,,True,False,c52c88b5504bbc83c0a6adb211b90487,1754.238622,42.282178,1696.002094,15.960883,262.607457,1491.631165,30,455,434,434,0,-0.1%,True
dagger-rust-generator-pair-9mtwsg9b-application-2-before,pilot,before,,,True,False,536470ed0e2e5319691ab24c04cfd2ea,1348.851588,44.652426,1288.879604,15.324987,210.551992,1138.299596,30,458,437,437,0,-0.1%,True
dagger-rust-generator-pair-9mtwsg9b-application-2-before-messages,pilot,before,,,False,False,52bd336ebb64a733c3532aaf50956740,874.333351,29.235268,834.157356,10.945156,0,874.333351,12,184,163,163,0,-0.1%,True
dagger-rust-generator-pair-9mtwsg9b-application-2-after-messages,pilot,after,,,False,False,4a35d267df5cc468c2c63fcd3f6aea56,1274.683305,42.805161,1205.184349,26.699882,0,1274.683305,12,184,163,163,0,-0.1%,True
dagger-rust-generator-pair-9mtwsg9b-application-3-after,pilot,after,,,True,False,69c7b3ced3900f307d5a22bba73e5195,1585.993369,30.579354,1526.169567,29.250954,239.041622,1346.951747,30,455,434,434,0,-0.1%,True
dagger-rust-generator-pair-9mtwsg9b-application-3-before,pilot,before,,,True,False,2c3e3922b2602ef906c5acb64b9be7c9,1397.576672,44.549615,1342.265828,10.767061,220.054748,1177.521924,30,458,437,437,0,-0.1%,True
dagger-rust-generator-pair-9mtwsg9b-application-3-before-messages,pilot,before,,,False,False,d276dafa513fa305f27696be2382a9a8,862.087566,34.577974,817.166277,10.346902,0,862.087566,12,184,163,163,0,-0.1%,True
dagger-rust-generator-pair-9mtwsg9b-application-3-after-messages,pilot,after,,,False,False,cfd62ebb1245349743de97ac4e8f7309,890.496664,28.846352,849.064563,12.590786,0,890.496664,12,184,163,163,0,-0.0%,True
dagger-rust-generator-pair-9mtwsg9b-application-4-before,pilot,before,,,True,False,00ff40037acd5aeb9bfb1d994a0e12cd,2099.003367,34.687038,2052.358961,11.962272,352.090479,1746.9128879999998,30,464,443,443,0,-0.1%,True
