scenario,sample,side,milliseconds,warmup,exit_code
application,0,before,1529.983512,True,0
application,0,after,1216.311891,True,0
application,0,native,137.725825,True,0
application,1,before,1309.361142,False,0
application,1,native,143.043383,False,0
application,1,after,1112.24387,False,0
application,2,after,1144.500592,False,0
application,2,before,1302.941461,False,0
application,2,native,140.411383,False,0
application,3,after,1115.681754,False,0
application,3,native,136.051698,False,0
application,3,before,1295.301426,False,0
library,0,native,176.404162,True,0
library,0,before,1434.638319,True,0
library,0,after,1310.279434,True,0
library,1,native,191.79652,False,0
library,1,after,1368.194893,False,0
library,1,before,1660.833558,False,0
library,2,before,1494.992191,False,0
library,2,after,1425.493029,False,0
library,2,native,203.926132,False,0
library,3,before,1634.586434,False,0
library,3,native,240.269922,False,0
library,3,after,1359.57897,False,0
