scenario,sample,side,milliseconds,warmup,exit_code
application,0,before,2208.124866,True,0
application,0,after,1416.597011,True,0
application,0,native,167.885871,True,0
application,1,before,2092.673395,False,0
application,1,native,164.470179,False,0
application,1,after,1350.540123,False,0
application,2,after,1268.55546,False,0
application,2,before,1873.081058,False,0
application,2,native,149.312198,False,0
application,3,after,1285.197381,False,0
application,3,native,155.984765,False,0
application,3,before,1974.767528,False,0
application,4,native,166.592177,False,0
application,4,before,2059.224087,False,0
application,4,after,1466.00825,False,0
application,5,native,136.614504,False,0
application,5,after,1217.524395,False,0
application,5,before,2140.25714,False,0
application,6,before,1825.273963,False,0
application,6,after,1405.218976,False,0
application,6,native,140.568654,False,0
application,7,before,1873.572766,False,0
application,7,native,139.676194,False,0
application,7,after,1161.605965,False,0
application,8,after,1306.800637,False,0
application,8,before,1943.721439,False,0
application,8,native,172.508873,False,0
application,9,after,1312.720268,False,0
application,9,native,144.360908,False,0
application,9,before,1929.157108,False,0
application,10,native,135.229572,False,0
application,10,before,2090.170431,False,0
application,10,after,1289.707849,False,0
application,11,native,142.056916,False,0
application,11,after,1292.081612,False,0
application,11,before,1902.004923,False,0
application,12,before,1884.894257,False,0
application,12,after,1241.728738,False,0
application,12,native,138.359892,False,0
application,13,before,2026.680409,False,0
application,13,native,141.799679,False,0
application,13,after,1401.299833,False,0
application,14,after,1322.212106,False,0
application,14,before,1979.217525,False,0
application,14,native,158.090098,False,0
application,15,after,1285.801754,False,0
application,15,native,149.587308,False,0
application,15,before,2066.712624,False,0
application,16,native,140.289674,False,0
application,16,before,1903.136958,False,0
application,16,after,1389.569866,False,0
application,17,native,143.376637,False,0
application,17,after,1312.121311,False,0
application,17,before,1822.295936,False,0
application,18,before,1968.039617,False,0
application,18,after,1312.32925,False,0
application,18,native,146.380422,False,0
application,19,before,1930.208258,False,0
application,19,native,137.360118,False,0
application,19,after,1233.464239,False,0
application,20,after,1304.180215,False,0
application,20,before,2017.082609,False,0
application,20,native,169.607217,False,0
application,21,after,1340.301276,False,0
application,21,native,136.441044,False,0
application,21,before,2012.239409,False,0
application,22,native,174.208644,False,0
application,22,before,2016.460395,False,0
application,22,after,1330.60149,False,0
application,23,native,141.9892,False,0
application,23,after,1305.616366,False,0
application,23,before,1921.289702,False,0
application,24,before,1940.64208,False,0
application,24,after,1235.555994,False,0
application,24,native,145.974138,False,0
application,25,before,1829.344511,False,0
application,25,native,184.316029,False,0
