label,timed,warmup,trace_id,process_ms,before_root_ms,root_ms,after_root_ms,cargo_exec_ms,non_exec_process_ms,query_count,spans,declared_engine_spans,received_engine_spans,gate_exit,replay_drift,complete_expected_execs
application-0-before,True,True,97386b56a54ef87f2cfb6de77193f376,2208.124866,35.211838,2157.462863,15.454439,237.853521,1970.271345,30,521,500,500,0,-0.1%,True
application-0-after,True,True,d4cd64b75293d125be1e2c73c5be810e,1416.597011,27.738789,1374.031777,14.830999,242.719393,1173.877618,30,464,443,443,0,-0.1%,True
application-0-before-messages,False,True,0d7a094f349742d414aad8d0765a17e6,923.206995,29.72192,876.94314,16.545975,0,923.206995,12,184,163,163,0,-0.0%,True
application-0-after-messages,False,True,b10251091c985ac23eb0699dfb6d7d27,817.427152,29.989373,772.945252,14.496795,0,817.427152,12,184,163,163,0,-0.0%,True
application-1-before,True,False,bf9e9898055d868965f9c7f3ae7afaff,2092.673395,30.236944,2047.178837,15.263348,229.139264,1863.534131,30,473,452,452,0,-0.1%,True
application-1-after,True,False,781fede9b3fd2271edb1a5a26c5dab2d,1350.540123,31.47926,1306.070086,13.002021,235.831886,1114.708237,30,464,443,443,0,-0.1%,True
application-1-before-messages,False,False,0668a75eca5d3a52d15c40a5096e583a,851.16927,27.671596,812.933191,10.568583,0,851.16927,12,184,163,163,0,-0.0%,True
application-1-after-messages,False,False,04dc8c373c095ad57fe50983c87cb568,950.733519,28.557311,914.208302,7.972364,0,950.733519,12,184,163,163,0,-0.1%,True
application-2-after,True,False,a1a25f652887994282f7061ee32598c3,1268.55546,28.210409,1228.132147,12.21819,266.500272,1002.055188,30,464,443,443,0,-0.1%,True
application-2-before,True,False,351c23ae98c24fbc45eccd0a9ce86e7e,1873.081058,27.585613,1831.855627,13.64325,231.450102,1641.630956,30,473,452,452,0,-0.1%,True
application-2-before-messages,False,False,c74b6bb4b2e77407ef198ca120592c62,733.296577,27.663474,694.115091,11.523082,0,733.296577,12,184,163,163,0,-0.1%,True
application-2-after-messages,False,False,3cad1cf7ac9ec78cfbf0f0aef2ee1fd3,754.14818,33.088199,712.282001,8.782568,0,754.14818,12,184,163,163,0,-0.1%,True
application-3-after,True,False,9bc47a2bcbb00d07f51df00c6e3740a2,1285.197381,29.825988,1241.379697,13.996701,238.846385,1046.350996,30,464,443,443,0,-0.1%,True
application-3-before,True,False,497e7bf5539e391bc5af9dce203634b6,1974.767528,28.58513,1930.573803,15.61518,236.082481,1738.6850470000002,30,473,452,452,0,-0.1%,True
application-3-before-messages,False,False,80248123a7a8746fa4dcab49344c1d83,757.709801,29.572715,717.068628,11.071499,0,757.709801,12,184,163,163,0,-0.0%,True
application-3-after-messages,False,False,db6985e7506fc15b7e421f8043db829d,906.298119,28.318386,855.282087,22.702722,0,906.298119,12,184,163,163,0,-0.0%,True
application-4-before,True,False,3260c4d8a668b9a4b4ea8352313a4f14,2059.224087,31.95807,2018.080126,9.189645,250.727936,1808.496151,30,473,452,452,0,-0.1%,True
application-4-after,True,False,7fd76a861b1716d4da8d561d81732270,1466.00825,27.833026,1422.914572,15.26467,316.135985,1149.872265,30,464,443,443,0,-0.1%,True
application-4-before-messages,False,False,ea5d0ecfb630bab6b7add94e54592079,954.48004,27.240911,917.588795,9.659628,0,954.48004,12,184,163,163,0,-0.0%,True
application-4-after-messages,False,False,f3994776ceb6ddc012f0069761a15f74,843.616736,27.104499,805.623534,10.893901,0,843.616736,12,184,163,163,0,-0.1%,True
application-5-after,True,False,9ae0f7885448ae77726e355eff4af5af,1217.524395,26.818482,1176.78535,13.925103,213.059494,1004.4649009999999,30,464,443,443,0,-0.1%,True
application-5-before,True,False,c19b9ea2c2fffe456f1839baeb160e39,2140.25714,27.769148,2100.934114,11.558994,288.679804,1851.5773360000003,30,473,452,452,0,-0.1%,True
application-5-before-messages,False,False,3dbe6fcc7e92f4fdd8c0beadcab1ba15,803.985649,30.664354,761.951369,11.374639,0,803.985649,12,184,163,163,0,-0.1%,True
application-5-after-messages,False,False,3d5c973c56eb73926ae611cbb5873766,918.555401,29.183533,879.371591,10.004275,0,918.555401,12,184,163,163,0,-0.0%,True
application-6-before,True,False,e3f97939cd14a8b5f4673ed16de8e214,1825.273963,27.665877,1784.445296,13.167895,231.965654,1593.308309,30,473,452,452,0,-0.1%,True
application-6-after,True,False,f4dbe839ba04bd3504e09ac24e2480b1,1405.218976,27.132323,1365.383877,12.706193,255.826353,1149.3926230000002,30,464,443,443,0,-0.1%,True
application-6-before-messages,False,False,bd5ecb152bcd723e5aa765cd47ce227c,796.236955,29.044555,757.601694,9.595963,0,796.236955,12,184,163,163,0,-0.0%,True
application-6-after-messages,False,False,5c9965a00b8d084156825e0d39e2a215,855.037784,27.977274,817.984252,9.080012,0,855.037784,12,184,163,163,0,-0.0%,True
application-7-before,True,False,be55ad837474d46d2bbf6b92c4047940,1873.572766,26.997341,1835.365189,11.215523,234.989922,1638.582844,30,473,452,452,0,-0.1%,True
application-7-after,True,False,14c7c7f764b4d355577528a2fd64937f,1161.605965,27.622613,1121.22201,12.765783,228.912168,932.6937969999999,30,464,443,443,0,-0.1%,True
application-7-before-messages,False,False,e487c1699dea75866246aae823be844e,930.450215,27.672934,890.591502,12.189799,0,930.450215,12,184,163,163,0,-0.0%,True
application-7-after-messages,False,False,009d3199d75815a0d90176cd51756bc7,814.551185,28.954142,774.86358,10.737873,0,814.551185,12,184,163,163,0,-0.1%,True
application-8-after,True,False,76a43c937acd2b1869f7e5693385d297,1306.800637,29.047949,1262.806935,14.949211,256.231536,1050.569101,30,464,443,443,0,-0.1%,True
application-8-before,True,False,fe42af6c94e2fd742c389d1c8dd14e4b,1943.721439,28.646233,1902.94572,12.13364,249.385594,1694.3358449999998,30,473,452,452,0,-0.1%,True
application-8-before-messages,False,False,94a73ed923a9db6f89cd3b13be6555e3,732.593526,27.690797,694.303356,10.603033,0,732.593526,12,184,163,163,0,-0.1%,True
application-8-after-messages,False,False,9fef279b3fbd22c92e3aeb94ddbf90e3,921.592973,27.492951,883.652354,10.452155,0,921.592973,12,184,163,163,0,-0.1%,True
application-9-after,True,False,cbdcb4fcca7eea0e0fbd1dfb45b61e04,1312.720268,26.655802,1271.062874,15.006498,252.54676,1060.173508,30,464,443,443,0,-0.1%,True
application-9-before,True,False,95f20b2eae4360f5044f6fe428d13ef8,1929.157108,27.210625,1891.026,10.925379,209.788032,1719.3690760000002,30,473,452,452,0,-0.1%,True
application-9-before-messages,False,False,45bb7673bf5325d916fc91b92c34a7df,754.648419,27.726386,717.662122,9.267352,0,754.648419,12,184,163,163,0,-0.0%,True
application-9-after-messages,False,False,238dee1cd7f52e2952108be6e866dfc0,732.852629,27.788096,692.503455,12.565825,0,732.852629,12,184,163,163,0,-0.0%,True
application-10-before,True,False,834420aca5874152e5c7988ff9090703,2090.170431,26.717991,2050.310009,13.147047,268.01087,1822.159561,30,473,452,452,0,-0.1%,True
application-10-after,True,False,f2660ce3cd87f202406123f7fed17303,1289.707849,27.59176,1244.052663,18.068307,268.905509,1020.80234,30,464,443,443,0,-0.1%,True
application-10-before-messages,False,False,0b7c47dfecaf49bcf75c59c43d982b89,729.798258,31.14407,689.008423,9.650509,0,729.798258,12,184,163,163,0,-0.1%,True
application-10-after-messages,False,False,b1693bb8757bf49ac1baa42713642341,750.568292,28.593588,711.540804,10.439268,0,750.568292,12,184,163,163,0,-0.0%,True
application-11-after,True,False,7de7a473cd4b7651989b9483316cb993,1292.081612,28.332456,1250.72016,13.033616,279.520988,1012.560624,30,464,443,443,0,-0.1%,True
application-11-before,True,False,659719fbad4244c0ed491923fea66d7e,1902.004923,31.505853,1858.99681,11.506578,256.289753,1645.71517,30,473,452,452,0,-0.1%,True
application-11-before-messages,False,False,c849758e9128430644c9b4032ed458c9,715.071244,29.074169,676.280958,9.720603,0,715.071244,12,184,163,163,0,-0.1%,True
application-11-after-messages,False,False,1d965ac2246be0fd9f2542e2402a2143,720.004084,26.704064,681.41894,11.885129,0,720.004084,12,184,163,163,0,-0.1%,True
application-12-before,True,False,d4d24b261a2ca52249d831a81e58eca4,1884.894257,26.914639,1845.886045,12.09934,251.55194,1633.3423169999999,30,473,452,452,0,-0.1%,True
application-12-after,True,False,cb6da6d4a8c35636b026ec4d2703118f,1241.728738,26.44149,1204.166336,11.125692,235.750873,1005.9778650000001,30,464,443,443,0,-0.1%,True
application-12-before-messages,False,False,8d0ce3e04498d7743fe4e132eb3e6dc5,950.821826,28.421822,912.425673,9.97799,0,950.821826,12,184,163,163,0,-0.0%,True
application-12-after-messages,False,False,06da432d1f77eae33ae8dbae98b9d956,918.786747,27.287067,880.662682,10.841943,0,918.786747,12,184,163,163,0,-0.0%,True
application-13-before,True,False,1d971f6798c630c46f128cccefb3e986,2026.680409,28.920672,1985.681325,12.082614,261.319241,1765.3611680000001,30,473,452,452,0,-0.1%,True
application-13-after,True,False,9f193b3c1a279f958acc4e1362633e21,1401.299833,27.753171,1361.638792,11.912939,250.218075,1151.081758,30,464,443,443,0,-0.1%,True
application-13-before-messages,False,False,1b6b2380ca8bb2369f346c0012ac6d36,917.086522,31.421158,873.825102,11.844565,0,917.086522,12,184,163,163,0,-0.1%,True
application-13-after-messages,False,False,3dba9471b4e6837249e1d3a58890ec18,760.160307,25.867252,722.285125,12.012351,0,760.160307,12,184,163,163,0,-0.0%,True
application-14-after,True,False,fcb7d93e281fd97ac34e0f9c868e1e75,1322.212106,27.946465,1276.305258,17.965014,289.834143,1032.377963,30,464,443,443,0,-0.1%,True
application-14-before,True,False,6cd811b74a068381d3b8955a24178a4a,1979.217525,31.040737,1933.469874,14.711751,259.395217,1719.822308,30,473,452,452,0,-0.1%,True
application-14-before-messages,False,False,32059c7e49af55596a0f2f1f0e635dd2,810.553762,33.994484,765.549041,11.013893,0,810.553762,12,184,163,163,0,-0.0%,True
application-14-after-messages,False,False,d2bb7e1cfc123027c026c66240529228,865.464417,42.137671,811.079098,12.252928,0,865.464417,12,184,163,163,0,-0.0%,True
application-15-after,True,False,6136318bf87ba0fe2fc4226d556c981e,1285.801754,28.979359,1243.796778,13.030861,244.433094,1041.36866,30,464,443,443,0,-0.1%,True
application-15-before,True,False,13a57cf9955d5485c59b3c35fae5fcfe,2066.712624,27.818787,2026.685521,12.211931,308.282708,1758.4299159999998,30,473,452,452,0,-0.1%,True
application-15-before-messages,False,False,fccf50ef55c489b8f1cf1f99138ba72f,772.762224,27.994694,730.904872,13.865972,0,772.762224,12,184,163,163,0,-0.0%,True
application-15-after-messages,False,False,7f1a3e35d0356ad7710068a382c1dac6,727.749794,26.916579,688.16622,12.671583,0,727.749794,12,184,163,163,0,-0.1%,True
application-16-before,True,False,82b106ec43673acad0192c677fe5d268,1903.136958,27.874487,1862.916919,12.350943,243.813695,1659.323263,30,473,452,452,0,-0.1%,True
application-16-after,True,False,f6845f0f4e430fb84973655940004e27,1389.569866,27.320989,1349.602171,12.650969,303.004397,1086.5654690000001,30,464,443,443,0,-0.1%,True
application-16-before-messages,False,False,39fed4f918e48de83a78420550aef3b2,767.036456,28.519318,726.351005,12.170372,0,767.036456,12,184,163,163,0,-0.1%,True
application-16-after-messages,False,False,ac4ba1a3015207cdb76e4852f85faf62,718.820291,27.513941,681.295419,10.015246,0,718.820291,12,184,163,163,0,-0.0%,True
application-17-after,True,False,da2decf1aa7850684c37c7d825030dde,1312.121311,26.658172,1272.389312,13.078284,234.446418,1077.674893,30,464,443,443,0,-0.1%,True
application-17-before,True,False,d260925057e8bc0611964dd9ca636d82,1822.295936,28.246412,1783.560753,10.492508,251.71583,1570.580106,30,473,452,452,0,-0.1%,True
application-17-before-messages,False,False,13197b1b3d3babf6291e7f6e970ca059,831.053548,27.581604,794.507916,8.967921,0,831.053548,12,184,163,163,0,-0.0%,True
application-17-after-messages,False,False,603e518858fea210c8bff660565307c1,858.6095,29.332225,819.243837,10.037348,0,858.6095,12,184,163,163,0,-0.0%,True
application-18-before,True,False,02255034752c12992713adacdb76ba2a,1968.039617,27.195689,1929.382494,11.465022,281.307124,1686.732493,30,473,452,452,0,-0.1%,True
application-18-after,True,False,31f33deb38f2fa1fe744482eca2c2383,1312.32925,28.524524,1270.237327,13.572634,278.66046,1033.66879,30,464,443,443,0,-0.1%,True
application-18-before-messages,False,False,eb708a866c52a8c8d01e50bced97eeea,908.186475,30.348055,866.144354,11.699012,0,908.186475,12,184,163,163,0,-0.0%,True
application-18-after-messages,False,False,cf0969ec6d8bbe81a86bcb659b7948c0,835.236326,28.335132,795.526027,11.379641,0,835.236326,12,184,163,163,0,-0.0%,True
application-19-before,True,False,d7ed6a14311a0128af077ec85bf2e669,1930.208258,27.364126,1889.674306,13.174584,245.354433,1684.853825,30,473,452,452,0,-0.1%,True
