sample,side,milliseconds,warmup
0,before,681.480628,True
0,after,506.09019,True
1,after,597.356569,False
1,before,684.81355,False
2,before,637.579891,False
2,after,515.130238,False
3,after,459.159554,False
3,before,700.54556,False
4,before,662.592973,False
4,after,533.357058,False
5,after,457.374727,False
5,before,694.118662,False
6,before,613.082504,False
6,after,458.879167,False
7,after,453.456021,False
7,before,634.991834,False
8,before,713.357823,False
8,after,461.301445,False
9,after,440.974529,False
9,before,630.547426,False
10,before,621.443748,False
10,after,454.447546,False
11,after,545.608985,False
11,before,661.127719,False
12,before,626.386636,False
12,after,469.277723,False
13,after,468.986533,False
13,before,627.75443,False
14,before,619.811576,False
14,after,516.69488,False
15,after,459.234288,False
15,before,624.245948,False
16,before,621.272979,False
16,after,460.405835,False
17,after,447.588603,False
17,before,626.741416,False
18,before,692.139847,False
18,after,460.397214,False
19,after,454.902067,False
19,before,624.824024,False
20,before,619.486309,False
20,after,475.831299,False
21,after,471.212004,False
21,before,690.216073,False
22,before,623.799776,False
22,after,459.930416,False
23,after,475.12791,False
23,before,645.926953,False
24,before,603.46528,False
24,after,444.488139,False
25,after,454.225329,False
25,before,688.778019,False
26,before,668.075699,False
26,after,490.485936,False
27,after,441.88521,False
27,before,701.996522,False
28,before,663.108736,False
28,after,457.030487,False
29,after,528.107086,False
29,before,834.550076,False
30,before,666.388284,False
30,after,554.657058,False
31,after,596.970993,False
31,before,719.882921,False
32,before,671.01935,False
32,after,461.381883,False
33,after,455.434931,False
33,before,795.784493,False
34,before,754.977441,False
34,after,508.351828,False
35,after,568.333483,False
35,before,638.2166,False
36,before,773.730449,False
36,after,575.472024,False
37,after,472.237643,False
37,before,841.949588,False
38,before,734.948901,False
38,after,573.150475,False
39,after,453.989739,False
39,before,679.01557,False
40,before,615.890284,False
40,after,478.155387,False
41,after,519.444886,False
41,before,625.817489,False
42,before,811.029125,False
42,after,455.648437,False
43,after,525.981168,False
43,before,627.206895,False
44,before,619.396067,False
44,after,461.903059,False
45,after,511.217805,False
45,before,613.322513,False
46,before,604.763851,False
46,after,594.639212,False
47,after,462.770798,False
47,before,665.175649,False
48,before,700.383447,False
48,after,460.478578,False
49,after,539.500993,False
49,before,655.871661,False
50,before,683.738055,False
50,after,534.244802,False
51,after,550.7803,False
51,before,654.598534,False
52,before,646.413496,False
52,after,492.172228,False
53,after,527.907543,False
53,before,599.299335,False
54,before,648.666786,False
54,after,564.055567,False
55,after,554.418417,False
55,before,618.843219,False
56,before,727.041389,False
56,after,547.170068,False
57,after,453.044993,False
57,before,675.582926,False
58,before,759.676694,False
58,after,535.715085,False
59,after,568.499623,False
59,before,705.490476,False
60,before,608.63426,False
60,after,457.708879,False
