scenario,sample,side,milliseconds,profiled
exact,0,native,132.288205,False
exact,0,dagger,447.838599,False
exact,1,dagger,556.450735,False
exact,1,native,147.429518,False
exact,2,native,144.10961,False
exact,2,dagger,547.827441,False
exact,3,dagger,546.551864,False
exact,3,native,114.601197,False
exact,4,native,117.277213,False
exact,4,dagger,567.77288,False
application,0,native,318.839056,False
application,0,dagger,911.899935,False
application,1,dagger,816.813686,False
application,1,native,320.717315,False
application,2,native,285.831305,False
application,2,dagger,963.998553,False
application,3,dagger,857.464616,False
application,3,native,287.872166,False
application,4,native,295.113846,False
application,4,dagger,928.472094,False
workspace-library,0,native,515.972962,False
workspace-library,0,dagger,1009.765071,False
workspace-library,1,dagger,1050.183524,False
workspace-library,1,native,448.305825,False
workspace-library,2,native,448.384558,False
workspace-library,2,dagger,1039.234922,False
workspace-library,3,dagger,986.258165,False
workspace-library,3,native,464.268382,False
workspace-library,4,native,445.699115,False
workspace-library,4,dagger,1097.884323,False
dependency-upgrade,0,dagger,2193.896847,False
dependency-upgrade,0,native,1654.586972,False
dependency-followup,0,dagger,464.343042,False
dependency-followup,0,native,144.187887,False
