trial,scenario,sample,side,milliseconds,profiled
1,exact,0,native,129.84568,False
1,exact,0,dagger,479.017586,False
1,exact,1,dagger,384.808109,False
1,exact,1,native,130.498053,False
1,exact,2,native,101.101688,False
1,exact,2,dagger,399.643424,False
1,application,0,native,267.814528,False
1,application,0,dagger,801.529296,False
1,application,1,dagger,786.278999,False
1,application,1,native,265.423684,False
1,application,2,native,263.902232,False
1,application,2,dagger,856.308745,False
1,workspace-library,0,native,429.241137,False
1,workspace-library,0,dagger,951.144173,False
1,workspace-library,1,dagger,1058.727638,False
1,workspace-library,1,native,494.037175,False
1,workspace-library,2,native,489.504671,False
1,workspace-library,2,dagger,1054.296793,False
1,dependency-upgrade,0,native,1764.251398,False
1,dependency-upgrade,0,dagger,2406.558193,False
1,dependency-followup,0,dagger,455.694721,False
1,dependency-followup,0,native,102.275006,False
2,exact,0,native,99.826212,False
2,exact,0,dagger,400.590425,False
2,exact,1,dagger,444.895923,False
2,exact,1,native,101.174836,False
2,exact,2,native,105.129638,False
2,exact,2,dagger,398.135754,False
2,application,0,native,268.140137,False
2,application,0,dagger,779.757964,False
2,application,1,dagger,938.29291,False
2,application,1,native,290.552903,False
2,application,2,native,302.07514,False
2,application,2,dagger,902.159132,False
2,workspace-library,0,native,501.777747,False
2,workspace-library,0,dagger,1024.124172,False
2,workspace-library,1,dagger,1144.670769,False
2,workspace-library,1,native,528.790208,False
2,workspace-library,2,native,464.847036,False
2,workspace-library,2,dagger,970.278571,False
2,dependency-upgrade,0,dagger,2181.60893,False
2,dependency-upgrade,0,native,1571.73416,False
2,dependency-followup,0,dagger,421.521707,False
2,dependency-followup,0,native,107.922691,False
3,exact,0,native,109.455051,False
3,exact,0,dagger,398.279338,False
3,exact,1,dagger,460.594706,False
3,exact,1,native,131.292988,False
3,exact,2,native,100.216851,False
3,exact,2,dagger,469.103924,False
3,application,0,native,270.224692,False
3,application,0,dagger,801.10986,False
3,application,1,dagger,813.755301,False
3,application,1,native,276.399718,False
3,application,2,native,272.905031,False
3,application,2,dagger,856.265143,False
3,workspace-library,0,native,444.562852,False
3,workspace-library,0,dagger,1003.368054,False
3,workspace-library,1,dagger,972.895067,False
3,workspace-library,1,native,492.915068,False
3,workspace-library,2,native,439.13781,False
3,workspace-library,2,dagger,926.587165,False
3,dependency-upgrade,0,native,1635.13979,False
3,dependency-upgrade,0,dagger,2213.354465,True
3,dependency-followup,0,dagger,398.835726,False
3,dependency-followup,0,native,102.418167,False
