engine_variant,scenario,sample,side,milliseconds,profiled
before,exact,0,native,119.986035,False
before,exact,0,dagger,475.986633,False
before,exact,1,dagger,427.381363,False
before,exact,1,native,121.709094,False
before,exact,2,native,122.756469,False
before,exact,2,dagger,519.041592,False
before,exact,3,dagger,527.119042,False
before,exact,3,native,125.839585,False
before,exact,4,native,121.253759,False
before,exact,4,dagger,450.120996,False
before,application,0,native,295.891912,False
before,application,0,dagger,806.572444,False
before,application,1,dagger,818.586248,False
before,application,1,native,294.181386,False
before,application,2,native,299.281193,False
before,application,2,dagger,873.876066,False
before,application,3,dagger,814.183891,False
before,application,3,native,300.787168,False
before,application,4,native,322.028034,False
before,application,4,dagger,838.870776,False
before,workspace-library,0,native,464.279942,False
before,workspace-library,0,dagger,979.125935,False
before,workspace-library,1,dagger,972.005953,False
before,workspace-library,1,native,471.374715,False
before,workspace-library,2,native,464.477955,False
before,workspace-library,2,dagger,1054.201671,False
before,workspace-library,3,dagger,1042.817972,False
before,workspace-library,3,native,499.869671,False
before,workspace-library,4,native,490.191486,False
before,workspace-library,4,dagger,1067.740075,False
before,dependency-upgrade,0,native,1792.97458,False
before,dependency-upgrade,0,dagger,2115.48098,False
before,dependency-followup,0,dagger,443.37589,False
before,dependency-followup,0,native,121.780846,False
after,exact,0,native,125.648927,False
after,exact,0,dagger,422.191757,False
after,exact,1,dagger,514.773186,False
after,exact,1,native,122.524556,False
after,exact,2,native,142.278522,False
after,exact,2,dagger,457.167462,False
after,exact,3,dagger,514.641191,False
after,exact,3,native,124.638846,False
after,exact,4,native,122.514626,False
after,exact,4,dagger,438.294553,False
after,application,0,native,323.102445,False
after,application,0,dagger,816.096792,False
after,application,1,dagger,812.58732,False
after,application,1,native,307.65294,False
after,application,2,native,300.400658,False
after,application,2,dagger,799.213078,False
after,application,3,dagger,827.505522,False
after,application,3,native,296.202928,False
after,application,4,native,297.722947,False
after,application,4,dagger,870.249797,False
after,workspace-library,0,native,497.806922,False
after,workspace-library,0,dagger,1040.276632,False
after,workspace-library,1,dagger,1001.423337,False
after,workspace-library,1,native,463.190413,False
after,workspace-library,2,native,490.092331,False
after,workspace-library,2,dagger,1040.712234,False
after,workspace-library,3,dagger,1062.353729,False
after,workspace-library,3,native,532.709532,False
after,workspace-library,4,native,484.923477,False
after,workspace-library,4,dagger,991.800049,False
after,dependency-upgrade,0,dagger,2266.371288,False
after,dependency-upgrade,0,native,1671.470961,False
after,dependency-followup,0,dagger,541.754506,False
after,dependency-followup,0,native,134.187172,False
