sample,side,milliseconds,warmup
0,before,22525.728718,True
0,after,21860.194088,True
1,after,479.598711,False
1,before,464.13599,False
2,before,462.730535,False
2,after,452.306059,False
3,after,467.078042,False
3,before,498.800279,False
4,before,475.342834,False
4,after,435.843245,False
5,after,538.843887,False
5,before,492.836441,False
6,before,527.165572,False
6,after,438.964557,False
7,after,499.578486,False
7,before,439.208389,False
8,before,501.133571,False
8,after,471.783648,False
9,after,446.519406,False
9,before,496.171676,False
10,before,466.369636,False
10,after,471.347973,False
11,after,436.788701,False
11,before,444.319667,False
12,before,442.264246,False
12,after,458.928557,False
13,after,451.592333,False
13,before,6813.159937,False
14,before,472.303663,False
14,after,438.348291,False
15,after,417.019725,False
15,before,435.410338,False
16,before,439.20926,False
16,after,439.604096,False
17,after,495.107063,False
17,before,452.789433,False
18,before,468.076579,False
18,after,529.022662,False
19,after,469.246141,False
19,before,475.065287,False
20,before,442.595196,False
20,after,460.924926,False
21,after,482.322826,False
21,before,439.810496,False
22,before,449.279596,False
22,after,477.805656,False
23,after,470.778251,False
23,before,469.386171,False
24,before,451.64323,False
24,after,477.145703,False
25,after,487.608203,False
25,before,447.3222,False
26,before,443.165342,False
26,after,451.465437,False
27,after,434.674503,False
27,before,478.27289,False
28,before,446.636833,False
28,after,440.846072,False
29,after,423.517965,False
29,before,526.293667,False
30,before,520.644158,False
30,after,835.039194,False
31,after,1119.883133,False
31,before,1228.977478,False
32,before,1326.963739,False
32,after,604.611674,False
33,after,864.737643,False
33,before,622.464949,False
34,before,514.091216,False
34,after,527.167277,False
35,after,475.134718,False
35,before,800.713034,False
36,before,520.308909,False
36,after,445.477032,False
37,after,484.491109,False
37,before,457.619069,False
38,before,481.834544,False
38,after,508.002261,False
39,after,488.338582,False
39,before,550.75842,False
40,before,5736.101529,False
40,after,456.546397,False
41,after,484.424554,False
41,before,431.641096,False
42,before,442.066858,False
42,after,454.765329,False
43,after,501.297358,False
43,before,443.815593,False
44,before,457.532172,False
44,after,457.005069,False
45,after,428.523207,False
45,before,464.071204,False
46,before,430.69866,False
46,after,512.321459,False
47,after,435.044965,False
47,before,500.37007,False
48,before,442.931082,False
48,after,487.469764,False
49,after,440.46903,False
49,before,466.709254,False
50,before,439.396166,False
50,after,463.165209,False
51,after,440.473926,False
51,before,437.597391,False
52,before,638.273904,False
52,after,912.996453,False
53,after,1009.321846,False
53,before,891.233418,False
54,before,1079.170846,False
54,after,758.641299,False
55,after,566.232804,False
55,before,650.916844,False
56,before,5782.20697,False
56,after,908.715345,False
57,after,873.235082,False
57,before,789.084095,False
58,before,503.555329,False
58,after,508.734519,False
59,after,446.344631,False
59,before,546.381326,False
60,before,755.674086,False
60,after,557.398862,False
