scenario,sample,variant,milliseconds
startup,0,baseline,243.781585
startup,0,candidate,65.410053
startup,1,candidate,57.816243
startup,1,baseline,227.165404
startup,2,baseline,265.112657
startup,2,candidate,83.733516
startup,3,candidate,65.413914
startup,3,baseline,259.055861
startup,4,baseline,227.634215
startup,4,candidate,65.30701
startup,5,candidate,59.741473
startup,5,baseline,230.427477
startup,6,baseline,247.55886
startup,6,candidate,70.225813
startup,7,candidate,54.728186
startup,7,baseline,221.522161
startup,8,baseline,211.568319
startup,8,candidate,65.218265
exact-check,0,baseline,1032.575333
exact-check,0,candidate,891.105687
exact-check,1,candidate,899.126891
exact-check,1,baseline,1200.082838
exact-check,2,baseline,1008.59608
exact-check,2,candidate,980.623464
exact-check,3,candidate,843.671982
exact-check,3,baseline,1069.34331
exact-check,4,baseline,1096.674689
exact-check,4,candidate,912.16429
exact-check,5,candidate,812.85975
exact-check,5,baseline,1181.357219
exact-check,6,baseline,1099.968389
exact-check,6,candidate,932.732
exact-check,7,candidate,873.85562
exact-check,7,baseline,1080.680608
exact-check,8,baseline,1127.643945
exact-check,8,candidate,873.327703
