batch,scenario,sample,side,milliseconds,profiled
pilot-before,exact,0,native,147.740411,False
pilot-before,exact,0,dagger,425.317159,False
pilot-before,exact,1,dagger,416.671624,False
pilot-before,exact,1,native,121.510601,False
pilot-before,exact,2,native,121.547798,False
pilot-before,exact,2,dagger,450.700343,False
pilot-before,application,0,native,303.112606,False
pilot-before,application,0,dagger,1584.643662,False
pilot-before,application,1,dagger,1506.497927,False
pilot-before,application,1,native,334.489752,False
pilot-before,application,2,native,289.349364,False
pilot-before,application,2,dagger,1617.230645,False
pilot-before,workspace-library,0,native,465.683216,False
pilot-before,workspace-library,0,dagger,1706.207917,False
pilot-before,workspace-library,1,dagger,1950.000027,False
pilot-before,workspace-library,1,native,464.733033,False
pilot-before,workspace-library,2,native,481.974664,False
pilot-before,workspace-library,2,dagger,2013.0902,False
pilot-before,dependency-upgrade,0,native,1697.925849,False
pilot-before,dependency-upgrade,0,dagger,2883.514851,False
pilot-before,dependency-followup,0,dagger,416.356966,False
pilot-before,dependency-followup,0,native,125.718398,False
pilot-after-with-no-update,exact,0,native,120.027457,False
pilot-after-with-no-update,exact,0,dagger,512.544637,False
pilot-after-with-no-update,exact,1,dagger,416.84798,False
pilot-after-with-no-update,exact,1,native,120.055683,False
pilot-after-with-no-update,exact,2,native,120.19076,False
pilot-after-with-no-update,exact,2,dagger,449.15052,False
pilot-after-with-no-update,application,0,native,302.167113,False
pilot-after-with-no-update,application,0,dagger,820.139965,False
pilot-after-with-no-update,application,1,dagger,788.684891,False
pilot-after-with-no-update,application,1,native,289.805974,False
pilot-after-with-no-update,application,2,native,294.118554,False
pilot-after-with-no-update,application,2,dagger,6550.612009,False
pilot-after-with-no-update,workspace-library,0,native,461.198263,False
pilot-after-with-no-update,workspace-library,0,dagger,926.371433,False
pilot-after-with-no-update,workspace-library,1,dagger,962.548338,False
pilot-after-with-no-update,workspace-library,1,native,467.105135,False
pilot-after-with-no-update,workspace-library,2,native,494.574162,False
pilot-after-with-no-update,workspace-library,2,dagger,932.287666,False
pilot-after-with-no-update,dependency-upgrade,0,dagger,2139.101606,False
pilot-after-with-no-update,dependency-upgrade,0,native,1653.414317,False
pilot-after-with-no-update,dependency-followup,0,dagger,527.409827,False
pilot-after-with-no-update,dependency-followup,0,native,126.560995,False
final-after,exact,0,native,136.207221,False
final-after,exact,0,dagger,444.162837,False
final-after,exact,1,dagger,459.995258,False
final-after,exact,1,native,134.665241,False
final-after,exact,2,native,136.568604,False
final-after,exact,2,dagger,509.834723,False
final-after,exact,3,dagger,626.202969,False
final-after,exact,3,native,204.974663,False
final-after,exact,4,native,206.556904,False
final-after,exact,4,dagger,821.498613,False
final-after,application,0,native,309.385131,False
final-after,application,0,dagger,779.578994,False
final-after,application,1,dagger,1111.264139,False
final-after,application,1,native,373.673884,False
final-after,application,2,native,532.454775,False
final-after,application,2,dagger,1482.693567,False
final-after,application,3,dagger,1021.822006,False
final-after,application,3,native,431.784093,False
final-after,application,4,native,556.96742,False
final-after,application,4,dagger,1088.621023,False
final-after,workspace-library,0,native,516.428605,False
final-after,workspace-library,0,dagger,1154.614,False
final-after,workspace-library,1,dagger,1407.454976,False
final-after,workspace-library,1,native,639.160536,False
final-after,workspace-library,2,native,486.261384,False
final-after,workspace-library,2,dagger,1271.861288,False
final-after,workspace-library,3,dagger,1091.597058,False
final-after,workspace-library,3,native,482.563448,False
final-after,workspace-library,4,native,472.530068,False
final-after,workspace-library,4,dagger,1105.744142,False
final-after,dependency-upgrade,0,native,1631.422986,False
final-after,dependency-upgrade,0,dagger,2209.252262,False
final-after,dependency-followup,0,dagger,447.186502,False
final-after,dependency-followup,0,native,119.531325,False
final-before,exact,0,native,150.614941,False
final-before,exact,0,dagger,452.132295,False
final-before,exact,1,dagger,416.025618,False
final-before,exact,1,native,129.391008,False
final-before,exact,2,native,142.973387,False
final-before,exact,2,dagger,442.4631,False
final-before,exact,3,dagger,404.230927,False
final-before,exact,3,native,125.386953,False
final-before,exact,4,native,126.53824,False
final-before,exact,4,dagger,438.250707,False
final-before,application,0,native,307.558483,False
final-before,application,0,dagger,1447.731223,False
final-before,application,1,dagger,1493.694138,False
final-before,application,1,native,299.122956,False
final-before,application,2,native,301.044562,False
final-before,application,2,dagger,1322.956529,False
final-before,application,3,dagger,1534.49309,False
final-before,application,3,native,297.053211,False
final-before,application,4,native,298.605296,False
final-before,application,4,dagger,1395.25723,False
final-before,workspace-library,0,native,468.777904,False
final-before,workspace-library,0,dagger,1565.848063,False
final-before,workspace-library,1,dagger,1575.542873,False
final-before,workspace-library,1,native,464.980862,False
final-before,workspace-library,2,native,539.505032,False
final-before,workspace-library,2,dagger,1818.892302,False
final-before,workspace-library,3,dagger,2193.468968,False
final-before,workspace-library,3,native,549.783685,False
final-before,workspace-library,4,native,823.292805,False
final-before,workspace-library,4,dagger,2055.793723,False
final-before,dependency-upgrade,0,dagger,3068.537298,False
final-before,dependency-upgrade,0,native,1773.740435,False
final-before,dependency-followup,0,dagger,413.231563,False
final-before,dependency-followup,0,native,159.237763,False
