case,sample,side,milliseconds,warmup
no-toolchain-file,0,before,394.304351,True
no-toolchain-file,0,after,552.314169,True
no-toolchain-file,1,after,497.707466,False
no-toolchain-file,1,before,561.215771,False
no-toolchain-file,2,before,555.899978,False
no-toolchain-file,2,after,487.105978,False
no-toolchain-file,3,after,451.533189,False
no-toolchain-file,3,before,383.165802,False
no-toolchain-file,4,before,471.801128,False
no-toolchain-file,4,after,405.018833,False
no-toolchain-file,5,after,531.448431,False
no-toolchain-file,5,before,436.07696,False
no-toolchain-file,6,before,492.388053,False
no-toolchain-file,6,after,495.418066,False
no-toolchain-file,7,after,403.882273,False
no-toolchain-file,7,before,448.27951,False
no-toolchain-file,8,before,399.140442,False
no-toolchain-file,8,after,415.921755,False
no-toolchain-file,9,after,468.367347,False
no-toolchain-file,9,before,396.644545,False
no-toolchain-file,10,before,400.706087,False
no-toolchain-file,10,after,495.000313,False
no-toolchain-file,11,after,448.973691,False
no-toolchain-file,11,before,433.597842,False
no-toolchain-file,12,before,447.853022,False
no-toolchain-file,12,after,479.424997,False
no-toolchain-file,13,after,450.036283,False
no-toolchain-file,13,before,442.604764,False
no-toolchain-file,14,before,497.056132,False
no-toolchain-file,14,after,487.639353,False
no-toolchain-file,15,after,498.235167,False
no-toolchain-file,15,before,445.430767,False
no-toolchain-file,16,before,496.219827,False
no-toolchain-file,16,after,405.173937,False
no-toolchain-file,17,after,469.310644,False
no-toolchain-file,17,before,487.752593,False
no-toolchain-file,18,before,452.389452,False
no-toolchain-file,18,after,464.38115,False
no-toolchain-file,19,after,439.696548,False
no-toolchain-file,19,before,483.023612,False
no-toolchain-file,20,before,408.82966,False
no-toolchain-file,20,after,537.379344,False
no-toolchain-file,21,after,504.026871,False
no-toolchain-file,21,before,387.11215,False
no-toolchain-file,22,before,493.363054,False
no-toolchain-file,22,after,463.265583,False
no-toolchain-file,23,after,484.521747,False
no-toolchain-file,23,before,398.185471,False
no-toolchain-file,24,before,434.593065,False
no-toolchain-file,24,after,521.247079,False
no-toolchain-file,25,after,451.501781,False
no-toolchain-file,25,before,497.788806,False
no-toolchain-file,26,before,472.420714,False
no-toolchain-file,26,after,431.22516,False
no-toolchain-file,27,after,436.002032,False
no-toolchain-file,27,before,447.723021,False
no-toolchain-file,28,before,479.134559,False
no-toolchain-file,28,after,440.829297,False
no-toolchain-file,29,after,497.610766,False
no-toolchain-file,29,before,577.466164,False
no-toolchain-file,30,before,414.883549,False
no-toolchain-file,30,after,466.608979,False
configured-ripgrep,0,before,543.943457,True
configured-ripgrep,0,after,469.112979,True
configured-ripgrep,1,after,491.427714,False
configured-ripgrep,1,before,437.411461,False
configured-ripgrep,2,before,405.1602,False
configured-ripgrep,2,after,458.630384,False
configured-ripgrep,3,after,487.245879,False
configured-ripgrep,3,before,503.320495,False
configured-ripgrep,4,before,457.626006,False
configured-ripgrep,4,after,535.716753,False
configured-ripgrep,5,after,437.913579,False
configured-ripgrep,5,before,447.951244,False
configured-ripgrep,6,before,439.39345,False
configured-ripgrep,6,after,462.987566,False
configured-ripgrep,7,after,531.018612,False
configured-ripgrep,7,before,417.424224,False
configured-ripgrep,8,before,443.38672,False
configured-ripgrep,8,after,553.850669,False
configured-ripgrep,9,after,535.400435,False
configured-ripgrep,9,before,422.972895,False
configured-ripgrep,10,before,446.248493,False
configured-ripgrep,10,after,6197.045481,False
configured-ripgrep,11,after,425.47883,False
configured-ripgrep,11,before,476.102757,False
configured-ripgrep,12,before,475.726012,False
configured-ripgrep,12,after,457.880844,False
configured-ripgrep,13,after,548.637036,False
configured-ripgrep,13,before,494.08191,False
configured-ripgrep,14,before,517.466848,False
configured-ripgrep,14,after,459.247084,False
configured-ripgrep,15,after,476.769413,False
configured-ripgrep,15,before,409.68033,False
configured-ripgrep,16,before,441.353754,False
configured-ripgrep,16,after,472.470241,False
configured-ripgrep,17,after,420.065868,False
configured-ripgrep,17,before,465.678554,False
configured-ripgrep,18,before,423.239491,False
configured-ripgrep,18,after,6298.878549,False
configured-ripgrep,19,after,448.498102,False
configured-ripgrep,19,before,579.117393,False
configured-ripgrep,20,before,424.42052,False
configured-ripgrep,20,after,481.238889,False
configured-ripgrep,21,after,460.850864,False
configured-ripgrep,21,before,422.190927,False
configured-ripgrep,22,before,420.219208,False
configured-ripgrep,22,after,479.748087,False
configured-ripgrep,23,after,417.535386,False
configured-ripgrep,23,before,406.68587,False
configured-ripgrep,24,before,450.642757,False
configured-ripgrep,24,after,475.18193,False
configured-ripgrep,25,after,473.551993,False
configured-ripgrep,25,before,475.898136,False
configured-ripgrep,26,before,416.000254,False
configured-ripgrep,26,after,437.470925,False
configured-ripgrep,27,after,426.037773,False
configured-ripgrep,27,before,424.608579,False
configured-ripgrep,28,before,428.68852,False
configured-ripgrep,28,after,6330.312325,False
configured-ripgrep,29,after,438.697428,False
configured-ripgrep,29,before,406.995323,False
configured-ripgrep,30,before,407.262489,False
configured-ripgrep,30,after,440.642738,False
