scenario,sample,side,milliseconds
exact,0,native,174.643075
exact,0,dagger,868.513992
exact,1,dagger,851.966466
exact,1,native,119.170035
exact,2,native,141.5414
exact,2,dagger,883.587018
exact,3,dagger,828.756434
exact,3,native,140.165594
exact,4,native,141.740972
exact,4,dagger,841.900944
application,0,native,357.163857
application,0,dagger,1175.384745
application,1,dagger,1191.75851
application,1,native,313.538747
application,2,native,319.680436
application,2,dagger,1233.794574
application,3,dagger,1338.627944
application,3,native,343.779159
application,4,native,326.045334
application,4,dagger,1164.377563
workspace-library,0,native,501.396753
workspace-library,0,dagger,1433.8569
workspace-library,1,dagger,1534.756192
workspace-library,1,native,491.429494
workspace-library,2,native,481.022279
workspace-library,2,dagger,1434.909419
workspace-library,3,dagger,1607.003868
workspace-library,3,native,508.414448
workspace-library,4,native,475.789826
workspace-library,4,dagger,1696.513397
