trial,delivery,scenario,sample,side,milliseconds,profiled
pinned-profiled,pinned,exact,0,native,99.460862,False
pinned-profiled,pinned,exact,0,dagger,420.325091,False
pinned-profiled,pinned,exact,1,dagger,412.733686,False
pinned-profiled,pinned,exact,1,native,102.101246,False
pinned-profiled,pinned,exact,2,native,98.53256,False
pinned-profiled,pinned,exact,2,dagger,416.684982,False
pinned-profiled,pinned,application,0,native,273.381364,False
pinned-profiled,pinned,application,0,dagger,792.261779,False
pinned-profiled,pinned,application,1,dagger,798.942623,False
pinned-profiled,pinned,application,1,native,273.494271,False
pinned-profiled,pinned,application,2,native,274.958736,False
pinned-profiled,pinned,application,2,dagger,797.081654,False
pinned-profiled,pinned,workspace-library,0,native,441.463546,False
pinned-profiled,pinned,workspace-library,0,dagger,969.378508,False
pinned-profiled,pinned,workspace-library,1,dagger,962.819555,False
pinned-profiled,pinned,workspace-library,1,native,445.002233,False
pinned-profiled,pinned,workspace-library,2,native,450.419397,False
pinned-profiled,pinned,workspace-library,2,dagger,953.348806,False
pinned-profiled,pinned,dependency-upgrade,0,native,1668.759945,False
pinned-profiled,pinned,dependency-upgrade,0,dagger,2068.351726,False
pinned-profiled,pinned,dependency-followup,0,dagger,399.362419,False
pinned-profiled,pinned,dependency-followup,0,native,101.734602,False
pinned-profiled,pinned,first-check,0,dagger,22092.780822,True
pinned-profiled,pinned,provision-through-first-check,0,dagger,22288.428005,True
pinned-profiled,pinned,first-check,0,native,6636.267722,False
apt-profiled,apt,exact,0,native,126.562675,False
apt-profiled,apt,exact,0,dagger,384.412169,False
apt-profiled,apt,exact,1,dagger,482.098232,False
apt-profiled,apt,exact,1,native,133.56152,False
apt-profiled,apt,exact,2,native,99.304699,False
apt-profiled,apt,exact,2,dagger,424.718749,False
apt-profiled,apt,application,0,native,285.609743,False
apt-profiled,apt,application,0,dagger,887.010464,False
apt-profiled,apt,application,1,dagger,912.564275,False
apt-profiled,apt,application,1,native,278.265993,False
apt-profiled,apt,application,2,native,277.214824,False
apt-profiled,apt,application,2,dagger,785.519305,False
apt-profiled,apt,workspace-library,0,native,492.893958,False
apt-profiled,apt,workspace-library,0,dagger,1032.262952,False
apt-profiled,apt,workspace-library,1,dagger,998.191928,False
apt-profiled,apt,workspace-library,1,native,446.384715,False
apt-profiled,apt,workspace-library,2,native,462.366911,False
apt-profiled,apt,workspace-library,2,dagger,1014.887251,False
apt-profiled,apt,dependency-upgrade,0,dagger,2140.64517,False
apt-profiled,apt,dependency-upgrade,0,native,1659.285018,False
apt-profiled,apt,dependency-followup,0,dagger,456.583461,False
apt-profiled,apt,dependency-followup,0,native,101.013768,False
apt-profiled,apt,first-check,0,dagger,26332.826968,True
apt-profiled,apt,provision-through-first-check,0,dagger,26537.212227,True
apt-profiled,apt,first-check,0,native,5852.232355,False
apt-repeat,apt,exact,0,native,99.480892,False
apt-repeat,apt,exact,0,dagger,391.460546,False
apt-repeat,apt,exact,1,dagger,414.371895,False
apt-repeat,apt,exact,1,native,99.886784,False
apt-repeat,apt,exact,2,native,99.709625,False
apt-repeat,apt,exact,2,dagger,422.697056,False
apt-repeat,apt,application,0,native,273.696142,False
apt-repeat,apt,application,0,dagger,857.340913,False
apt-repeat,apt,application,1,dagger,782.667365,False
apt-repeat,apt,application,1,native,274.273407,False
apt-repeat,apt,application,2,native,270.5611,False
apt-repeat,apt,application,2,dagger,767.84681,False
apt-repeat,apt,workspace-library,0,native,475.220215,False
apt-repeat,apt,workspace-library,0,dagger,992.505262,False
apt-repeat,apt,workspace-library,1,dagger,1011.663851,False
apt-repeat,apt,workspace-library,1,native,438.206098,False
apt-repeat,apt,workspace-library,2,native,449.8894,False
apt-repeat,apt,workspace-library,2,dagger,976.413412,False
apt-repeat,apt,dependency-upgrade,0,native,1618.387159,False
apt-repeat,apt,dependency-upgrade,0,dagger,2094.912143,False
apt-repeat,apt,dependency-followup,0,dagger,396.697851,False
apt-repeat,apt,dependency-followup,0,native,99.225697,False
apt-repeat,apt,first-check,0,dagger,31744.486134,False
apt-repeat,apt,provision-through-first-check,0,dagger,31945.112871,False
apt-repeat,apt,first-check,0,native,6359.076971,False
pinned-repeat,pinned,exact,0,native,103.283697,False
pinned-repeat,pinned,exact,0,dagger,487.281438,False
pinned-repeat,pinned,exact,1,dagger,403.16521,False
pinned-repeat,pinned,exact,1,native,121.441402,False
pinned-repeat,pinned,exact,2,native,102.478137,False
pinned-repeat,pinned,exact,2,dagger,518.542084,False
pinned-repeat,pinned,application,0,native,353.464422,False
pinned-repeat,pinned,application,0,dagger,869.290571,False
pinned-repeat,pinned,application,1,dagger,857.605028,False
pinned-repeat,pinned,application,1,native,275.516952,False
pinned-repeat,pinned,application,2,native,305.098539,False
pinned-repeat,pinned,application,2,dagger,799.030841,False
pinned-repeat,pinned,workspace-library,0,native,450.154144,False
pinned-repeat,pinned,workspace-library,0,dagger,1039.369755,False
pinned-repeat,pinned,workspace-library,1,dagger,1036.89707,False
pinned-repeat,pinned,workspace-library,1,native,440.273731,False
pinned-repeat,pinned,workspace-library,2,native,474.888543,False
pinned-repeat,pinned,workspace-library,2,dagger,953.775587,False
pinned-repeat,pinned,dependency-upgrade,0,dagger,2169.334182,False
pinned-repeat,pinned,dependency-upgrade,0,native,2202.360013,False
pinned-repeat,pinned,dependency-followup,0,dagger,383.124993,False
pinned-repeat,pinned,dependency-followup,0,native,105.830986,False
pinned-repeat,pinned,first-check,0,dagger,23892.729784,False
pinned-repeat,pinned,provision-through-first-check,0,dagger,24097.314434,False
pinned-repeat,pinned,first-check,0,native,6000.896424,False
