sample,side,milliseconds,warmup
0,before,7175.06891,True
0,after,6921.895768,True
1,after,408.177121,False
1,before,522.869979,False
2,before,439.290238,False
2,after,398.175729,False
3,after,422.49887,False
3,before,393.922433,False
4,before,399.785548,False
4,after,455.607852,False
5,after,441.239424,False
5,before,407.365317,False
6,before,427.404285,False
6,after,429.571136,False
7,after,502.710877,False
7,before,386.475822,False
8,before,414.847956,False
8,after,406.606965,False
9,after,390.823393,False
9,before,388.573721,False
10,before,434.796274,False
10,after,399.251038,False
11,after,471.45568,False
11,before,399.891675,False
12,before,386.687656,False
12,after,476.807032,False
13,after,478.017544,False
13,before,397.820827,False
14,before,389.887461,False
14,after,437.694079,False
15,after,388.788699,False
15,before,421.108595,False
16,before,441.789475,False
16,after,388.091948,False
17,after,401.344731,False
17,before,426.038363,False
18,before,405.334894,False
18,after,455.115488,False
19,after,465.492547,False
19,before,445.626326,False
20,before,379.204051,False
20,after,403.390102,False
21,after,427.306751,False
21,before,380.932124,False
22,before,385.238617,False
22,after,474.726946,False
23,after,389.290389,False
23,before,417.461917,False
24,before,394.194793,False
24,after,415.475081,False
25,after,387.971547,False
25,before,387.021503,False
26,before,421.460797,False
26,after,391.331316,False
27,after,402.288047,False
27,before,391.828268,False
28,before,389.004868,False
28,after,409.80011,False
29,after,390.205291,False
29,before,387.671014,False
30,before,409.359133,False
30,after,396.779141,False
