scenario,sample,side,milliseconds,warmup,exit_code
application,0,before,814.433374,True,0
application,0,after,830.607173,True,0
application,1,after,804.143242,False,0
application,1,before,804.779009,False,0
application,2,before,789.355662,False,0
application,2,after,775.354579,False,0
application,3,after,837.842139,False,0
application,3,before,791.263792,False,0
application,4,before,788.56463,False,0
application,4,after,858.765942,False,0
application,5,after,830.009425,False,0
application,5,before,780.908901,False,0
application,6,before,961.818049,False,0
application,6,after,862.94536,False,0
application,7,after,917.389516,False,0
application,7,before,865.072414,False,0
application,8,before,915.450698,False,0
application,8,after,910.137964,False,0
application,9,after,840.778912,False,0
application,9,before,953.192695,False,0
application,10,before,790.997502,False,0
application,10,after,850.405283,False,0
application,11,after,818.842082,False,0
application,11,before,960.486799,False,0
application,12,before,883.087296,False,0
application,12,after,793.486461,False,0
application,13,after,822.011222,False,0
application,13,before,880.443481,False,0
application,14,before,841.203378,False,0
application,14,after,837.671161,False,0
application,15,after,844.64045,False,0
application,15,before,851.868609,False,0
workspace-library,0,before,957.365774,True,0
workspace-library,0,after,1034.741798,True,0
workspace-library,1,after,960.372952,False,0
workspace-library,1,before,984.180941,False,0
workspace-library,2,before,1122.834229,False,0
workspace-library,2,after,1013.576536,False,0
workspace-library,3,after,1033.442856,False,0
workspace-library,3,before,974.457807,False,0
workspace-library,4,before,1002.145257,False,0
workspace-library,4,after,1103.685738,False,0
workspace-library,5,after,1000.872502,False,0
workspace-library,5,before,929.948012,False,0
workspace-library,6,before,1035.223945,False,0
workspace-library,6,after,1055.428795,False,0
workspace-library,7,after,969.86486,False,0
workspace-library,7,before,993.998374,False,0
workspace-library,8,before,1068.824803,False,0
workspace-library,8,after,1004.437766,False,0
workspace-library,9,after,1012.720306,False,0
workspace-library,9,before,989.841015,False,0
workspace-library,10,before,955.528432,False,0
workspace-library,10,after,1003.955349,False,0
workspace-library,11,after,1045.559465,False,0
workspace-library,11,before,1048.298753,False,0
workspace-library,12,before,1015.677832,False,0
workspace-library,12,after,992.190654,False,0
workspace-library,13,after,1015.641863,False,0
workspace-library,13,before,969.83708,False,0
workspace-library,14,before,1062.305734,False,0
workspace-library,14,after,927.46101,False,0
workspace-library,15,after,964.540497,False,0
workspace-library,15,before,1004.028912,False,0
