sample,side,milliseconds,warmup
0,before,7351.927642,True
0,after,6427.653267,True
1,after,443.147451,False
1,before,436.521882,False
2,before,453.523638,False
2,after,418.363783,False
3,after,531.499832,False
3,before,560.694384,False
4,before,416.080706,False
4,after,556.453992,False
5,after,416.705924,False
5,before,468.970137,False
6,before,440.846215,False
6,after,524.081694,False
7,after,443.246011,False
7,before,521.471381,False
8,before,411.978577,False
8,after,525.403313,False
9,after,474.18018,False
9,before,435.474002,False
10,before,479.009335,False
10,after,426.237961,False
11,after,409.235999,False
11,before,494.944351,False
12,before,482.91891,False
12,after,455.757882,False
13,after,444.202985,False
13,before,500.628395,False
14,before,534.705328,False
14,after,518.015663,False
15,after,510.775026,False
15,before,411.751834,False
16,before,583.989077,False
16,after,496.713282,False
17,after,501.501607,False
17,before,485.390804,False
18,before,552.635734,False
18,after,485.670423,False
19,after,418.009537,False
19,before,609.822931,False
20,before,480.324665,False
20,after,434.496531,False
21,after,465.120748,False
21,before,458.061648,False
22,before,504.573181,False
22,after,467.002367,False
23,after,431.99662,False
23,before,453.054293,False
24,before,478.009072,False
24,after,418.412148,False
25,after,405.856366,False
25,before,493.646693,False
26,before,424.129034,False
26,after,433.450038,False
27,after,512.486756,False
27,before,534.239328,False
28,before,441.189927,False
28,after,506.761076,False
29,after,412.415972,False
29,before,526.23528,False
30,before,456.277739,False
30,after,417.706226,False
31,after,476.619793,False
31,before,501.102668,False
32,before,498.433131,False
32,after,444.876187,False
33,after,409.038119,False
33,before,474.981957,False
34,before,513.263667,False
34,after,422.790413,False
35,after,455.839492,False
35,before,520.689076,False
36,before,418.290536,False
36,after,450.238108,False
37,after,556.265737,False
37,before,544.778638,False
38,before,485.55035,False
38,after,468.501376,False
39,after,416.75859,False
39,before,491.258338,False
40,before,435.809953,False
40,after,422.232474,False
41,after,426.25033,False
41,before,529.995537,False
42,before,511.13476,False
42,after,427.832519,False
43,after,467.474871,False
43,before,463.315024,False
44,before,505.461761,False
44,after,412.177067,False
45,after,424.265005,False
45,before,424.428591,False
46,before,420.437986,False
46,after,466.697471,False
47,after,434.249281,False
47,before,418.06749,False
48,before,424.664041,False
48,after,420.513738,False
49,after,467.894206,False
49,before,420.35422,False
50,before,419.62357,False
50,after,404.288837,False
51,after,425.828288,False
51,before,476.361464,False
52,before,422.858488,False
52,after,407.890307,False
53,after,426.55883,False
53,before,454.425976,False
54,before,490.490609,False
54,after,415.907634,False
55,after,411.535214,False
55,before,424.512023,False
56,before,414.728017,False
56,after,424.640091,False
57,after,448.920614,False
57,before,429.068648,False
58,before,419.119541,False
58,after,407.769379,False
59,after,418.003273,False
59,before,471.628026,False
60,before,443.900257,False
60,after,421.457905,False
