variant,scenario,sample,native_ms,dagger_ms,paired_overhead_ms
before,exact,0,116.92139,477.284404,360.363014
before,exact,1,122.920365,534.662607,411.742242
before,exact,2,154.955453,534.388838,379.43338499999993
before,exact,3,114.46681,436.019308,321.552498
before,exact,4,121.034783,470.345373,349.31059
before,application,0,313.432756,937.247382,623.8146260000001
before,application,1,302.206724,879.562542,577.355818
before,application,2,291.239552,866.562182,575.32263
before,application,3,322.337544,834.259915,511.922371
before,application,4,319.282143,789.458243,470.1761
before,workspace-library,0,468.312285,1030.874292,562.562007
before,workspace-library,1,449.046573,1042.192985,593.1464119999998
before,workspace-library,2,505.064897,1164.911529,659.846632
before,workspace-library,3,451.954949,1017.02988,565.0749310000001
before,workspace-library,4,448.143569,1012.811159,564.66759
before,dependency-upgrade,0,1740.128253,2231.383774,491.2555209999998
before,dependency-followup,0,125.253645,447.766845,322.5132
after,exact,0,146.317325,436.584497,290.26717199999996
after,exact,1,118.211447,598.261081,480.04963399999997
after,exact,2,117.196216,449.148691,331.952475
after,exact,3,117.719277,511.541647,393.82237
after,exact,4,118.632027,466.242056,347.610029
after,application,0,296.357599,891.879571,595.521972
after,application,1,302.082934,916.024974,613.94204
after,application,2,293.264794,876.067442,582.8026480000001
after,application,3,292.441863,910.170515,617.728652
after,application,4,329.775589,923.79263,594.0170410000001
after,workspace-library,0,451.334502,1041.872342,590.53784
after,workspace-library,1,481.691904,1004.255406,522.563502
after,workspace-library,2,460.00968,967.688646,507.67896599999995
after,workspace-library,3,471.710188,1077.571985,605.861797
after,workspace-library,4,449.451507,1049.026652,599.575145
after,dependency-upgrade,0,1613.330982,2121.058223,507.72724100000005
after,dependency-followup,0,120.821532,424.694932,303.8734
