engine_variant,scenario,sample,side,milliseconds,profiled
before,exact,0,native,103.924719,False
before,exact,0,dagger,466.865034,False
before,exact,1,dagger,422.62581,False
before,exact,1,native,106.938335,False
before,exact,2,native,103.386693,False
before,exact,2,dagger,456.289898,False
before,exact,3,dagger,461.112789,False
before,exact,3,native,107.538737,False
before,exact,4,native,127.474305,False
before,exact,4,dagger,441.657447,False
before,exact,5,dagger,432.678046,False
before,exact,5,native,106.16128,False
before,exact,6,native,105.515891,False
before,exact,6,dagger,440.065137,False
before,application,0,native,288.936532,False
before,application,0,dagger,820.603468,False
before,application,1,dagger,872.02953,False
before,application,1,native,282.012236,False
before,application,2,native,278.177191,False
before,application,2,dagger,772.827139,False
before,application,3,dagger,764.758493,False
before,application,3,native,290.17094,False
before,application,4,native,289.76045,False
before,application,4,dagger,882.85508,False
before,application,5,dagger,832.743264,False
before,application,5,native,312.454152,False
before,application,6,native,283.015881,False
before,application,6,dagger,900.274116,False
before,workspace-library,0,native,457.021076,False
before,workspace-library,0,dagger,951.889334,False
before,workspace-library,1,dagger,929.442366,False
before,workspace-library,1,native,452.408578,False
before,workspace-library,2,native,470.175153,False
before,workspace-library,2,dagger,929.999413,False
before,workspace-library,3,dagger,1034.604407,False
before,workspace-library,3,native,459.324448,False
before,workspace-library,4,native,492.20099,False
before,workspace-library,4,dagger,1021.333172,False
before,workspace-library,5,dagger,1000.126673,False
before,workspace-library,5,native,455.534024,False
before,workspace-library,6,native,451.640057,False
before,workspace-library,6,dagger,1003.748514,False
before,dependency-upgrade,0,native,1790.781437,False
before,dependency-upgrade,0,dagger,2242.764185,False
before,dependency-followup,0,dagger,435.068945,False
before,dependency-followup,0,native,100.503301,False
after,exact,0,native,101.091839,False
after,exact,0,dagger,438.105809,False
after,exact,1,dagger,439.046531,False
after,exact,1,native,123.509506,False
after,exact,2,native,100.39932,False
after,exact,2,dagger,416.916777,False
after,exact,3,dagger,399.465921,False
after,exact,3,native,97.317553,False
after,exact,4,native,101.339566,False
after,exact,4,dagger,396.076451,False
after,exact,5,dagger,430.982543,False
after,exact,5,native,103.434915,False
after,exact,6,native,102.273404,False
after,exact,6,dagger,409.787778,False
after,application,0,native,276.663369,False
after,application,0,dagger,844.126313,False
after,application,1,dagger,790.004825,False
after,application,1,native,276.347174,False
after,application,2,native,278.29303,False
after,application,2,dagger,785.669392,False
after,application,3,dagger,795.689886,False
after,application,3,native,276.776547,False
after,application,4,native,273.379421,False
after,application,4,dagger,757.057195,False
after,application,5,dagger,889.056799,False
after,application,5,native,327.25002,False
after,application,6,native,275.677643,False
after,application,6,dagger,865.718082,False
after,workspace-library,0,native,458.017063,False
after,workspace-library,0,dagger,1050.470492,False
after,workspace-library,1,dagger,1028.236661,False
after,workspace-library,1,native,471.753931,False
after,workspace-library,2,native,456.073847,False
after,workspace-library,2,dagger,1078.195778,False
after,workspace-library,3,dagger,1009.58444,False
after,workspace-library,3,native,461.069062,False
after,workspace-library,4,native,478.879447,False
after,workspace-library,4,dagger,1066.38119,False
after,workspace-library,5,dagger,1071.349652,False
after,workspace-library,5,native,577.840337,False
after,workspace-library,6,native,499.143901,False
after,workspace-library,6,dagger,1108.202992,False
after,dependency-upgrade,0,dagger,2678.457823,False
after,dependency-upgrade,0,native,2265.794156,False
after,dependency-followup,0,dagger,928.123454,False
after,dependency-followup,0,native,161.483285,False
