run,sample,side,milliseconds,warmup
initial-history,0,before,25463.98149,True
initial-history,0,after,30779.900724,True
initial-history,1,after,404.780406,False
initial-history,1,before,398.575254,False
initial-history,2,before,406.681546,False
initial-history,2,after,412.456208,False
initial-history,3,after,414.802054,False
initial-history,3,before,471.345627,False
initial-history,4,before,390.546598,False
initial-history,4,after,444.751985,False
initial-history,5,after,380.402121,False
initial-history,5,before,393.834954,False
initial-history,6,before,449.596527,False
initial-history,6,after,398.380716,False
initial-history,7,after,398.621202,False
initial-history,7,before,406.80428,False
initial-history,8,before,417.739086,False
initial-history,8,after,541.440049,False
initial-history,9,after,405.498834,False
initial-history,9,before,405.31264,False
initial-history,10,before,403.630121,False
initial-history,10,after,396.328837,False
initial-history,11,after,396.909888,False
initial-history,11,before,386.48916,False
initial-history,12,before,395.176702,False
initial-history,12,after,385.696689,False
initial-history,13,after,416.634461,False
initial-history,13,before,396.196622,False
initial-history,14,before,395.686596,False
initial-history,14,after,424.167275,False
initial-history,15,after,393.758933,False
initial-history,15,before,410.418236,False
initial-history,16,before,422.577762,False
initial-history,16,after,398.468091,False
initial-history,17,after,405.720618,False
initial-history,17,before,392.596367,False
initial-history,18,before,406.266362,False
initial-history,18,after,389.625158,False
initial-history,19,after,396.616338,False
initial-history,19,before,387.844542,False
initial-history,20,before,401.872041,False
initial-history,20,after,399.132101,False
initial-history,21,after,408.272101,False
initial-history,21,before,396.817443,False
initial-history,22,before,383.841933,False
initial-history,22,after,407.775021,False
initial-history,23,after,410.23872,False
initial-history,23,before,421.718429,False
initial-history,24,before,383.488075,False
initial-history,24,after,398.208424,False
initial-history,25,after,414.230749,False
initial-history,25,before,409.043449,False
initial-history,26,before,399.223818,False
initial-history,26,after,382.983478,False
initial-history,27,after,409.496342,False
initial-history,27,before,403.416242,False
initial-history,28,before,388.949802,False
initial-history,28,after,417.237034,False
initial-history,29,after,416.112765,False
initial-history,29,before,416.527045,False
initial-history,30,before,388.663478,False
initial-history,30,after,388.687442,False
matched-history,0,before,20572.95657,True
matched-history,0,after,24262.524715,True
matched-history,1,after,402.809982,False
matched-history,1,before,431.396705,False
matched-history,2,before,435.902467,False
matched-history,2,after,472.82922,False
matched-history,3,after,404.836411,False
matched-history,3,before,438.381574,False
matched-history,4,before,410.820709,False
matched-history,4,after,404.189035,False
matched-history,5,after,400.953841,False
matched-history,5,before,439.655589,False
matched-history,6,before,457.676585,False
matched-history,6,after,392.88652,False
matched-history,7,after,397.140021,False
matched-history,7,before,461.695929,False
matched-history,8,before,420.732942,False
matched-history,8,after,410.749128,False
matched-history,9,after,424.263688,False
matched-history,9,before,400.9237,False
matched-history,10,before,396.386451,False
matched-history,10,after,443.856535,False
matched-history,11,after,398.185081,False
matched-history,11,before,437.857879,False
matched-history,12,before,407.428237,False
matched-history,12,after,398.177332,False
matched-history,13,after,398.091713,False
matched-history,13,before,407.686293,False
matched-history,14,before,416.303762,False
matched-history,14,after,390.206602,False
matched-history,15,after,434.94742,False
matched-history,15,before,400.658185,False
matched-history,16,before,408.717846,False
matched-history,16,after,409.614215,False
matched-history,17,after,428.106999,False
matched-history,17,before,405.98368,False
matched-history,18,before,403.970134,False
matched-history,18,after,407.890571,False
matched-history,19,after,472.987497,False
matched-history,19,before,411.287241,False
matched-history,20,before,418.517481,False
matched-history,20,after,534.887499,False
matched-history,21,after,436.888363,False
matched-history,21,before,397.85936,False
matched-history,22,before,406.51561,False
matched-history,22,after,401.08864,False
matched-history,23,after,401.648604,False
matched-history,23,before,436.215094,False
matched-history,24,before,419.022994,False
matched-history,24,after,404.759687,False
matched-history,25,after,430.164269,False
matched-history,25,before,392.838171,False
matched-history,26,before,431.340109,False
matched-history,26,after,399.678984,False
matched-history,27,after,400.422016,False
matched-history,27,before,382.447933,False
matched-history,28,before,417.581189,False
matched-history,28,after,405.125306,False
matched-history,29,after,401.604292,False
matched-history,29,before,446.655977,False
matched-history,30,before,405.904532,False
matched-history,30,after,419.855665,False
