run,arm,scenario,sample,native_ms,dagger_ms,overhead_ms,profiled
0,A,first-check,0,7366.129128,12712.739837,5346.610709,true
0,A,exact,0,114.676864,638.227308,523.550444,false
0,A,exact,1,117.005683,494.738022,377.732339,false
0,A,exact,2,121.157678,497.738119,376.580441,false
0,A,application,0,363.727461,952.238147,588.510686,false
0,A,application,1,289.726657,890.027024,600.300367,false
0,A,application,2,282.555148,931.292332,648.737184,false
0,A,workspace-library,0,474.289849,1058.924426,584.634577,false
0,A,workspace-library,1,462.521086,1076.209992,613.688906,false
0,A,workspace-library,2,452.206467,1080.584226,628.377759,false
0,A,dependency-upgrade,0,1598.978770,2219.692149,620.713379,true
0,A,dependency-followup,0,120.798944,511.959782,391.160838,false
1,B,first-check,0,10049.107409,14112.873747,4063.766338,true
1,B,exact,0,130.576510,520.315581,389.739071,false
1,B,exact,1,117.858482,488.105440,370.246958,false
1,B,exact,2,145.317789,540.928596,395.610807,false
1,B,application,0,740.383064,893.429817,153.046753,false
1,B,application,1,284.386356,891.481023,607.094667,false
1,B,application,2,286.966095,887.153887,600.187792,false
1,B,workspace-library,0,491.609394,1022.838554,531.229160,false
1,B,workspace-library,1,472.531257,1044.159568,571.628311,false
1,B,workspace-library,2,448.212968,1050.367868,602.154900,false
1,B,dependency-upgrade,0,1689.104391,2165.471535,476.367144,true
1,B,dependency-followup,0,125.549193,502.735533,377.186340,false
2,B,first-check,0,7071.815145,11023.591463,3951.776318,true
2,B,exact,0,149.734500,507.991013,358.256513,false
2,B,exact,1,118.610269,480.522637,361.912368,false
2,B,exact,2,121.931177,506.675802,384.744625,false
2,B,application,0,294.490443,887.090629,592.600186,false
2,B,application,1,292.255634,910.955077,618.699443,false
2,B,application,2,307.180795,889.500582,582.319787,false
2,B,workspace-library,0,450.539519,1049.483179,598.943660,false
2,B,workspace-library,1,446.924430,1025.569589,578.645159,false
2,B,workspace-library,2,452.430019,1035.380633,582.950614,false
2,B,dependency-upgrade,0,1691.323190,2186.197287,494.874097,true
2,B,dependency-followup,0,141.632251,499.662554,358.030303,false
3,A,first-check,0,6768.502786,13259.889357,6491.386571,true
3,A,exact,0,119.046912,608.931856,489.884944,false
3,A,exact,1,125.601854,523.473258,397.871404,false
3,A,exact,2,148.290589,504.190960,355.900371,false
3,A,application,0,288.514572,918.635230,630.120658,false
3,A,application,1,343.910516,885.031139,541.120623,false
3,A,application,2,305.830236,883.327733,577.497497,false
3,A,workspace-library,0,489.221029,1051.676541,562.455512,false
3,A,workspace-library,1,483.900913,1038.557741,554.656828,false
3,A,workspace-library,2,452.792539,1040.693847,587.901308,false
3,A,dependency-upgrade,0,1629.137637,2208.659831,579.522194,true
3,A,dependency-followup,0,116.049755,642.216920,526.167165,false
4,A,first-check,0,6489.478882,12383.635398,5894.156516,true
4,A,exact,0,118.434360,521.101895,402.667535,false
4,A,exact,1,118.704450,502.050906,383.346456,false
4,A,exact,2,120.817702,511.500999,390.683297,false
4,A,application,0,321.192548,909.033317,587.840769,false
4,A,application,1,300.483550,882.206112,581.722562,false
4,A,application,2,284.185186,948.338662,664.153476,false
4,A,workspace-library,0,458.795107,1048.299601,589.504494,false
4,A,workspace-library,1,444.622685,1031.776576,587.153891,false
4,A,workspace-library,2,449.559968,1011.906387,562.346419,false
4,A,dependency-upgrade,0,1598.425153,2204.557432,606.132279,true
4,A,dependency-followup,0,143.111922,535.330775,392.218853,false
5,B,first-check,0,6774.274320,11427.861622,4653.587302,true
5,B,exact,0,115.294900,516.884429,401.589529,false
5,B,exact,1,115.827043,530.540462,414.713419,false
5,B,exact,2,117.208003,533.792487,416.584484,false
5,B,application,0,305.429313,897.271024,591.841711,false
5,B,application,1,290.022739,889.228119,599.205380,false
5,B,application,2,355.482219,891.927613,536.445394,false
5,B,workspace-library,0,478.001810,1035.906549,557.904739,false
5,B,workspace-library,1,470.584609,1020.121214,549.536605,false
5,B,workspace-library,2,481.850494,1057.796622,575.946128,false
5,B,dependency-upgrade,0,1854.742436,2220.790645,366.048209,true
5,B,dependency-followup,0,118.564194,504.834204,386.270010,false
