scenario,pair,order,a_run,b_run,a_native_ms,a_dagger_ms,a_overhead_ms,b_native_ms,b_dagger_ms,b_overhead_ms,dagger_saved_ms,overhead_saved_ms
first-check,0,AB,0,1,7445.442319,11895.690666,4450.248347,6986.299089,10823.931944,3837.632855,1071.758722,612.615492
first-check,1,BA,3,2,6563.634117,11332.854614,4769.220497,16450.738510,25328.609883,8877.871373,-13995.755269,-4108.650876
first-check,2,AB,4,5,6685.708403,11132.095773,4446.387370,6604.936287,11086.951342,4482.015055,45.144431,-35.627685
exact,0,AB,0,1,116.052169,505.761039,390.380134,118.416414,542.350247,421.761725,-36.589208,-31.381591
exact,1,BA,3,2,120.717082,514.435306,395.595323,152.074024,530.833609,379.882510,-16.398303,15.712813
exact,2,AB,4,5,138.891116,533.888036,396.243368,118.652449,514.836156,396.761137,19.051880,-0.517769
application,0,AB,0,1,290.973326,906.432940,588.275390,305.436889,887.636979,577.267164,18.795961,11.008226
application,1,BA,3,2,295.350156,901.180233,614.846122,291.740412,884.059680,596.381126,17.120553,18.464996
application,2,AB,4,5,289.901402,942.405802,641.614144,319.517994,904.233480,580.783235,38.172322,60.830909
workspace-library,0,AB,0,1,450.340614,1034.610089,586.829395,449.448644,1033.616405,575.376392,0.993684,11.453003
workspace-library,1,BA,3,2,454.452657,1051.186798,589.815825,453.931007,1045.152083,591.221076,6.034715,-1.405251
workspace-library,2,AB,4,5,454.159651,1038.671569,584.511918,454.247118,1083.274026,614.230481,-44.602457,-29.718563
dependency-upgrade,0,AB,0,1,1620.337888,2217.842943,597.505055,1689.251805,2217.085721,527.833916,0.757222,69.671139
dependency-upgrade,1,BA,3,2,1602.888331,2232.064416,629.176085,1562.165980,2316.584499,754.418519,-84.520083,-125.242434
dependency-upgrade,2,AB,4,5,1706.944135,2186.463130,479.518995,1683.215838,2228.921733,545.705895,-42.458603,-66.186900
dependency-followup,0,AB,0,1,141.836763,527.106063,385.269300,122.680303,540.235945,417.555642,-13.129882,-32.286342
dependency-followup,1,BA,3,2,116.226411,501.646271,385.419860,119.415232,506.149208,386.733976,-4.502937,-1.314116
dependency-followup,2,AB,4,5,147.433338,505.947348,358.514010,154.180842,511.161301,356.980459,-5.213953,1.533551
