run,arm,scenario,sample,native_ms,dagger_ms,overhead_ms,profiled
0,A,first-check,0,7445.442319,11895.690666,4450.248347,true
0,A,exact,0,116.052169,522.528776,406.476607,false
0,A,exact,1,122.706752,505.109687,382.402935,false
0,A,exact,2,115.380905,505.761039,390.380134,false
0,A,application,0,337.338534,918.528146,581.189612,false
0,A,application,1,290.973326,879.248716,588.275390,false
0,A,application,2,281.791347,906.432940,624.641593,false
0,A,workspace-library,0,476.919184,1034.610089,557.690905,false
0,A,workspace-library,1,450.340614,1056.837481,606.496867,false
0,A,workspace-library,2,444.468053,1031.297448,586.829395,false
0,A,dependency-upgrade,0,1620.337888,2217.842943,597.505055,true
0,A,dependency-followup,0,141.836763,527.106063,385.269300,false
1,B,first-check,0,6986.299089,10823.931944,3837.632855,true
1,B,exact,0,120.588522,542.350247,421.761725,false
1,B,exact,1,116.409720,621.496508,505.086788,false
1,B,exact,2,118.416414,528.531606,410.115192,false
1,B,application,0,805.947580,928.484587,122.537007,false
1,B,application,1,305.436889,882.704053,577.267164,false
1,B,application,2,292.087753,887.636979,595.549226,false
1,B,workspace-library,0,562.452720,1050.667594,488.214874,false
1,B,workspace-library,1,449.448644,1033.616405,584.167761,false
1,B,workspace-library,2,449.142988,1024.519380,575.376392,false
1,B,dependency-upgrade,0,1689.251805,2217.085721,527.833916,true
1,B,dependency-followup,0,122.680303,540.235945,417.555642,false
2,B,first-check,0,16450.738510,25328.609883,8877.871373,true
2,B,exact,0,149.129486,530.833609,381.704123,false
2,B,exact,1,156.914992,499.208207,342.293215,false
2,B,exact,2,152.074024,531.956534,379.882510,false
2,B,application,0,295.122444,881.556982,586.434538,false
2,B,application,1,291.740412,888.121538,596.381126,false
2,B,application,2,286.891768,884.059680,597.167912,false
2,B,workspace-library,0,462.677957,1044.002964,581.325007,false
2,B,workspace-library,1,444.483049,1051.833274,607.350225,false
2,B,workspace-library,2,453.931007,1045.152083,591.221076,false
2,B,dependency-upgrade,0,1562.165980,2316.584499,754.418519,true
2,B,dependency-followup,0,119.415232,506.149208,386.733976,false
3,A,first-check,0,6563.634117,11332.854614,4769.220497,true
3,A,exact,0,120.717082,520.932996,400.215914,false
3,A,exact,1,122.504567,500.119226,377.614659,false
3,A,exact,2,118.839983,514.435306,395.595323,false
3,A,application,0,295.350156,910.196278,614.846122,false
3,A,application,1,296.521773,881.806232,585.284459,false
3,A,application,2,286.210112,901.180233,614.970121,false
3,A,workspace-library,0,454.452657,1052.122972,597.670315,false
3,A,workspace-library,1,448.734900,1036.276166,587.541266,false
3,A,workspace-library,2,461.370973,1051.186798,589.815825,false
3,A,dependency-upgrade,0,1602.888331,2232.064416,629.176085,true
3,A,dependency-followup,0,116.226411,501.646271,385.419860,false
4,A,first-check,0,6685.708403,11132.095773,4446.387370,true
4,A,exact,0,114.425048,533.888036,419.462988,false
4,A,exact,1,138.891116,507.556076,368.664960,false
4,A,exact,2,145.105091,541.348459,396.243368,false
4,A,application,0,300.791658,942.405802,641.614144,false
4,A,application,1,289.901402,953.634710,663.733308,false
4,A,application,2,287.488591,904.491110,617.002519,false
4,A,workspace-library,0,461.044023,1036.092339,575.048316,false
4,A,workspace-library,1,454.159651,1038.671569,584.511918,false
4,A,workspace-library,2,447.540378,1048.650705,601.110327,false
4,A,dependency-upgrade,0,1706.944135,2186.463130,479.518995,true
4,A,dependency-followup,0,147.433338,505.947348,358.514010,false
5,B,first-check,0,6604.936287,11086.951342,4482.015055,true
5,B,exact,0,121.657337,520.944998,399.287661,false
5,B,exact,1,118.652449,491.413388,372.760939,false
5,B,exact,2,118.075019,514.836156,396.761137,false
5,B,application,0,298.813031,905.834594,607.021563,false
5,B,application,1,319.517994,870.823149,551.305155,false
5,B,application,2,323.450245,904.233480,580.783235,false
5,B,workspace-library,0,454.247118,1094.590634,640.343516,false
5,B,workspace-library,1,481.882519,1083.274026,601.391507,false
5,B,workspace-library,2,446.968857,1061.199338,614.230481,false
5,B,dependency-upgrade,0,1683.215838,2228.921733,545.705895,true
5,B,dependency-followup,0,154.180842,511.161301,356.980459,false
