metric,value,unit,scope
preprovision.process_ms,1065.809055,ms,one diagnostic; not A/B or first-CLI score
preprovision.root_ms,1021.831360,ms,one diagnostic; not A/B or first-CLI score
preprovision.before_root_ms,29.266899,ms,one diagnostic; not A/B or first-CLI score
preprovision.after_root_ms,14.721170,ms,one diagnostic; not A/B or first-CLI score
rust-absent-check.process_ms,10639.900722,ms,one diagnostic; not A/B or first-CLI score
rust-absent-check.root_ms,10564.995611,ms,one diagnostic; not A/B or first-CLI score
rust-absent-check.before_root_ms,43.447272,ms,one diagnostic; not A/B or first-CLI score
rust-absent-check.after_root_ms,31.472712,ms,one diagnostic; not A/B or first-CLI score
exact-followup.process_ms,565.366295,ms,one diagnostic; not A/B or first-CLI score
exact-followup.root_ms,498.435146,ms,one diagnostic; not A/B or first-CLI score
exact-followup.before_root_ms,28.395814,ms,one diagnostic; not A/B or first-CLI score
exact-followup.after_root_ms,38.543849,ms,one diagnostic; not A/B or first-CLI score
exec.rustup,82.256296,ms,actual successful cold execution
exec.sh,6207.309053,ms,actual successful cold execution
image.envelope,3462.771597,ms,image phase; intervals overlap
layer.http_body,3189.679011,ms,image phase; intervals overlap
layer.first_byte,2.333249,ms,image phase; intervals overlap
producer.pipe_wait,2215.710873,ms,image phase; intervals overlap
producer.pipe_wait.intervals,7598.000000,count,image phase; cumulative across matching stacks
extractor.hash_buffer_wait,1041.997796,ms,image phase; intervals overlap
extractor.hash_buffer_wait.intervals,2467.000000,count,image phase; cumulative across matching stacks
hash_worker.input_wait,710.065531,ms,image phase; intervals overlap
hash_worker.input_wait.intervals,414.000000,count,image phase; cumulative across matching stacks
content.final_fsync,187.095232,ms,image phase; intervals overlap
content.final_fsync.intervals,1.000000,count,image phase; cumulative across matching stacks
cpu.image_samples,745.000000,count,clock-selected CPU samples; not exact CPU time
cpu.image_unknown_samples,0.000000,count,clock-selected CPU samples; not exact CPU time
cpu.sha256_leaf_samples,361.000000,count,clock-selected CPU samples; not exact CPU time
cpu.uncompressed_hash_inclusive_samples,268.000000,count,clock-selected CPU samples; not exact CPU time
clock.offset_spread,207.000000,ns,15 observed snapshots
clock.snapshots,15.000000,count,observed trace
trace.same_state_events_preserved,1361.000000,count,entire trace; attribution retained
wcprof.declared_spans,271.000000,count,cold profiled CLI
wcprof.received_spans,271.000000,count,cold profiled CLI
wcprof.replay_drift,-0.100000,percent,cold profiled CLI
