File: dagger-engine
Build ID: 74db11fa1a2c9d711f6882fda34c57179757fcca
Type: cpu
Time: 2026-09-25 09:53:54 PDT
Duration: 15s, Total samples = 14.91s (99.39%)
Active filters:
   focus=dagqlServerForModule
Showing nodes accounting for 0, 0% of 14.91s total
Showing top 22 nodes out of 151
      flat  flat%   sum%        cum   cum%
         0     0%     0%      0.34s  2.28%  github.com/dagger/dagger/core.buildSchemaWithView
         0     0%     0%      0.34s  2.28%  github.com/dagger/dagger/core.dagqlServerForModule
         0     0%     0%      0.27s  1.81%  github.com/dagger/dagger/dagql.(*Cache).getOrInitCallInner.func1
         0     0%     0%      0.27s  1.81%  github.com/dagger/dagger/dagql.ObjectResult[go.shape.*uint8].call.func2
         0     0%     0%      0.26s  1.74%  github.com/dagger/dagger/core.(*ModuleObject).Install
         0     0%     0%      0.26s  1.74%  github.com/dagger/dagger/core.(*userMod).Install
         0     0%     0%      0.26s  1.74%  github.com/dagger/dagger/core.(*userMod).install
         0     0%     0%      0.26s  1.74%  github.com/dagger/dagger/core.ModuleArtifactNodes
         0     0%     0%      0.26s  1.74%  github.com/dagger/dagger/core.NewModTree
         0     0%     0%      0.26s  1.74%  github.com/dagger/dagger/core.installModules
         0     0%     0%      0.26s  1.74%  github.com/dagger/dagger/core/schema.(*workspaceSchema).collectArtifacts
         0     0%     0%      0.19s  1.27%  github.com/dagger/dagger/core/schema.(*addressSchema).container
         0     0%     0%      0.19s  1.27%  github.com/dagger/dagger/core/schema.resolveModuleRef
         0     0%     0%      0.19s  1.27%  github.com/dagger/dagger/dagql.NodeFuncWithDynamicInputs[go.shape.*uint8,go.shape.struct {},go.shape.struct { Result = github.com/dagger/dagger/dagql.Result[*github.com/dagger/dagger/core.Container]; github.com/dagger/dagger/dagql.class github.com/dagger/dagger/dagql.Class[*github.com/dagger/dagger/core.Container] }].func1
         0     0%     0%      0.18s  1.21%  github.com/dagger/dagger/core/schema.resolveWorkspaceArtifact
         0     0%     0%      0.18s  1.21%  github.com/dagger/dagger/dagql.(*Server).Select
         0     0%     0%      0.18s  1.21%  github.com/dagger/dagger/dagql.ObjectResult[go.shape.*uint8].Select
         0     0%     0%      0.16s  1.07%  github.com/dagger/dagger/core.(*ModuleObject).functions
         0     0%     0%      0.16s  1.07%  github.com/dagger/dagger/core.objFun
         0     0%     0%      0.15s  1.01%  github.com/dagger/dagger/core.(*userMod).ModTypeFor (partial-inline)
         0     0%     0%      0.15s  1.01%  github.com/dagger/dagger/core.(*userMod).modTypeFor
         0     0%     0%      0.12s   0.8%  github.com/dagger/dagger/core.(*Function).FieldSpec
