File: dagger-engine
Build ID: 455a0bbda75a91d0060953461b7365d36dce29a8
Type: cpu
Time: 2026-09-25 09:45:32 PDT
Duration: 15s, Total samples = 17.24s (114.92%)
Active filters:
   focus=dagqlServerForModule
Showing nodes accounting for 0.12s, 0.7% of 17.24s total
Showing top 22 nodes out of 427
      flat  flat%   sum%        cum   cum%
         0     0%     0%      1.85s 10.73%  github.com/dagger/dagger/core.dagqlServerForModule
         0     0%     0%      1.67s  9.69%  github.com/dagger/dagger/dagql.(*Cache).getOrInitCallInner.func1
         0     0%     0%      1.67s  9.69%  github.com/dagger/dagger/dagql.ObjectResult[go.shape.*uint8].call.func2
         0     0%     0%      1.57s  9.11%  github.com/dagger/dagger/core.ModuleArtifactNodes
         0     0%     0%      1.57s  9.11%  github.com/dagger/dagger/core.NewModTree
         0     0%     0%      1.57s  9.11%  github.com/dagger/dagger/core/schema.(*workspaceSchema).collectArtifacts
         0     0%     0%      1.51s  8.76%  github.com/dagger/dagger/core/schema.(*CoreMod).Install
         0     0%     0%      1.21s  7.02%  github.com/dagger/dagger/core/schema.(*addressSchema).container
         0     0%     0%      1.21s  7.02%  github.com/dagger/dagger/core/schema.resolveModuleRef
         0     0%     0%      1.21s  7.02%  github.com/dagger/dagger/dagql.NodeFuncWithDynamicInputs[go.shape.*uint8,go.shape.struct {},go.shape.struct { Result = github.com/dagger/dagger/dagql.Result[*github.com/dagger/dagger/core.Container]; github.com/dagger/dagger/dagql.class github.com/dagger/dagger/dagql.Class[*github.com/dagger/dagger/core.Container] }].func1
         0     0%     0%      1.11s  6.44%  github.com/dagger/dagger/core/schema.resolveWorkspaceArtifact
     0.02s  0.12%  0.12%      0.57s  3.31%  runtime.mallocgc
         0     0%  0.12%      0.46s  2.67%  github.com/dagger/dagger/core/schema.(*workspaceSchema).artifacts
         0     0%  0.12%      0.46s  2.67%  github.com/dagger/dagger/dagql.NodeFuncWithDynamicInputs[go.shape.*uint8,go.shape.struct { Include github.com/dagger/dagger/dagql.Optional[github.com/dagger/dagger/dagql.ArrayInput[github.com/dagger/dagger/dagql.String]] },go.shape.*uint8].func1
     0.01s 0.058%  0.17%      0.45s  2.61%  github.com/dagger/dagger/dagql.FormatDescription
     0.03s  0.17%  0.35%      0.45s  2.61%  github.com/dagger/dagger/dagql.InputSpecsForType
     0.03s  0.17%  0.52%      0.41s  2.38%  runtime.mallocgcSmallScanNoHeader
         0     0%  0.52%      0.34s  1.97%  github.com/dagger/dagger/core.(*ModuleObject).Install
         0     0%  0.52%      0.34s  1.97%  github.com/dagger/dagger/core.(*userMod).Install (inline)
         0     0%  0.52%      0.34s  1.97%  github.com/dagger/dagger/core.(*userMod).install
     0.03s  0.17%   0.7%      0.31s  1.80%  runtime.newobject
         0     0%   0.7%      0.28s  1.62%  github.com/dagger/dagger/core.(*Artifact).Evaluate
