File: engine
Build ID: 0c92155a392076ae12ef31e9d82e6dac6db7bf88
Type: alloc_objects
Time: 2026-09-25 22:58:03 PDT
Showing nodes accounting for 9057020, 64.10% of 14128540 total
Dropped 1245 nodes (cum <= 70642)
Showing top 50 nodes out of 449
      flat  flat%   sum%        cum   cum%
   2010730 14.23% 14.23%    2010730 14.23%  reflect.unsafe_New
    513376  3.63% 17.87%    1174822  8.32%  google.golang.org/protobuf/internal/order.RangeFields
    414029  2.93% 20.80%     414029  2.93%  runtime/pprof.allFrames
    398687  2.82% 23.62%     398687  2.82%  google.golang.org/protobuf/internal/encoding/json.(*Decoder).parseString
    352679  2.50% 26.11%     352679  2.50%  github.com/dagger/dagger/dagql.(*Cache).publishUsageMeasurementsLocked
    268716  1.90% 28.02%    1295522  9.17%  google.golang.org/protobuf/encoding/protojson.encoder.marshalMessage
    229379  1.62% 29.64%     229379  1.62%  google.golang.org/protobuf/reflect/protoreflect.Value.Interface
    196615  1.39% 31.03%     262151  1.86%  github.com/dagger/otel-go.value
    196608  1.39% 32.42%     196608  1.39%  go.etcd.io/bbolt.(*node).split
    185695  1.31% 33.74%     185695  1.31%  github.com/hashicorp/go-set/v3.(*TreeSet[go.shape.*uint8]).Insert (inline)
    167985  1.19% 34.93%     167985  1.19%  google.golang.org/protobuf/internal/encoding/json.appendString
    167500  1.19% 36.11%     728220  5.15%  github.com/dagger/dagger/dagql.ObjectResult[go.shape.*uint8].preselect
    163842  1.16% 37.27%     393221  2.78%  google.golang.org/protobuf/internal/impl.(*stringConverter).GoValueOf
    157291  1.11% 38.38%     261098  1.85%  github.com/dagger/dagger/dagql.Class[go.shape.*uint8].ForkObjectType
    156418  1.11% 39.49%     156418  1.11%  reflect.growslice
    155110  1.10% 40.59%     634918  4.49%  runtime/pprof.writeHeapProto
    150744  1.07% 41.66%     412895  2.92%  github.com/dagger/otel-go.keyValueToPB
    131078  0.93% 42.58%     240311  1.70%  internal/reflectlite.Swapper
    131076  0.93% 43.51%     131076  0.93%  context.WithValue
    131073  0.93% 44.44%     212993  1.51%  github.com/dagger/dagger/dagql.(*Cache).lookupCacheForRequestLocked
    129996  0.92% 45.36%     129996  0.92%  github.com/dagger/dagger/dagql.InputSpecs.Inputs
    123426  0.87% 46.23%     123426  0.87%  internal/bytealg.MakeNoZero
    122302  0.87% 47.10%     217889  1.54%  github.com/dagger/dagger/dagql.(*Cache).snapshotPruneStateLocked
    121412  0.86% 47.96%     124844  0.88%  encoding/json.(*decodeState).literalStore
    120153  0.85% 48.81%     120153  0.85%  github.com/vito/dang/v2/pkg/hm.NewScheme
    120149  0.85% 49.66%     120149  0.85%  go.etcd.io/bbolt.cloneBytes
    117807  0.83% 50.49%     117807  0.83%  github.com/dagger/dagger/dagql.(*Interface).FieldSpecs
    109252  0.77% 51.27%     109252  0.77%  github.com/dagger/dagger/engine/clientdb.(*rowDecoder).bytes
    109233  0.77% 52.04%     109233  0.77%  internal/reflectlite.unsafe_New
    100134  0.71% 52.75%     100134  0.71%  github.com/vito/dang/v2/pkg/dang.NewType
     98310   0.7% 53.44%      98310   0.7%  github.com/dagger/dagger/core/sdk/dang/v2.cloneIntrospectionTypeRef (inline)
     98310   0.7% 54.14%      98310   0.7%  github.com/dagger/dagger/dagql.AnyID.Type
     98305   0.7% 54.84%      98305   0.7%  github.com/hashicorp/go-set/v3.(*stack[*github.com/hashicorp/go-set/v3.node[go.shape.uint64]]).push
     98304   0.7% 55.53%      98304   0.7%  github.com/dagger/dagger/dagql/call.NewLiteralString
     98304   0.7% 56.23%      98304   0.7%  github.com/dagger/dagger/util/hashutil.NewHasher
     92845  0.66% 56.88%      92845  0.66%  go.etcd.io/bbolt.(*Cursor).search
     89907  0.64% 57.52%     102781  0.73%  github.com/dagger/dagger/dagql.cacheUsageInputLocked
     87384  0.62% 58.14%      87384  0.62%  github.com/dagger/dagger/core.(*TypeDef).Type
     87382  0.62% 58.76%     196609  1.39%  github.com/dagger/dagger/dagql.(*ResultCall).structuralSelfDigestAndInputRefs
     87381  0.62% 59.38%      87381  0.62%  github.com/dagger/dagger/util/hashutil.(*Hasher).DigestAndClose
     82537  0.58% 59.96%      82537  0.58%  github.com/dagger/dagger/dagql.interfaceRelationSet.add (inline)
     76464  0.54% 60.50%      76464  0.54%  github.com/dagger/dagger/dagql.Class[go.shape.*uint8].New
     76461  0.54% 61.04%     462534  3.27%  github.com/dagger/dagger/util/sortutil.RangeSorted[go.shape.string,go.shape.*uint8]
     73342  0.52% 61.56%     124213  0.88%  github.com/hashicorp/go-immutable-radix/v2.(*Txn[go.shape.*uint8]).insert
     66634  0.47% 62.03%     417216  2.95%  github.com/dagger/dagger/dagql.InputSpecs.ArgumentDefinitions
     65536  0.46% 62.50%     104860  0.74%  github.com/dagger/dagger/dagql/call.NewType
     65536  0.46% 62.96%      98306   0.7%  reflect.Value.extendSlice
     57350  0.41% 63.37%     632952  4.48%  github.com/dagger/dagger/dagql.FieldSpec.FieldDefinition
     53254  0.38% 63.74%     240328  1.70%  github.com/dagger/dagger/core/sdk/dang/v2.cloneIntrospectionType.func1
     50979  0.36% 64.10%     184312  1.30%  encoding/json.Unmarshal
