File: engine
Build ID: 0c92155a392076ae12ef31e9d82e6dac6db7bf88
Type: alloc_space
Time: 2026-09-25 22:58:03 PDT
Showing nodes accounting for 175.90MB, 12.69% of 1386.58MB total
Dropped 1223 nodes (cum <= 6.93MB)
Showing top 50 nodes out of 471
      flat  flat%   sum%        cum   cum%
         0     0%     0%   681.98MB 49.18%  github.com/dagger/dagger/dagql.ObjectResult[go.shape.*uint8].call.func2
         0     0%     0%   635.42MB 45.83%  github.com/dagger/dagger/dagql.(*Cache).getOrInitCallInner.func1
         0     0%     0%   425.55MB 30.69%  github.com/dagger/dagger/dagql.NodeFuncWithDynamicInputs[go.shape.*uint8,go.shape.20724d4f8c132cbaa295bbe467b280867a66876f0c959d1bc745b0d3e8042bd6,go.shape.struct { Result = github.com/dagger/dagger/dagql.Result[*github.com/dagger/dagger/core.Module]; github.com/dagger/dagger/dagql.class github.com/dagger/dagger/dagql.Class[*github.com/dagger/dagger/core.Module] }].func1
         0     0%     0%   425.05MB 30.65%  github.com/dagger/dagger/core/schema.(*moduleSourceSchema).moduleSourceAsModule
         0     0%     0%   425.05MB 30.65%  github.com/dagger/dagger/core/schema.(*moduleSourceSchema).runModuleDefInSDK
         0     0%     0%   359.77MB 25.95%  net/http.HandlerFunc.ServeHTTP (partial-inline)
         0     0%     0%   359.77MB 25.95%  net/http.serverHandler.ServeHTTP
         0     0%     0%   324.56MB 23.41%  net/http.(*ServeMux).ServeHTTP
         0     0%     0%   304.93MB 21.99%  github.com/dagger/dagger/dagql.ObjectResult[go.shape.*uint8].Select
         0     0%     0%   289.56MB 20.88%  github.com/dagger/dagger/core.MountRef
         0     0%     0%   253.86MB 18.31%  github.com/dagger/dagger/dagql.(*Server).Select
         0     0%     0%   249.86MB 18.02%  net/http.(*conn).serve
         0     0%     0%   249.10MB 17.97%  github.com/dagger/dagger/core/sdk/dang/shared.WithNestedClientServer
         0     0%     0%   249.10MB 17.97%  github.com/dagger/dagger/core/sdk/dang/v2.evalDangSource
         0     0%     0%   248.60MB 17.93%  github.com/dagger/dagger/core/sdk/dang/shared.serveNestedClient
         0     0%     0%   248.60MB 17.93%  github.com/dagger/dagger/core/sdk/dang/v2.evalDangSource.func1
         0     0%     0%   247.74MB 17.87%  github.com/dagger/dagger/engine/server.(*Server).serveHTTPToClient
         0     0%     0%   232.76MB 16.79%  github.com/dagger/dagger/core/sdk.(*dangSDK).ModuleTypes
         0     0%     0%   231.76MB 16.71%  github.com/dagger/dagger/core/sdk/dang/v2.Impl.ModuleTypes
         0     0%     0%   182.19MB 13.14%  sync.(*Once).Do (partial-inline)
         0     0%     0%   182.19MB 13.14%  sync.(*Once).doSlow
         0     0%     0%   174.01MB 12.55%  github.com/dagger/dagger/core.(*Directory).Mount
         0     0%     0%   165.63MB 11.95%  golang.org/x/sync/errgroup.(*Group).Go.func1
         0     0%     0%   162.98MB 11.75%  github.com/dagger/dagger/core.(*Directory).Mount.func1
         0     0%     0%   162.98MB 11.75%  github.com/dagger/dagger/core/sdk/dang/v2.evalDangSource.func1.1
    2.50MB  0.18%  0.18%   162.79MB 11.74%  github.com/dagger/dagger/dagql.ObjectResult[go.shape.*uint8].call
         0     0%  0.18%   147.89MB 10.67%  bytes.(*Buffer).grow
  147.89MB 10.67% 10.85%   147.89MB 10.67%  bytes.growSlice
   20.50MB  1.48% 12.33%   145.14MB 10.47%  github.com/dagger/dagger/dagql.ObjectResult[go.shape.*uint8].preselect
         0     0% 12.33%   140.15MB 10.11%  github.com/dagger/dagger/engine/server.(*Server).serveQuery
         0     0% 12.33%   140.15MB 10.11%  github.com/dagger/dagger/engine/server..serveHTTPToClient.httpHandlerFunc[go.shape.*uint8].func6
    0.50MB 0.036% 12.36%   132.68MB  9.57%  github.com/dagger/dagger/engine/server.(*Server).ServeHTTPToNestedClient
         0     0% 12.36%   131.68MB  9.50%  github.com/dagger/dagger/engine/server..ServeHTTPToNestedClient.httpHandlerFunc[go.shape.*uint8].func1
         0     0% 12.36%   130.66MB  9.42%  github.com/dagger/dagger/dagql.(*Cache).GetOrInitCall
         0     0% 12.36%   130.66MB  9.42%  github.com/dagger/dagger/dagql.(*Cache).getOrInitCall
       2MB  0.14% 12.51%   130.66MB  9.42%  github.com/dagger/dagger/dagql.(*Cache).getOrInitCallInner
         0     0% 12.51%   127.74MB  9.21%  github.com/dagger/dagger/core/schema.(*moduleSourceSchema).prototypeStaticTypeScriptTypes
         0     0% 12.51%   124.46MB  8.98%  github.com/dagger/dagger/dagql.(*Cache).Prune
         0     0% 12.51%   124.46MB  8.98%  github.com/dagger/dagger/engine/server.(*Server).gc
         0     0% 12.51%   124.46MB  8.98%  github.com/dagger/dagger/engine/server.(*Server).gcAfterSessionCompletion
         0     0% 12.51%   124.46MB  8.98%  github.com/dagger/dagger/engine/server.(*Server).gcLocked
         0     0% 12.51%   124.46MB  8.98%  github.com/dagger/dagger/engine/server.NewServer.After.throttle.func3.1
    2.50MB  0.18% 12.69%   119.54MB  8.62%  github.com/dagger/dagger/util/sortutil.RangeSorted[go.shape.string,go.shape.722f2df09ea77d12ef3707da9871c0b2f16d2dad33d22f6ad91dda115d8a5d86]
         0     0% 12.69%   116.05MB  8.37%  github.com/dagger/dagger/engine/server.(*Server).ServeHTTP
         0     0% 12.69%   116.05MB  8.37%  github.com/dagger/dagger/engine/server..ServeHTTP.httpHandlerFunc[go.shape.*uint8].func1
         0     0% 12.69%   116.05MB  8.37%  main.main.func2.4
         0     0% 12.69%   112.62MB  8.12%  github.com/dagger/dagger/core.(*SchemaBuilder).SchemaIntrospectionJSONFile
         0     0% 12.69%   112.62MB  8.12%  github.com/dagger/dagger/core.(*SchemaBuilder).SchemaIntrospectionJSONFileForModule
