File: engine
Build ID: 0c92155a392076ae12ef31e9d82e6dac6db7bf88
Type: alloc_space
Time: 2026-09-25 22:58:03 PDT
Showing nodes accounting for 929.96MB, 67.07% of 1386.58MB total
Dropped 1223 nodes (cum <= 6.93MB)
Showing top 50 nodes out of 471
      flat  flat%   sum%        cum   cum%
  147.89MB 10.67% 10.67%   147.89MB 10.67%  bytes.growSlice
   61.51MB  4.44% 15.10%    61.51MB  4.44%  runtime/pprof.allFrames
   59.50MB  4.29% 19.39%    59.50MB  4.29%  reflect.unsafe_New
   54.46MB  3.93% 23.32%    61.97MB  4.47%  github.com/dagger/dagger/dagql.(*cacheUsageSnapshot).capturePendingLocked
   45.30MB  3.27% 26.59%    86.81MB  6.26%  github.com/vito/dang/v2/pkg/dang.cloneSyntax.func1
   40.52MB  2.92% 29.51%    40.52MB  2.92%  github.com/dagger/dagger/dagql.(*Interface).FieldSpecs
   33.12MB  2.39% 31.90%    33.12MB  2.39%  go.etcd.io/bbolt/internal/common.ReadInodeFromPage
   32.52MB  2.35% 34.24%    32.52MB  2.35%  github.com/dagger/dagger/dagql.InputSpecs.Inputs
   24.58MB  1.77% 36.02%    24.58MB  1.77%  maps.clone
   22.91MB  1.65% 37.67%    22.91MB  1.65%  encoding/json.(*Decoder).refill
   21.56MB  1.56% 39.22%    21.56MB  1.56%  github.com/vito/dang/v2/pkg/dang.(*Type).Add
   20.55MB  1.48% 40.71%    20.55MB  1.48%  github.com/dagger/dagger/dagql.(*Cache).publishUsageMeasurementsLocked
   20.50MB  1.48% 42.19%   145.14MB 10.47%  github.com/dagger/dagger/dagql.ObjectResult[go.shape.*uint8].preselect
   19.03MB  1.37% 43.56%    22.05MB  1.59%  github.com/dagger/dagger/dagql.(*Cache).snapshotPruneStateLocked
   18.50MB  1.33% 44.89%    60.01MB  4.33%  google.golang.org/protobuf/encoding/protojson.encoder.marshalMessage
   16.51MB  1.19% 46.08%    16.51MB  1.19%  google.golang.org/protobuf/internal/encoding/json.appendString
   15.53MB  1.12% 47.20%    15.53MB  1.12%  go.opentelemetry.io/otel/sdk/log.(*BatchProcessor).ForceFlush
   12.55MB  0.91% 48.11%    12.55MB  0.91%  go.etcd.io/bbolt.(*Tx).writeMeta
   11.55MB  0.83% 48.94%    17.42MB  1.26%  runtime/pprof.(*profileBuilder).emitLocation
   11.50MB  0.83% 49.77%       21MB  1.51%  github.com/dagger/otel-go.keyValueToPB
   11.05MB   0.8% 50.57%    45.63MB  3.29%  github.com/dagger/dagger/dagql.(*Server).Fork
      11MB  0.79% 51.36%       11MB  0.79%  github.com/dagger/dagger/dagql.interfaceRelationSet.add
      11MB  0.79% 52.15%       11MB  0.79%  github.com/vito/dang/v2/pkg/dang.NewType
      11MB  0.79% 52.95%    54.51MB  3.93%  google.golang.org/protobuf/internal/order.RangeFields
   10.25MB  0.74% 53.69%    11.75MB  0.85%  github.com/dagger/dagger/engine/server.sessionLogExporter.Export
    9.88MB  0.71% 54.40%    11.38MB  0.82%  github.com/dagger/dagger/dagql.(*cacheUsageSnapshot).finalizeLocked
    9.50MB  0.69% 55.08%     9.50MB  0.69%  github.com/dagger/dagger/engine/clientdb.(*rowDecoder).bytes
    9.50MB  0.69% 55.77%    98.69MB  7.12%  runtime/pprof.writeHeapProto
    9.02MB  0.65% 56.42%   107.71MB  7.77%  runtime/pprof.writeHeapInternal
       9MB  0.65% 57.07%     9.50MB  0.69%  github.com/dagger/otel-go.value
    8.81MB  0.64% 57.70%     8.81MB  0.64%  runtime/pprof.(*protobuf).string (inline)
    8.65MB  0.62% 58.33%    10.65MB  0.77%  github.com/dagger/dagger/engine/clientdb.(*logStream[go.shape.struct { ID int64; TraceID string; SpanID string; TraceState string; ParentSpanID database/sql.NullString; Flags int64; Name string; Kind string; StartTime int64; EndTime database/sql.NullInt64; Attributes []uint8; DroppedAttributesCount int64; Events []uint8; DroppedEventsCount int64; Links []uint8; DroppedLinksCount int64; StatusCode int64; StatusMessage string; InstrumentationScope []uint8; Resource []uint8; ResourceSchemaURL string }]).append
    8.51MB  0.61% 58.94%     8.51MB  0.61%  github.com/dagger/dagger/engine/clientdb.(*frameScanner).next
    8.50MB  0.61% 59.55%     8.50MB  0.61%  github.com/hashicorp/go-set/v3.(*TreeSet[go.shape.*uint8]).Insert (inline)
    8.50MB  0.61% 60.17%     8.50MB  0.61%  google.golang.org/protobuf/internal/encoding/json.(*Decoder).parseString
    8.05MB  0.58% 60.75%     8.05MB  0.58%  github.com/vito/dang/v2/pkg/dang.(*Object).Bind
       8MB  0.58% 61.33%        8MB  0.58%  reflect.growslice
    7.50MB  0.54% 61.87%     7.50MB  0.54%  google.golang.org/protobuf/internal/encoding/json.NewDecoder
    7.43MB  0.54% 62.40%     7.43MB  0.54%  bufio.NewReaderSize
    7.01MB  0.51% 62.91%     8.52MB  0.61%  encoding/json.Marshal
       7MB   0.5% 63.41%       16MB  1.15%  encoding/json.Unmarshal
       7MB   0.5% 63.92%    49.01MB  3.53%  github.com/dagger/dagger/dagql.FieldSpec.FieldDefinition
    6.50MB  0.47% 64.39%    16.50MB  1.19%  github.com/dagger/dagger/core/sdk/dang/v2.cloneIntrospectionType.func1
    6.19MB  0.45% 64.83%    80.46MB  5.80%  io.copyBuffer
       6MB  0.43% 65.27%       11MB  0.79%  internal/reflectlite.Swapper
    5.50MB   0.4% 65.66%    38.62MB  2.78%  go.etcd.io/bbolt.(*Bucket).node
    5.50MB   0.4% 66.06%    34.51MB  2.49%  github.com/dagger/dagger/dagql.InputSpecs.ArgumentDefinitions
       5MB  0.36% 66.42%        7MB  0.51%  github.com/dagger/dagger/dagql.(*Cache).recordSessionResultInstallSpanLocked
    4.50MB  0.32% 66.74%     7.50MB  0.54%  github.com/hashicorp/go-immutable-radix/v2.(*Txn[go.shape.*uint8]).insert
    4.50MB  0.32% 67.07%    34.58MB  2.49%  github.com/dagger/dagger/dagql.Class[go.shape.*uint8].ForkObjectType
