File: engine
Build ID: 0c92155a392076ae12ef31e9d82e6dac6db7bf88
Type: alloc_objects
Time: 2026-09-25 22:58:03 PDT
Showing nodes accounting for 20607638, 63.53% of 32439012 total
Dropped 1675 nodes (cum <= 162195)
Showing top 50 nodes out of 458
      flat  flat%   sum%        cum   cum%
   5178024 15.96% 15.96%    5178024 15.96%  reflect.unsafe_New
   1430896  4.41% 20.37%    3438093 10.60%  google.golang.org/protobuf/internal/order.RangeFields
   1074847  3.31% 23.69%    3834054 11.82%  google.golang.org/protobuf/encoding/protojson.encoder.marshalMessage
    647196  2.00% 25.68%     712732  2.20%  github.com/dagger/otel-go.value
    597119  1.84% 27.52%     597119  1.84%  google.golang.org/protobuf/internal/encoding/json.(*Decoder).parseString
    436924  1.35% 28.87%     436924  1.35%  github.com/hashicorp/go-set/v3.(*TreeSet[go.shape.*uint8]).Insert (inline)
    425990  1.31% 30.18%     425990  1.31%  google.golang.org/protobuf/reflect/protoreflect.Value.Interface
    414870  1.28% 31.46%     414870  1.28%  google.golang.org/protobuf/internal/encoding/json.appendString
    414029  1.28% 32.74%     414029  1.28%  runtime/pprof.allFrames
    373228  1.15% 33.89%    2326909  7.17%  github.com/dagger/dagger/dagql.ObjectResult[go.shape.*uint8].preselect
    367028  1.13% 35.02%    1079760  3.33%  github.com/dagger/otel-go.keyValueToPB (inline)
    360454  1.11% 36.13%     360454  1.11%  github.com/hashicorp/go-set/v3.(*stack[*github.com/hashicorp/go-set/v3.node[go.shape.uint64]]).push (inline)
    360452  1.11% 37.24%     786442  2.42%  google.golang.org/protobuf/internal/impl.(*stringConverter).GoValueOf
    360448  1.11% 38.35%     360448  1.11%  github.com/dagger/dagger/dagql/call.NewLiteralString (inline)
    352679  1.09% 39.44%     352679  1.09%  github.com/dagger/dagger/dagql.(*Cache).publishUsageMeasurementsLocked
    338613  1.04% 40.48%     338613  1.04%  context.WithValue
    336427  1.04% 41.52%     567226  1.75%  github.com/dagger/dagger/dagql.Class[go.shape.*uint8].ForkObjectType
    316468  0.98% 42.50%     316468  0.98%  github.com/dagger/dagger/dagql.InputSpecs.Inputs
    305671  0.94% 43.44%     317085  0.98%  encoding/json.(*decodeState).literalStore
    275559  0.85% 44.29%     275559  0.85%  github.com/dagger/dagger/dagql.(*Interface).FieldSpecs
    273081  0.84% 45.13%     273081  0.84%  github.com/dagger/dagger/core/sdk/dang/v2.cloneIntrospectionTypeRef
    273080  0.84% 45.97%     273080  0.84%  internal/reflectlite.unsafe_New
    269967  0.83% 46.80%     269967  0.83%  reflect.growslice
    263602  0.81% 47.62%     263602  0.81%  internal/bytealg.MakeNoZero
    263253  0.81% 48.43%    1063614  3.28%  github.com/dagger/dagger/dagql.InputSpecs.ArgumentDefinitions
    262155  0.81% 49.24%     535235  1.65%  internal/reflectlite.Swapper
    262144  0.81% 50.05%     262144  0.81%  go.etcd.io/bbolt.(*node).split
    251231  0.77% 50.82%     251231  0.77%  github.com/vito/dang/v2/pkg/hm.NewScheme
    251229  0.77% 51.59%     251229  0.77%  github.com/dagger/dagger/core.(*TypeDef).Type
    234838  0.72% 52.32%     234838  0.72%  go.etcd.io/bbolt.(*Cursor).search
    228298   0.7% 53.02%     228298   0.7%  github.com/dagger/dagger/dagql.Class[go.shape.*uint8].New
    219528  0.68% 53.70%     219528  0.68%  github.com/dagger/dagger/dagql.interfaceRelationSet.add (inline)
    218463  0.67% 54.37%    1099963  3.39%  github.com/dagger/dagger/util/sortutil.RangeSorted[go.shape.string,go.shape.*uint8]
    212392  0.65% 55.03%     212392  0.65%  go.etcd.io/bbolt.cloneBytes (inline)
    212103  0.65% 55.68%     212103  0.65%  github.com/vito/dang/v2/pkg/dang.NewType
    207541  0.64% 56.32%     207541  0.64%  github.com/dagger/dagger/dagql.AnyID.Type
    196616  0.61% 56.93%     196616  0.61%  github.com/dagger/dagger/dagql.String.Type
    196610  0.61% 57.53%     649948  2.00%  github.com/dagger/dagger/dagql.(*Cache).lookupCacheForRequestLocked
    196608  0.61% 58.14%     196608  0.61%  github.com/dagger/dagger/util/hashutil.NewHasher
    191152  0.59% 58.73%     191152  0.59%  github.com/hashicorp/go-set/v3.NewTreeSet[go.shape.*uint8] (inline)
    185832  0.57% 59.30%     185832  0.57%  maps.clone
    180935  0.56% 59.86%     180935  0.56%  github.com/dagger/dagger/engine/clientdb.(*rowDecoder).bytes
    174771  0.54% 60.40%     174771  0.54%  github.com/dagger/dagger/dagql.Boolean.Type
    170408  0.53% 60.92%     170408  0.53%  google.golang.org/protobuf/internal/encoding/json.NewEncoder
    163845  0.51% 61.43%    2010401  6.20%  github.com/dagger/dagger/engine/clientdb.MarshalProtoJSONs[go.shape.*uint8]
    155110  0.48% 61.91%     634918  1.96%  runtime/pprof.writeHeapProto
    139267  0.43% 62.34%     207535  0.64%  github.com/dagger/dagger/dagql/call.NewArgument
    131089   0.4% 62.74%    1534411  4.73%  github.com/dagger/dagger/dagql.FieldSpec.FieldDefinition
    128647   0.4% 63.14%    4160876 12.83%  github.com/dagger/dagger/dagql.(*Cache).getOrInitCallInner
    126921  0.39% 63.53%     197547  0.61%  go.etcd.io/bbolt.(*Bucket).node
