File: engine
Build ID: 0c92155a392076ae12ef31e9d82e6dac6db7bf88
Type: alloc_space
Time: 2026-09-25 22:58:03 PDT
Showing nodes accounting for 382.67MB, 12.65% of 3025.36MB total
Dropped 1658 nodes (cum <= 15.13MB)
Showing top 50 nodes out of 475
      flat  flat%   sum%        cum   cum%
         0     0%     0%  1633.43MB 53.99%  github.com/dagger/dagger/dagql.ObjectResult[go.shape.*uint8].call.func2
         0     0%     0%  1525.26MB 50.42%  github.com/dagger/dagger/dagql.(*Cache).getOrInitCallInner.func1
         0     0%     0%  1017.81MB 33.64%  github.com/dagger/dagger/dagql.NodeFuncWithDynamicInputs[go.shape.*uint8,go.shape.20724d4f8c132cbaa295bbe467b280867a66876f0c959d1bc745b0d3e8042bd6,go.shape.struct { Result = github.com/dagger/dagger/dagql.Result[*github.com/dagger/dagger/core.Module]; github.com/dagger/dagger/dagql.class github.com/dagger/dagger/dagql.Class[*github.com/dagger/dagger/core.Module] }].func1
         0     0%     0%  1017.31MB 33.63%  github.com/dagger/dagger/core/schema.(*moduleSourceSchema).moduleSourceAsModule
         0     0%     0%  1017.31MB 33.63%  github.com/dagger/dagger/core/schema.(*moduleSourceSchema).runModuleDefInSDK
         0     0%     0%   732.19MB 24.20%  github.com/dagger/dagger/core.MountRef
         0     0%     0%   705.49MB 23.32%  net/http.HandlerFunc.ServeHTTP (partial-inline)
         0     0%     0%   705.49MB 23.32%  net/http.serverHandler.ServeHTTP
         0     0%     0%   704.96MB 23.30%  github.com/dagger/dagger/dagql.ObjectResult[go.shape.*uint8].Select
         0     0%     0%   627.56MB 20.74%  github.com/dagger/dagger/core/sdk/dang/shared.WithNestedClientServer
         0     0%     0%   627.56MB 20.74%  github.com/dagger/dagger/core/sdk/dang/v2.evalDangSource
         0     0%     0%   627.06MB 20.73%  github.com/dagger/dagger/core/sdk/dang/shared.serveNestedClient
         0     0%     0%   627.06MB 20.73%  github.com/dagger/dagger/core/sdk/dang/v2.evalDangSource.func1
         0     0%     0%   610.38MB 20.18%  net/http.(*ServeMux).ServeHTTP
         0     0%     0%   592.95MB 19.60%  github.com/dagger/dagger/engine/server.(*Server).serveHTTPToClient
         0     0%     0%   582.78MB 19.26%  github.com/dagger/dagger/dagql.(*Server).Select
         0     0%     0%   542.33MB 17.93%  github.com/dagger/dagger/core/sdk.(*dangSDK).ModuleTypes
         0     0%     0%   538.83MB 17.81%  github.com/dagger/dagger/core/sdk/dang/v2.Impl.ModuleTypes
         0     0%     0%   456.38MB 15.09%  net/http.(*conn).serve
         0     0%     0%   434.78MB 14.37%  golang.org/x/sync/errgroup.(*Group).Go.func1
         0     0%     0%   425.58MB 14.07%  github.com/dagger/dagger/core.(*Directory).Mount
       9MB   0.3%   0.3%   403.42MB 13.33%  github.com/dagger/dagger/dagql.ObjectResult[go.shape.*uint8].call
         0     0%   0.3%   399.50MB 13.20%  github.com/dagger/dagger/core.(*Directory).Mount.func1
         0     0%   0.3%   399.50MB 13.20%  github.com/dagger/dagger/core/sdk/dang/v2.evalDangSource.func1.1
         0     0%   0.3%   376.21MB 12.44%  sync.(*Once).Do (partial-inline)
         0     0%   0.3%   376.21MB 12.44%  sync.(*Once).doSlow
    0.50MB 0.017%  0.31%   335.34MB 11.08%  github.com/dagger/dagger/engine/server.(*Server).serveQuery
         0     0%  0.31%   335.34MB 11.08%  github.com/dagger/dagger/engine/server..serveHTTPToClient.httpHandlerFunc[go.shape.*uint8].func6
    0.50MB 0.017%  0.33%   329.29MB 10.88%  github.com/dagger/dagger/engine/server.(*Server).ServeHTTPToNestedClient
         0     0%  0.33%   327.79MB 10.83%  github.com/dagger/dagger/engine/server..ServeHTTPToNestedClient.httpHandlerFunc[go.shape.*uint8].func1
         0     0%  0.33%   323.32MB 10.69%  github.com/dagger/dagger/core/schema.(*moduleSourceSchema).prototypeStaticTypeScriptTypes
         0     0%  0.33%   312.42MB 10.33%  github.com/dagger/dagger/dagql.(*Cache).GetOrInitCall
         0     0%  0.33%   312.42MB 10.33%  github.com/dagger/dagger/dagql.(*Cache).getOrInitCall
       6MB   0.2%  0.53%   312.42MB 10.33%  github.com/dagger/dagger/dagql.(*Cache).getOrInitCallInner
   47.51MB  1.57%  2.10%   307.55MB 10.17%  github.com/dagger/dagger/dagql.ObjectResult[go.shape.*uint8].preselect
         0     0%  2.10%   300.56MB  9.93%  bytes.(*Buffer).grow
  300.56MB  9.93% 12.03%   300.56MB  9.93%  bytes.growSlice
    4.01MB  0.13% 12.17%   286.60MB  9.47%  github.com/dagger/dagger/util/sortutil.RangeSorted[go.shape.string,go.shape.722f2df09ea77d12ef3707da9871c0b2f16d2dad33d22f6ad91dda115d8a5d86]
   14.59MB  0.48% 12.65%   283.02MB  9.35%  github.com/dagger/dagger/engine/server.clientSpans.ExportSpans
         0     0% 12.65%   283.02MB  9.35%  github.com/dagger/dagger/engine/server.sessionSpanExporter.ExportSpans.func1
         0     0% 12.65%   271.75MB  8.98%  github.com/99designs/gqlgen/graphql/handler.(*Server).ServeHTTP
         0     0% 12.65%   271.25MB  8.97%  github.com/99designs/gqlgen/graphql/handler/transport.POST.Do
         0     0% 12.65%   265.16MB  8.76%  github.com/dagger/dagger/engine/server.(*Server).ServeHTTP
         0     0% 12.65%   265.16MB  8.76%  github.com/dagger/dagger/engine/server..ServeHTTP.httpHandlerFunc[go.shape.*uint8].func1
         0     0% 12.65%   265.16MB  8.76%  main.main.func2.4
         0     0% 12.65%   258.40MB  8.54%  github.com/dagger/dagger/core.(*ModuleFunction).Call
         0     0% 12.65%   254.11MB  8.40%  net/http.(*http2serverConn).runHandler
         0     0% 12.65%   254.11MB  8.40%  net/http.unencryptedHTTP2Request.ServeHTTP
         0     0% 12.65%   245.96MB  8.13%  github.com/dagger/dagger/core.(*File).Contents
         0     0% 12.65%   243.37MB  8.04%  github.com/dagger/dagger/core/schema.(*moduleSourceSchema).prototypeStaticTypeScriptTypes.func2
