File: engine
Build ID: 0c92155a392076ae12ef31e9d82e6dac6db7bf88
Type: alloc_space
Time: 2026-09-25 22:58:03 PDT
Showing nodes accounting for 1927.08MB, 63.70% of 3025.36MB total
Dropped 1658 nodes (cum <= 15.13MB)
Showing top 50 nodes out of 475
      flat  flat%   sum%        cum   cum%
  300.56MB  9.93%  9.93%   300.56MB  9.93%  bytes.growSlice
  148.51MB  4.91% 14.84%   148.51MB  4.91%  reflect.unsafe_New
  122.62MB  4.05% 18.90%   221.12MB  7.31%  github.com/vito/dang/v2/pkg/dang.cloneSyntax.func1
   94.54MB  3.12% 22.02%    94.54MB  3.12%  github.com/dagger/dagger/dagql.(*Interface).FieldSpecs
   77.04MB  2.55% 24.57%    77.04MB  2.55%  github.com/dagger/dagger/dagql.InputSpecs.Inputs
   75.78MB  2.50% 27.07%    75.78MB  2.50%  go.etcd.io/bbolt/internal/common.ReadInodeFromPage
   61.70MB  2.04% 29.11%    61.70MB  2.04%  maps.clone
   61.51MB  2.03% 31.15%    61.51MB  2.03%  runtime/pprof.allFrames
   55.20MB  1.82% 32.97%    55.20MB  1.82%  encoding/json.(*Decoder).refill
   54.46MB  1.80% 34.77%    61.97MB  2.05%  github.com/dagger/dagger/dagql.(*cacheUsageSnapshot).capturePendingLocked
      54MB  1.79% 36.56%   161.03MB  5.32%  google.golang.org/protobuf/encoding/protojson.encoder.marshalMessage
   47.51MB  1.57% 38.13%   307.55MB 10.17%  github.com/dagger/dagger/dagql.ObjectResult[go.shape.*uint8].preselect
   46.11MB  1.52% 39.65%    46.11MB  1.52%  github.com/vito/dang/v2/pkg/dang.(*Type).Add
   43.52MB  1.44% 41.09%    43.52MB  1.44%  google.golang.org/protobuf/internal/encoding/json.appendString
   34.16MB  1.13% 42.22%    34.16MB  1.13%  go.opentelemetry.io/otel/sdk/log.(*BatchProcessor).ForceFlush
   33.13MB  1.10% 43.31%    33.13MB  1.10%  go.etcd.io/bbolt.(*Tx).writeMeta
      30MB  0.99% 44.30%   146.53MB  4.84%  google.golang.org/protobuf/internal/order.RangeFields
      28MB  0.93% 45.23%       56MB  1.85%  github.com/dagger/otel-go.keyValueToPB (inline)
   27.52MB  0.91% 46.14%    27.52MB  0.91%  github.com/dagger/dagger/dagql.interfaceRelationSet.add (inline)
   27.50MB  0.91% 47.05%       28MB  0.93%  github.com/dagger/otel-go.value
   24.20MB   0.8% 47.85%    25.70MB  0.85%  github.com/dagger/dagger/engine/server.sessionLogExporter.Export
   23.59MB  0.78% 48.63%   106.28MB  3.51%  github.com/dagger/dagger/dagql.(*Server).Fork
   23.01MB  0.76% 49.39%    23.01MB  0.76%  github.com/vito/dang/v2/pkg/dang.NewType
   21.52MB  0.71% 50.10%    21.52MB  0.71%  github.com/dagger/dagger/engine/clientdb.(*rowDecoder).bytes
   21.21MB   0.7% 50.80%    21.21MB   0.7%  bufio.NewReaderSize (inline)
   21.03MB  0.69% 51.50%    21.03MB  0.69%  github.com/dagger/dagger/engine/clientdb.(*frameScanner).next
   20.55MB  0.68% 52.18%    20.55MB  0.68%  github.com/dagger/dagger/dagql.(*Cache).publishUsageMeasurementsLocked
      20MB  0.66% 52.84%       20MB  0.66%  github.com/hashicorp/go-set/v3.(*TreeSet[go.shape.*uint8]).Insert (inline)
   19.03MB  0.63% 53.47%    22.05MB  0.73%  github.com/dagger/dagger/dagql.(*Cache).snapshotPruneStateLocked
      19MB  0.63% 54.09%       19MB  0.63%  github.com/dagger/dagger/dagql.Class[go.shape.*uint8].New
   18.08MB   0.6% 54.69%    18.08MB   0.6%  bufio.NewWriterSize (inline)
      18MB   0.6% 55.29%    82.52MB  2.73%  github.com/dagger/dagger/dagql.InputSpecs.ArgumentDefinitions
   17.10MB  0.57% 55.85%    17.10MB  0.57%  go.etcd.io/bbolt.(*node).put
