File: engine
Build ID: 0c92155a392076ae12ef31e9d82e6dac6db7bf88
Type: cpu
Time: 2026-09-25 22:58:03 PDT
Duration: 35s, Total samples = 28.54s (81.53%)
Showing nodes accounting for 17.55s, 61.49% of 28.54s total
Dropped 2253 nodes (cum <= 0.14s)
Showing top 50 nodes out of 474
      flat  flat%   sum%        cum   cum%
     2.32s  8.13%  8.13%      5.58s 19.55%  runtime.scanObjectsSmall
     1.96s  6.87% 15.00%      3.89s 13.63%  runtime.tryDeferToSpanScan
     1.49s  5.22% 20.22%      1.49s  5.22%  runtime.spanClass.sizeclass (inline)
     1.15s  4.03% 24.25%      1.15s  4.03%  internal/runtime/syscall/linux.Syscall6
     0.66s  2.31% 26.56%      7.33s 25.68%  runtime.scanSpan
     0.61s  2.14% 28.70%      0.61s  2.14%  runtime.memclrNoHeapPointers
     0.48s  1.68% 30.38%      0.48s  1.68%  runtime.extractHeapBitsSmall
     0.47s  1.65% 32.03%      0.60s  2.10%  runtime.findObject
     0.46s  1.61% 33.64%      0.46s  1.61%  runtime.memmove
     0.46s  1.61% 35.25%      0.46s  1.61%  runtime.nextFreeFast (inline)
     0.44s  1.54% 36.79%      0.50s  1.75%  context.value
     0.44s  1.54% 38.33%      0.44s  1.54%  internal/runtime/maps.ctrlGroup.matchH2 (inline)
     0.43s  1.51% 39.84%      1.78s  6.24%  runtime.scanObject
     0.37s  1.30% 41.14%      0.37s  1.30%  aeshashbody
     0.36s  1.26% 42.40%      0.42s  1.47%  runtime.(*mspan).writeHeapBitsSmall
     0.33s  1.16% 43.55%      2.28s  7.99%  runtime.mallocgcSmallScanNoHeader
     0.32s  1.12% 44.67%      0.89s  3.12%  runtime.scanObjectSmall
     0.26s  0.91% 45.59%      0.29s  1.02%  encoding/json.stateInString
     0.26s  0.91% 46.50%      1.13s  3.96%  encoding/json.structEncoder.encode
     0.25s  0.88% 47.37%      9.42s 33.01%  runtime.gcDrain
     0.24s  0.84% 48.21%      0.24s  0.84%  runtime.futex
     0.22s  0.77% 48.98%      0.22s  0.77%  crypto/internal/fips140/sha256.blockAVX2
     0.22s  0.77% 49.75%      0.22s  0.77%  sync/atomic.(*Int32).Add
     0.21s  0.74% 50.49%      3.28s 11.49%  runtime.mallocgc
     0.19s  0.67% 51.16%      0.26s  0.91%  runtime.heapArenaOf (inline)
     0.18s  0.63% 51.79%      0.21s  0.74%  encoding/json.appendString[go.shape.string]
     0.18s  0.63% 52.42%      0.23s  0.81%  runtime.typePointers.next
     0.16s  0.56% 52.98%      0.44s  1.54%  google.golang.org/protobuf/internal/encoding/json.(*Decoder).Read
     0.16s  0.56% 53.54%      0.16s  0.56%  runtime.(*itabTableType).find
     0.16s  0.56% 54.10%      0.35s  1.23%  runtime.pcvalue
     0.16s  0.56% 54.66%      0.19s  0.67%  runtime.spanSetScans
     0.16s  0.56% 55.22%      0.18s  0.63%  runtime.step
     0.15s  0.53% 55.75%      1.40s  4.91%  github.com/vito/dang/v2/pkg/dang.cloneSyntax.func1
     0.15s  0.53% 56.27%      0.15s  0.53%  runtime.(*mspan).moveInlineMarks
     0.13s  0.46% 56.73%      0.19s  0.67%  internal/runtime/maps.(*Iter).Next
     0.12s  0.42% 57.15%      0.47s  1.65%  reflect.Value.Set
     0.11s  0.39% 57.53%      0.60s  2.10%  runtime.growslice
     0.11s  0.39% 57.92%      0.65s  2.28%  runtime.mapaccess1_faststr
     0.11s  0.39% 58.30%      1.47s  5.15%  runtime.newobject
     0.10s  0.35% 58.65%      0.19s  0.67%  encoding/json.appendCompact
     0.09s  0.32% 58.97%      0.15s  0.53%  reflect.(*rtype).Field
     0.09s  0.32% 59.29%      0.16s  0.56%  reflect.Value.Field
     0.09s  0.32% 59.60%      0.27s  0.95%  runtime.bulkBarrierPreWrite
     0.08s  0.28% 59.88%      1.13s  3.96%  encoding/json.ptrEncoder.encode
     0.08s  0.28% 60.16%      0.18s  0.63%  internal/runtime/maps.(*Map).getWithoutKeySmallFastStr
     0.08s  0.28% 60.44%      0.18s  0.63%  internal/sync.(*HashTrieMap[go.shape.interface {},go.shape.interface {}]).Load
     0.08s  0.28% 60.72%      0.43s  1.51%  runtime.(*mcentral).cacheSpan
     0.08s  0.28% 61.00%      0.16s  0.56%  runtime.(*spanInlineMarkBits).tryAcquire
     0.07s  0.25% 61.25%      0.60s  2.10%  runtime.(*mcache).refill
     0.07s  0.25% 61.49%      0.38s  1.33%  runtime.sweepone
