goos: linux
goarch: amd64
pkg: github.com/dagger/dagger/internal/fsutil
cpu: Intel(R) Core(TM) i5-9300H CPU @ 2.40GHz
BenchmarkSparseExportApply/Unrelated0/Write1-8         	    1634	     71370 ns/op	    2255 B/op	      27 allocs/op
BenchmarkSparseExportApply/Unrelated0/Write16-8        	     100	   1119488 ns/op	   24019 B/op	     297 allocs/op
BenchmarkSparseExportApply/Unrelated1000/Write1-8      	    1724	     68742 ns/op	    2255 B/op	      27 allocs/op
BenchmarkSparseExportApply/Unrelated1000/Write16-8     	     100	   1101600 ns/op	   24019 B/op	     297 allocs/op
BenchmarkSparseExportApply/Unrelated10000/Write1-8     	    1712	     68866 ns/op	    2255 B/op	      27 allocs/op
BenchmarkSparseExportApply/Unrelated10000/Write16-8    	     100	   1043984 ns/op	   24019 B/op	     297 allocs/op
BenchmarkSparseDirectoryFinalization/Unrelated0/Touched1-8         	   17568	      6790 ns/op	     976 B/op	       7 allocs/op
BenchmarkSparseDirectoryFinalization/Unrelated0/Touched16-8        	    1761	     69008 ns/op	    8616 B/op	      58 allocs/op
BenchmarkSparseDirectoryFinalization/Unrelated1000/Touched1-8      	   17450	      6832 ns/op	     976 B/op	       7 allocs/op
BenchmarkSparseDirectoryFinalization/Unrelated1000/Touched16-8     	    1755	     69480 ns/op	    8616 B/op	      58 allocs/op
BenchmarkSparseDirectoryFinalization/Unrelated10000/Touched1-8     	   17703	      6783 ns/op	     976 B/op	       7 allocs/op
BenchmarkSparseDirectoryFinalization/Unrelated10000/Touched16-8    	    1762	     68320 ns/op	    8616 B/op	      58 allocs/op
PASS
