File: dagger
Type: delay
Active filters:
   focus=otel-go.Close|shutdownServer
Showing nodes accounting for 24.69ms, 0.044% of 55522.17ms total
      flat  flat%   sum%        cum   cum%
         0     0%     0%    24.69ms 0.044%  github.com/dagger/dagger/dagql/idtui.(*frontendPretty).Run
         0     0%     0%    24.69ms 0.044%  github.com/dagger/dagger/internal/cmd/dagger.Main
         0     0%     0%    24.69ms 0.044%  github.com/dagger/dagger/internal/cmd/dagger.runChecksCommand
         0     0%     0%    24.69ms 0.044%  github.com/dagger/dagger/internal/cmd/dagger.withEngine
         0     0%     0%    24.69ms 0.044%  github.com/dagger/dagger/util/cleanups.(*Cleanups).Run
         0     0%     0%    24.69ms 0.044%  github.com/spf13/cobra.(*Command).ExecuteC
         0     0%     0%    24.69ms 0.044%  github.com/spf13/cobra.(*Command).execute
         0     0%     0%    24.69ms 0.044%  main.main
         0     0%     0%    24.69ms 0.044%  sync.(*Once).Do
         0     0%     0%    24.69ms 0.044%  sync.(*Once).doSlow
   24.69ms 0.044% 0.044%    24.69ms 0.044%  runtime.selectgo
         0     0% 0.044%    14.21ms 0.026%  github.com/dagger/dagger/engine/client.(*Client).Close
         0     0% 0.044%    14.21ms 0.026%  github.com/dagger/dagger/engine/client.(*Client).shutdownServer
         0     0% 0.044%    14.21ms 0.026%  github.com/dagger/dagger/engine/client.(*httpClient).Do
         0     0% 0.044%    14.21ms 0.026%  github.com/dagger/dagger/internal/cmd/dagger.withEngine.func1.(*Cleanups).Add.4
         0     0% 0.044%    14.21ms 0.026%  github.com/dagger/dagger/internal/cmd/dagger.withEngine.func1..Add.OnceValue[go.shape.interface { Error string }].6
         0     0% 0.044%    14.21ms 0.026%  github.com/dagger/dagger/internal/cmd/dagger.withEngine.func1..Add.OnceValue[go.shape.interface { Error string }].6.1
         0     0% 0.044%    14.21ms 0.026%  golang.org/x/net/http2.(*ClientConn).RoundTrip
         0     0% 0.044%    14.21ms 0.026%  golang.org/x/net/http2.(*ClientConn).internalRoundTrip
         0     0% 0.044%    14.21ms 0.026%  golang.org/x/net/http2.(*Transport).RoundTrip
         0     0% 0.044%    14.21ms 0.026%  golang.org/x/net/http2.(*Transport).roundTripOpt
         0     0% 0.044%    14.21ms 0.026%  golang.org/x/net/http2.(*Transport).roundTripViaPool
         0     0% 0.044%    14.21ms 0.026%  net/http.(*Client).do
         0     0% 0.044%    14.21ms 0.026%  net/http.(*Client).send
         0     0% 0.044%    14.21ms 0.026%  net/http.send
         0     0% 0.044%    10.48ms 0.019%  github.com/dagger/dagger/internal/cmd/dagger.initEngineTelemetry.func1
         0     0% 0.044%    10.48ms 0.019%  github.com/dagger/dagger/internal/cmd/dagger.withEngine.func1.(*Cleanups).Add.3
         0     0% 0.044%    10.48ms 0.019%  github.com/dagger/dagger/internal/cmd/dagger.withEngine.func1..Add.OnceValue[go.shape.interface { Error string }].5
         0     0% 0.044%    10.48ms 0.019%  github.com/dagger/dagger/internal/cmd/dagger.withEngine.func1..Add.OnceValue[go.shape.interface { Error string }].5.1
         0     0% 0.044%    10.48ms 0.019%  github.com/dagger/dagger/internal/cmd/dagger.withEngine.func1.2
         0     0% 0.044%    10.48ms 0.019%  github.com/dagger/otel-go.Close
         0     0% 0.044%     7.37ms 0.013%  go.opentelemetry.io/otel/sdk/trace.(*TracerProvider).Shutdown
         0     0% 0.044%     7.37ms 0.013%  go.opentelemetry.io/otel/sdk/trace.(*TracerProvider).Shutdown.func1
         0     0% 0.044%     7.37ms 0.013%  go.opentelemetry.io/otel/sdk/trace.(*batchSpanProcessor).Shutdown
         0     0% 0.044%     7.37ms 0.013%  go.opentelemetry.io/otel/sdk/trace.(*batchSpanProcessor).Shutdown.func1
         0     0% 0.044%     3.11ms 0.0056%  go.opentelemetry.io/otel/sdk/log.(*BatchProcessor).Shutdown
         0     0% 0.044%     3.11ms 0.0056%  go.opentelemetry.io/otel/sdk/log.(*LoggerProvider).Shutdown
         0     0% 0.044%     3.11ms 0.0056%  go.opentelemetry.io/otel/sdk/log.(*bufferExporter).Export
         0     0% 0.044%          0 4.1e-06%  go.opentelemetry.io/otel/sdk/metric.(*MeterProvider).Shutdown
         0     0% 0.044%          0 4.1e-06%  go.opentelemetry.io/otel/sdk/metric.(*PeriodicReader).Shutdown
         0     0% 0.044%          0 4.1e-06%  go.opentelemetry.io/otel/sdk/metric.(*PeriodicReader).Shutdown.func1
         0     0% 0.044%          0 4.1e-06%  go.opentelemetry.io/otel/sdk/metric.config.readerSignals.unifyShutdown.func2
         0     0% 0.044%          0 4.1e-06%  go.opentelemetry.io/otel/sdk/metric.config.readerSignals.unifyShutdown.func2.1
         0     0% 0.044%          0 4.1e-06%  go.opentelemetry.io/otel/sdk/metric.config.readerSignals.unifyShutdown.unify.func3
         0 4.1e-06% 0.044%          0 4.1e-06%  runtime.chanrecv1
         0     0% 0.044%          0 2.1e-06%  go.opentelemetry.io/otel/sdk/log.(*bufferExporter).Shutdown
