goos: linux
goarch: amd64
pkg: github.com/dagger/dagger/core
cpu: Intel(R) Core(TM) i5-9300H CPU @ 2.40GHz
BenchmarkBulkTypeDefFunctions/sequential/1-8         	  270780	       385.0 ns/op	     800 B/op	       3 allocs/op
BenchmarkBulkTypeDefFunctions/sequential/1-8         	  375741	       320.8 ns/op	     800 B/op	       3 allocs/op
BenchmarkBulkTypeDefFunctions/sequential/1-8         	  442503	       322.2 ns/op	     800 B/op	       3 allocs/op
BenchmarkBulkTypeDefFunctions/bulk/1-8               	  276814	       478.1 ns/op	     800 B/op	       3 allocs/op
BenchmarkBulkTypeDefFunctions/bulk/1-8               	  269338	       468.5 ns/op	     800 B/op	       3 allocs/op
BenchmarkBulkTypeDefFunctions/bulk/1-8               	  271135	       441.4 ns/op	     800 B/op	       3 allocs/op
BenchmarkBulkTypeDefFunctions/sequential/10-8        	   14468	      8349 ns/op	   16160 B/op	      29 allocs/op
BenchmarkBulkTypeDefFunctions/sequential/10-8        	   14372	      8301 ns/op	   16160 B/op	      29 allocs/op
BenchmarkBulkTypeDefFunctions/sequential/10-8        	   14437	      8297 ns/op	   16160 B/op	      29 allocs/op
BenchmarkBulkTypeDefFunctions/bulk/10-8              	   27735	      4408 ns/op	    5376 B/op	      14 allocs/op
BenchmarkBulkTypeDefFunctions/bulk/10-8              	   28209	      4328 ns/op	    5376 B/op	      14 allocs/op
BenchmarkBulkTypeDefFunctions/bulk/10-8              	   27609	      4356 ns/op	    5376 B/op	      14 allocs/op
BenchmarkBulkTypeDefFunctions/sequential/100-8       	     241	    495030 ns/op	  721632 B/op	     230 allocs/op
BenchmarkBulkTypeDefFunctions/sequential/100-8       	     231	    502116 ns/op	  721632 B/op	     230 allocs/op
BenchmarkBulkTypeDefFunctions/sequential/100-8       	     242	    493216 ns/op	  721632 B/op	     230 allocs/op
BenchmarkBulkTypeDefFunctions/bulk/100-8             	    2618	     42965 ns/op	   51696 B/op	      29 allocs/op
BenchmarkBulkTypeDefFunctions/bulk/100-8             	    2446	     44131 ns/op	   51696 B/op	      29 allocs/op
BenchmarkBulkTypeDefFunctions/bulk/100-8             	    2613	     44562 ns/op	   51696 B/op	      29 allocs/op
BenchmarkBulkTypeDefFunctions/sequential/1000-8      	       3	  42006819 ns/op	52843525 B/op	    2052 allocs/op
BenchmarkBulkTypeDefFunctions/sequential/1000-8      	       3	  41940433 ns/op	52843488 B/op	    2052 allocs/op
BenchmarkBulkTypeDefFunctions/sequential/1000-8      	       3	  42638137 ns/op	52843525 B/op	    2052 allocs/op
BenchmarkBulkTypeDefFunctions/bulk/1000-8            	     262	    471794 ns/op	  565712 B/op	      54 allocs/op
BenchmarkBulkTypeDefFunctions/bulk/1000-8            	     255	    463345 ns/op	  565712 B/op	      54 allocs/op
BenchmarkBulkTypeDefFunctions/bulk/1000-8            	     249	    456702 ns/op	  565712 B/op	      54 allocs/op
PASS
ok  	github.com/dagger/dagger/core	3.198s
