File: dagger
Build ID: 0c2c7612760744d155f08897d725b0d4b767c999
Type: cpu
Time: 2026-09-24 10:15:52 PDT
Duration: 3.03s, Total samples = 550ms (18.14%)
Showing nodes accounting for 100ms, 18.18% of 550ms total
Showing top 25 nodes out of 318
      flat  flat%   sum%        cum   cum%
         0     0%     0%      210ms 38.18%  golang.org/x/sync/errgroup.(*Group).Go.func1
         0     0%     0%      190ms 34.55%  path/filepath.WalkDir
         0     0%     0%      190ms 34.55%  path/filepath.walkDir
         0     0%     0%      180ms 32.73%  github.com/dagger/dagger/internal/fsutil.(*filterFS).Walk
         0     0%     0%      180ms 32.73%  github.com/dagger/dagger/internal/fsutil.(*fs).Walk
         0     0%     0%      180ms 32.73%  github.com/dagger/dagger/internal/fsutil.(*hardlinkFilter).Walk
         0     0%     0%      180ms 32.73%  github.com/dagger/dagger/internal/fsutil.(*sender).run.func1
         0     0%     0%      180ms 32.73%  github.com/dagger/dagger/internal/fsutil.(*sender).walk
         0     0%     0%      130ms 23.64%  os.ReadDir
         0     0%     0%      110ms 20.00%  runtime.systemstack
         0     0%     0%       90ms 16.36%  internal/poll.ignoringEINTRIO (inline)
      90ms 16.36% 16.36%       90ms 16.36%  internal/runtime/syscall/linux.Syscall6
         0     0% 16.36%       90ms 16.36%  syscall.RawSyscall6
         0     0% 16.36%       90ms 16.36%  syscall.Syscall
         0     0% 16.36%       80ms 14.55%  os.(*File).ReadDir
      10ms  1.82% 18.18%       80ms 14.55%  os.(*File).readdir
         0     0% 18.18%       70ms 12.73%  github.com/dagger/otel-go.CoalescingSpanExporter.ExportSpans
         0     0% 18.18%       70ms 12.73%  go.opentelemetry.io/otel/sdk/trace.(*batchSpanProcessor).exportSpans
         0     0% 18.18%       70ms 12.73%  go.opentelemetry.io/otel/sdk/trace.(*batchSpanProcessor).processQueue
         0     0% 18.18%       70ms 12.73%  go.opentelemetry.io/otel/sdk/trace.NewBatchSpanProcessor.func2
         0     0% 18.18%       70ms 12.73%  sync.(*WaitGroup).Go.func1
         0     0% 18.18%       60ms 10.91%  github.com/dagger/dagger/dagql/idtui.(*frontendPretty).dispatch
         0     0% 18.18%       60ms 10.91%  internal/poll.(*FD).ReadDirent
         0     0% 18.18%       60ms 10.91%  runtime.gcBgMarkWorker
         0     0% 18.18%       60ms 10.91%  runtime.gcBgMarkWorker.func2
