Type: delay
Active filters:
   focus=Shutdown|WithGitLabels|LoadDefaultLabels|Close
Showing nodes accounting for 8.48s, 8.30% of 102.16s total
Dropped 51 nodes (cum <= 0.51s)
      flat  flat%   sum%        cum   cum%
     8.09s  7.91%  7.91%      8.09s  7.91%  runtime.selectgo
     0.40s  0.39%  8.30%      0.40s  0.39%  sync.(*WaitGroup).Wait
         0     0%  8.30%      0.40s  0.39%  github.com/dagger/dagger/dagql/idtui.(*frontendPretty).Run
         0     0%  8.30%      7.68s  7.52%  github.com/dagger/dagger/engine/client.(*Client).withClientCloseCancel.func1
         0     0%  8.30%      0.40s  0.39%  github.com/dagger/dagger/internal/cmd/dagger.Main
         0     0%  8.30%      0.38s  0.38%  github.com/dagger/dagger/internal/cmd/dagger.initEngineTelemetry.func1
         0     0%  8.30%      0.40s  0.39%  github.com/dagger/dagger/internal/cmd/dagger.runChecksCommand
         0     0%  8.30%      0.40s  0.39%  github.com/dagger/dagger/internal/cmd/dagger.withEngine
         0     0%  8.30%      0.38s  0.38%  github.com/dagger/dagger/internal/cmd/dagger.withEngine.func1.(*Cleanups).Add.3
         0     0%  8.30%      0.38s  0.38%  github.com/dagger/dagger/internal/cmd/dagger.withEngine.func1..Add.OnceValue[...].5
         0     0%  8.30%      0.38s  0.38%  github.com/dagger/dagger/internal/cmd/dagger.withEngine.func1..Add.OnceValue[...].5.1
         0     0%  8.30%      0.38s  0.38%  github.com/dagger/dagger/internal/cmd/dagger.withEngine.func1.2
         0     0%  8.30%      0.40s  0.39%  github.com/dagger/dagger/util/cleanups.(*Cleanups).Run
         0     0%  8.30%      0.38s  0.38%  github.com/dagger/otel-go.Close
         0     0%  8.30%      0.40s  0.39%  github.com/spf13/cobra.(*Command).Execute
         0     0%  8.30%      0.40s  0.39%  github.com/spf13/cobra.(*Command).ExecuteC
         0     0%  8.30%      0.40s  0.39%  github.com/spf13/cobra.(*Command).ExecuteContext
         0     0%  8.30%      0.40s  0.39%  github.com/spf13/cobra.(*Command).execute
         0     0%  8.30%      0.38s  0.38%  go.opentelemetry.io/otel/sdk/trace.(*TracerProvider).Shutdown
         0     0%  8.30%      0.38s  0.38%  go.opentelemetry.io/otel/sdk/trace.(*TracerProvider).Shutdown.func1
         0     0%  8.30%      0.38s  0.38%  go.opentelemetry.io/otel/sdk/trace.(*batchSpanProcessor).Shutdown
         0     0%  8.30%      0.38s  0.38%  go.opentelemetry.io/otel/sdk/trace.(*batchSpanProcessor).Shutdown.func1
         0     0%  8.30%      0.38s  0.38%  go.opentelemetry.io/otel/sdk/trace.(*batchSpanProcessor).Shutdown.func1.1
         0     0%  8.30%      0.40s  0.39%  main.main
         0     0%  8.30%      0.40s  0.39%  sync.(*Once).Do
         0     0%  8.30%      0.40s  0.39%  sync.(*Once).doSlow
