Main binary filename not available.
Type: delay
Showing nodes accounting for 102.13s, 100% of 102.16s total
Dropped 261 nodes (cum <= 0.51s)
Showing top 25 nodes out of 109
      flat  flat%   sum%        cum   cum%
    66.28s 64.88% 64.88%     66.28s 64.88%  runtime.selectgo
    14.06s 13.76% 78.64%     14.06s 13.76%  runtime.chanrecv1
    12.69s 12.42% 91.06%     12.69s 12.42%  runtime.chanrecv2
     8.42s  8.24% 99.30%      8.42s  8.24%  sync.(*Cond).Wait
     0.68s  0.67%   100%      0.68s  0.67%  sync.(*WaitGroup).Wait
         0     0%   100%      1.66s  1.63%  dagger.io/dagger.(*Artifacts).ID
         0     0%   100%      0.86s  0.84%  dagger.io/dagger.(*Client).Do
         0     0%   100%      2.53s  2.48%  dagger.io/dagger.errorWrappedClient.MakeRequest
         0     0%   100%      2.53s  2.48%  github.com/Khan/genqlient/graphql.(*client).MakeRequest
         0     0%   100%      2.24s  2.19%  github.com/dagger/dagger/analytics.(*CloudTracker).start
         0     0%   100%      2.97s  2.91%  github.com/dagger/dagger/dagql/idtui.(*frontendPretty).Run
         0     0%   100%      2.63s  2.57%  github.com/dagger/dagger/dagql/idtui.(*frontendPretty).startReportHeartbeat.func2
         0     0%   100%      5.14s  5.03%  github.com/dagger/dagger/engine/client.(*Client).DialContext.func1
         0     0%   100%      2.54s  2.49%  github.com/dagger/dagger/engine/client.(*Client).startSession.func2
         0     0%   100%      2.55s  2.49%  github.com/dagger/dagger/engine/client.(*Client).startSession.func2.1
         0     0%   100%      2.55s  2.49%  github.com/dagger/dagger/engine/client.(*Client).telemetryContext.func1
         0     0%   100%      7.68s  7.52%  github.com/dagger/dagger/engine/client.(*Client).withClientCloseCancel.func1
         0     0%   100%      2.54s  2.49%  github.com/dagger/dagger/engine/client.(*SessionAttachablesServer).Run
         0     0%   100%      2.53s  2.47%  github.com/dagger/dagger/engine/client.(*SessionAttachablesServer).Run.func1
         0     0%   100%      2.54s  2.49%  github.com/dagger/dagger/engine/client.(*httpClient).Do
         0     0%   100%      7.60s  7.44%  github.com/dagger/dagger/engine/client.(*otlpConsumer).Consume.func2
         0     0%   100%      7.60s  7.44%  github.com/dagger/dagger/engine/client.(*otlpConsumer).consumeResponse
         0     0%   100%      2.53s  2.48%  github.com/dagger/dagger/engine/client.DirectConn.Do
         0     0%   100%      2.42s  2.37%  github.com/dagger/dagger/engine/telemetry.(*SpanHeartbeater).ExportSpans
         0     0%   100%      3.03s  2.96%  github.com/dagger/dagger/engine/telemetry.(*SpanHeartbeater).heartbeat
