wcprof analysis
===============

ops: 20900  roots: 38  open at dump: 0  dropped events: 0
trace span: 3.26s   makespan over roots: 3.26s

simulated baseline makespan: 3.26s (drift vs actual: -0.0%)

what-if: makespan saved if a class's self-time is scaled by factor f
(ranked by saving at f=0.5; this is the bottleneck candidate list)

class                                                   worktype       save@0     save@0.5     save@0.9
call:Query.node                                         engine          925µs        462µs         92µs
session_phase:session.query                             engine          329µs        164µs         32µs
call:Module._implementationScoped                       engine          113µs         56µs         11µs
session_phase:session.serveQuery                        engine            8µs          4µs        843ns
session_phase:session.schemaBuild                       engine          846ns        423ns         85ns
session_phase:session.workspaceLoad                     engine          643ns        322ns         65ns

top classes by total self-time

class                                                   worktype    count   total-self   total-wall   p50-self   p95-self   max-self outcomes
exec_phase:tsx                                          user            2        3.85s        3.85s      1.93s      1.93s      1.93s ok:2
call_exec:Query.git                                     engine         12        2.36s        2.76s    113.7ms    388.3ms    388.3ms ok:12
call_exec:GitRepository.ref                             engine          3      708.3ms      708.4ms      969µs    707.0ms    707.0ms ok:3
internal:dang.invoke                                    engine         19      625.7ms      768.6ms      8.2ms    102.1ms    102.1ms ok:19
exec_phase:runtime                                      user            6      615.2ms      615.2ms    103.9ms    176.1ms    176.1ms ok:6
call_exec:Query.moduleSource                            engine         13      515.9ms        5.58s     14.7ms    112.0ms    112.0ms ok:13
call_exec:Address.container                             engine          4      397.0ms      628.4ms     80.2ms    165.6ms    165.6ms ok:4
call_exec:ModuleSource.asModule                         engine         16      280.5ms        7.87s     16.4ms     36.8ms     36.8ms ok:16
internal:dang.decodeSchema                              engine         19      206.8ms      206.8ms     10.9ms     15.0ms     15.0ms ok:19
call_exec:Host.directory                                engine          8      189.4ms      189.6ms     25.5ms     32.8ms     32.8ms ok:8
call_exec:Workspace.artifacts                           engine          2      171.3ms        2.46s    110.0ms    110.0ms    110.0ms ok:2
internal:dang.runSource                                 engine         19      169.0ms      169.0ms      7.4ms     22.3ms     22.3ms ok:19
internal:dagql.publishResult                            engine       1955      141.9ms      141.9ms       37µs      169µs      3.7ms ok:1955
session_phase:session.query                             engine        220      104.1ms        3.85s      149µs      2.4ms      3.1ms ok:220
exec:exec.run                                           engine          8       76.3ms        4.58s      9.7ms     12.5ms     12.5ms ok:8
internal:dang.selfTypes                                 engine         10       70.9ms       70.9ms      5.3ms     20.1ms     20.1ms ok:10
internal:dang.objectDirectives                          engine         10       65.7ms       65.7ms      4.3ms     23.7ms     23.7ms ok:10
call:Query.typeDef                                      engine       3123       40.7ms       40.7ms        5µs       15µs     10.6ms hit:3123
call:TypeDef.withOptional                               engine       4327       31.1ms       31.8ms        5µs       10µs      1.2ms executed:35 hit:4292
call:TypeDef.withObject                                 engine       1030       28.6ms       32.9ms        6µs       25µs     15.9ms executed:34 hit:996
call:Query.node                                         engine         25       27.2ms       30.9ms      1.0ms      2.2ms      2.3ms do_not_cache:25
call_exec:File.contents                                 engine         13       22.4ms       28.3ms      970µs      5.9ms      5.9ms ok:13
call:ObjectTypeDef.__withFunction                       engine        281       19.8ms       25.3ms       68µs      157µs      878µs executed:182 hit:99
call_exec:Directory.file                                engine         13       19.7ms       19.7ms      1.3ms      3.8ms      3.8ms ok:13
call:Query.sourceMap                                    engine        729       19.5ms       20.7ms        7µs       61µs      1.7ms executed:51 hit:678
session_phase:session.schemaBuild                       engine        220       19.4ms       28.2ms      896ns      127µs     14.8ms ok:220
internal:dang.flushTelemetry                            engine          9       18.2ms       18.2ms      1.1ms      6.6ms      6.6ms ok:9
call_exec:go:Go.modules                                 engine          1       16.9ms      139.2ms     16.9ms     16.9ms     16.9ms ok:1
call_exec:Directory.exists                              engine         16       16.7ms       16.7ms      916µs      2.0ms      2.0ms ok:16
call_exec:Artifacts.__itemsJSON                         engine          1       16.1ms      734.6ms     16.1ms     16.1ms     16.1ms ok:1
exec_phase:withExec.prepareMounts                       engine          8       14.5ms       14.5ms      2.2ms      2.6ms      2.6ms ok:8
call:Function.__withArg                                 engine        306       13.9ms       18.1ms       12µs       97µs      3.0ms executed:127 hit:179
exec_phase:exec.setupRootfs                             engine          8       13.3ms       13.3ms      1.1ms      5.5ms      5.5ms ok:8
call_exec:gomod:Gomod.modulePaths                       engine          1       12.2ms       90.7ms     12.2ms     12.2ms     12.2ms ok:1
call:Module._implementationScoped                       engine        130       11.2ms       12.9ms       10µs      535µs      1.5ms executed:19 hit:111
call:TypeDef.withKind                                   engine       1675       11.0ms       11.0ms        5µs       10µs      368µs executed:1 hit:1674
call:Function.withArg                                   engine        306        9.8ms       31.2ms       12µs       77µs      407µs executed:127 hit:178 joined:1
exec_phase:exec.containerStart                          engine          8        9.7ms        9.7ms      450µs      4.5ms      4.5ms ok:8
call_exec:Function.withArg                              engine        127        8.9ms       20.7ms       66µs       87µs      489µs ok:127
call:ObjectTypeDef.__withField                          engine        115        8.4ms       11.3ms       52µs      187µs      1.1ms executed:90 hit:25
exec_phase:exec.runContainer                            engine          8        8.2ms        4.48s      462µs      2.5ms      2.5ms ok:8
call_exec:go:GoModule.tests                             engine          3        8.2ms      313.0ms      2.3ms      3.8ms      3.8ms ok:3
exec_phase:withExec.applyOutputs                        engine          8        8.1ms        8.1ms      1.1ms      1.4ms      1.4ms ok:8
call:Container.withoutMount                             engine          8        7.8ms        8.3ms      1.6ms      2.2ms      2.2ms executed:4 hit:4
call:Container.withWorkdir                              engine         15        7.6ms        8.2ms       11µs      3.7ms      3.7ms executed:3 hit:12
call:Query.__functionArg                                engine        127        7.5ms       11.9ms       65µs      101µs      628µs executed:83 hit:44
call_exec:gomod:GomodGoMod.testNames                    engine          3        7.1ms      206.6ms      2.3ms      2.5ms      2.5ms ok:3
call:Directory.file                                     engine         14        7.0ms       26.7ms      315µs      1.3ms      1.3ms executed:13 hit:1
session_phase:session.serveQuery                        engine        220        6.9ms        3.90s        7µs      157µs      928µs ok:220
call:FunctionArg.__withSourceMap                        engine        306        6.6ms        9.5ms       10µs       56µs      400µs executed:97 hit:209
session_phase:session.workspaceLoad                     engine        220        6.4ms        6.4ms      620ns        2µs      6.2ms ok:220
call:Query.__objectTypeDef                              engine         58        6.3ms        6.9ms       39µs      641µs      875µs executed:28 hit:30
call:Module.withObject                                  engine         31        6.1ms        9.6ms       76µs      1.0ms      1.5ms executed:29 hit:1 joined:1
call:Query.git                                          engine         12        6.0ms        2.77s      232µs      3.3ms      3.3ms executed:12
call:Function.__withSourceMap                           engine        191        6.0ms        8.5ms       13µs       95µs      387µs executed:83 hit:108
call:Query.function                                     engine        187        5.3ms        7.8ms       11µs       66µs      397µs executed:68 hit:117 joined:2
call:ObjectTypeDef.__withName                           engine        204        5.1ms        6.1ms       10µs      100µs      193µs executed:60 hit:144
call_exec:ObjectTypeDef.__withFunction                  engine        182        5.0ms        5.0ms       28µs       39µs       46µs ok:182
call_exec:Directory.digest                              engine         14        4.5ms        4.5ms      263µs      1.5ms      1.5ms ok:14
call:TypeDef.withFunction                               engine        160        4.4ms       19.7ms       25µs       49µs      355µs executed:85 hit:75

end-of-workload blocking chain (latest-finishing path)

  session_phase session.serveQuery                                 dur=2.5ms      self=8µs        [3.25s..3.26s]
  session_phase session.query                                      dur=2.5ms      self=329µs      [3.25s..3.26s]
  call         ArtifactDimension.keyDescription                   dur=404µs      self=379µs      [3.26s..3.26s]
  call_exec    ArtifactDimension.keyDescription                   dur=22µs       self=22µs       [3.26s..3.26s]
  internal     dagql.publishResult                                dur=288µs      self=288µs      [3.26s..3.26s]

